fuel category,year,generation (MWh),total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,34665096.0,418847000.0,387102000.0,39895176750.0,36871465500.0,37062614388.2,1069.16231786,2357.07524595
Coal,2002,35372059.0,419184000.0,387193000.0,39927276000.0,36880133250.0,37690701079.4,1065.55010211,2349.11175512
Coal,2003,35819943.0,422000000.0,393809000.0,40195500000.0,37510307250.0,37574446184.3,1048.98118303,2312.58391612
Coal,2004,35272196.34,425959630.0,388442670.0,40572654757.5,36999164317.5,36576849230.1,1036.98813869,2286.14405056
Coal,2005,34252333.76,408114180.0,372466690.0,38872875645.0,35477452222.5,36314316231.5,1060.19976583,2337.31640375
Coal,2006,34405194.24,412165680.0,376037710.0,39258781020.0,35817591877.5,35824610469.6,1041.25587025,2295.55269156
Coal,2007,37985566.43,441670300.0,405381050.0,42069096075.0,38612545012.5,39066712925.7,1028.46203433,2267.34740088
Coal,2008,40410107.09,464054010.0,429788850.0,44201144452.5,40937387962.5,41207769088.5,1019.73917062,2248.11697554
Coal,2009,37351435.68,434586550.0,397458230.0,41394368887.5,37857896407.5,38038801596.9,1018.4026639,2245.17051283
Coal,2010,41282937.31,477522980.0,436899440.0,45484063845.0,41614671660.0,41956724248.1,1016.32119665,2240.58171014
Coal,2011,38229359.97,445033330.0,403189810.0,42389424682.5,38403829402.5,38956797433.3,1019.0282407,2246.54965945
Coal,2012,35331351.13,413557720.0,371088240.0,39391372830.0,35346154860.0,35567312105.3,1006.67851547,2219.32345522
Coal,2013,33302345.12,390692360.0,349808380.0,37213447290.0,33319248195.0,33733071345.9,1012.93381065,2233.11387896
Coal,2014,33732765.37,393182710.0,353180760.0,37450653127.5,33640467390.0,34073684298.6,1010.10646251,2226.88070725
Coal,2015,29811074.9,346227690.0,306873160.0,32978187472.5,29229668490.0,29732795669.2,997.374156044,2198.81106441
Coal,2016,25600780.58,296480780.0,262734700.0,28239794295.0,25025480175.0,25497494093.1,995.965494622,2195.70552944
Coal,2017,5457283.23,67115570.0,57390580.0,6392758042.5,5466452745.0,5565386447.01,1019.80898049,2248.27087838
Hydro,2001,845154.0,,,0.0,0.0,0.0,0.0,0.0
Hydro,2002,946382.0,,,0.0,0.0,0.0,0.0,0.0
Hydro,2003,788593.0,,,0.0,0.0,0.0,0.0,0.0
Hydro,2004,945958.99,,,0.0,0.0,0.0,0.0,0.0
Hydro,2005,959526.01,,,0.0,0.0,0.0,0.0,0.0
Hydro,2006,909347.99,,,0.0,0.0,0.0,0.0,0.0
Hydro,2007,962346.02,,,0.0,0.0,0.0,0.0,0.0
Hydro,2008,819047.02,,,0.0,0.0,0.0,0.0,0.0
Hydro,2009,971165.01,,,0.0,0.0,0.0,0.0,0.0
