fuel category,year,generation (MWh),total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,79550636.0,922820000.0,883060000.0,87898605000.0,84111465000.0,91198571149.3,1146.42164708,2527.40116315
Coal,2002,86685346.0,949455000.0,905666000.0,90435588750.0,86264686500.0,89227181592.5,1029.32255231,2269.24449882
Coal,2003,87981349.0,960264000.0,926247000.0,91465146000.0,88225026750.0,92188224870.8,1047.8155418,2310.01414345
Coal,2004,94401627.63,1032460740.0,983157330.0,98341885485.0,93645735682.5,97107960608.8,1028.66828726,2267.8021061
Coal,2005,92265189.71,1014621220.0,961952270.0,96642671205.0,91625953717.5,94643801150.7,1025.78016095,2261.43494283
Coal,2006,91648763.53,1012626060.0,959042710.0,96452632215.0,91348818127.5,94834711360.5,1034.76258389,2281.23759244
Coal,2007,95264913.81,1052519040.0,1000048030.0,1.0025243856e+11,95254574857.5,97428418730.7,1022.71040653,2254.66736224
Coal,2008,96644038.31,1069481550.0,1015889680.0,1.01868117638e+11,96763492020.0,1.00063289038e+11,1035.3798412,2282.59839791
Coal,2009,89966860.1,993724920.0,946694120.0,94652298630.0,90172614930.0,92955661018.1,1033.22113181,2277.83930719
Coal,2010,93611365.03,1029937100.0,979933010.0,98101508775.0,93338619202.5,96348367378.5,1029.23792798,2269.05793602
Coal,2011,90013325.39,1003882660.0,952418430.0,95619823365.0,90717855457.5,94587607189.6,1050.81782925,2316.63298636
Coal,2012,80826777.66,914852060.0,866517550.0,87139658715.0,82535796637.5,84924093664.0,1050.69255663,2316.35681035
Coal,2013,87927139.48,973973470.0,925318920.0,92770973017.5,88136627130.0,89769565078.5,1020.95400361,2250.79519637
Coal,2014,87282390.39,967475990.0,918722110.0,92152088047.5,87508280977.5,88656523059.0,1015.74352699,2239.30817961
Coal,2015,73773705.53,819536330.0,773840450.0,78060835432.5,73708302862.5,75726434161.0,1026.46916834,2262.95392853
Coal,2016,59314587.41,668442430.0,630818400.0,63669141457.5,60085452600.0,61252321413.4,1032.66875971,2276.62154766
Coal,2017,14499411.77,162088900.0,152180330.0,15438967725.0,14495176432.5,14794963554.0,1020.38370858,2249.53792393
Hydro,2001,144027.0,,,0.0,0.0,0.0,0.0,0.0
Hydro,2002,128822.0,,,0.0,0.0,0.0,0.0,0.0
Hydro,2003,138500.0,,,0.0,0.0,0.0,0.0,0.0
Hydro,2004,153528.99,,,0.0,0.0,0.0,0.0,0.0
Hydro,2005,129037.02,,,0.0,0.0,0.0,0.0,0.0
Hydro,2006,173271.99,,,0.0,0.0,0.0,0.0,0.0
Hydro,2007,153727.38,,,0.0,0.0,0.0,0.0,0.0
Hydro,2008,138549.01,,,0.0,0.0,0.0,0.0,0.0
Hydro,2009,136380.01,,,0.0,0.0,0.0,0.0,0.0
Hydro,2010,118543.0,,,0.0,0.0,0.0,0.0,0.0
Hydro,2011,140462.01,,,0.0,0.0,0.0,0.0,0.0
Hydro,2012,111208.0,,,0.0,0.0,0.0,0.0,0.0
Hydro,2013,120295.01,,,0.0,0.0,0.0,0.0,0.0
Hydro,2014,132298.0,,,0.0,0.0,0.0,0.0,0.0
Hydro,2015,124459.84,,,0.0,0.0,0.0,0.0,0.0
Hydro,2016,13655.32,,,0.0,0.0,0.0,0.0,0.0
Hydro,2017,38075.07,,,0.0,0.0,0.0,0.0,0.0
Natural Gas,2001,4606292.0,59835000.0,51311000.0,3175443450.0,2723074770.0,2952516974.43,640.974774163,1413.09298712
Natural Gas,2002,9078737.0,100022000.0,88159000.0,5308167540.0,4678598130.0,4839270179.74,533.0334142,1175.12546495
Natural Gas,2003,3902463.0,52567000.0,39803000.0,2789730690.0,2112345210.0,2207234867.45,565.600459876,1246.92277384
Natural Gas,2004,3393311.5,47836570.0,28462900.0,2538686769.9,1510526103.0,1566372544.78,461.605881093,1017.65632546
Natural Gas,2005,7114250.52,77151290.0,62929890.0,4094418960.3,3339689262.3,3449687273.33,484.898200258,1069.00657229
