fuel category,year,generation (MWh),total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,21968146.0,239666000.0,238440000.0,22828186500.0,22711410000.0,24523970871.3,1116.34231088,2461.08825856
Coal,2002,22050906.0,231724000.0,231040000.0,22071711000.0,22006560000.0,23097715606.5,1047.47240801,2309.25767069
Coal,2003,22888930.0,246465000.0,245198000.0,23475791250.0,23355109500.0,24441754177.6,1067.84171115,2354.1638364
Coal,2004,23657811.47,256559900.0,254875150.0,24437330475.0,24276858037.5,25013466013.9,1057.30261845,2330.92935262
Coal,2005,23087364.75,253948530.0,252224880.0,24188597482.5,24024419820.0,24045464567.0,1041.49888163,2296.08843445
Coal,2006,24395204.99,265014460.0,263685790.0,25242627315.0,25116071497.5,24843124282.9,1018.36095631,2245.07856427
Coal,2007,23051182.65,249866570.0,248311400.0,23799790792.5,23651660850.0,23372878133.7,1013.95570408,2235.36674521
Coal,2008,24100042.22,261232770.0,260867330.0,24882421342.5,24847613182.5,23829054812.1,988.755728913,2179.81087996
Coal,2009,23067136.51,252191890.0,252185810.0,24021277522.5,24020698402.5,23272680183.6,1008.9106714,2224.24446617
Coal,2010,23923748.92,259224590.0,259224590.0,24691142197.5,24691142197.5,24433382210.5,1021.3024009,2251.56327302
Coal,2011,24627519.47,269142710.0,268788140.0,25635843127.5,25602070335.0,25183809944.5,1022.58816505,2254.39786867
Coal,2012,21421868.82,236538010.0,236529250.0,22530245452.5,22529411062.5,22163896217.7,1034.63877983,2280.96465402
Coal,2013,20843712.52,225753800.0,225753800.0,21503049450.0,21503049450.0,21479036128.1,1030.48034785,2271.79697487
Coal,2014,19221019.01,207042550.0,207039120.0,19720802887.5,19720476180.0,19721819807.5,1026.05485158,2262.0405258
Coal,2015,15164957.85,170498210.0,170132040.0,16239954502.5,16205076810.0,16342521686.1,1077.65032041,2375.78789638
Coal,2016,12013648.98,136429780.0,136403280.0,12994936545.0,12992412420.0,12966158679.4,1079.28562762,2379.39309466
Coal,2017,3018436.93,33867010.0,33867010.0,3225832702.5,3225832702.5,3146202905.36,1042.32852245,2297.9174606
Natural Gas,2001,40372753.0,526976000.0,405958000.0,27966616320.0,21544191060.0,23263598077.0,576.220256195,1270.33517681
Natural Gas,2002,47900847.0,577642000.0,479951000.0,30655460940.0,25470999570.0,26733933167.3,558.109821467,1230.40891241
Natural Gas,2003,45434198.0,549507000.0,452236000.0,29162336490.0,24000164520.0,25116821713.8,552.817543161,1218.74155565
Natural Gas,2004,46169537.69,551943340.0,416540900.0,29291633053.8,22105825563.0,22776560112.3,493.324413713,1087.58300247
Natural Gas,2005,44167904.09,542223520.0,393429860.0,28775802206.4,20879322670.2,20897612396.5,473.140232191,1043.08495589
Natural Gas,2006,41933334.54,488413980.0,360751130.0,25920129918.6,19145062469.1,18937004792.8,451.597875545,995.592676426
Natural Gas,2007,43915014.99,510711300.0,394157710.0,27103448691.0,20917949669.7,20671389275.3,470.713474195,1037.73492521
Natural Gas,2008,45344386.38,498871860.0,402482390.0,26475129610.2,21359740437.3,20484157649.8,451.746275231,995.919838375
