fuel category,year,generation (MWh),total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,65748684.0,698020000.0,691903000.0,66486405000.0,65903760750.0,67671885088.6,1029.25079213,2269.08629633
Coal,2002,67434967.0,707580000.0,701732000.0,67396995000.0,66839973000.0,67409165610.8,999.617388569,2203.75649484
Coal,2003,74211784.0,778134000.0,772960000.0,74117263500.0,73624440000.0,72106759570.3,971.634903296,2142.06630781
Coal,2004,75023555.0,788584950.0,780931120.0,75112716487.5,74383689180.0,71987743721.6,959.535224925,2115.39135687
Coal,2005,77436559.3,816563460.0,809089550.0,77777669565.0,77065779637.5,73368162282.9,947.461547182,2088.77372692
Coal,2006,77449603.72,809867980.0,802341950.0,77139925095.0,76423070737.5,73397740546.1,947.683874684,2089.26387013
Coal,2007,75084153.53,784795800.0,776560790.0,74751799950.0,73967415247.5,71525178139.1,952.600179617,2100.10235598
Coal,2008,73531660.21,776132760.0,768481020.0,73926645390.0,73197817155.0,69961748102.8,951.450679924,2097.56816896
Coal,2009,71611239.68,752361390.0,746157880.0,71662422397.5,71071538070.0,70136805410.2,979.410574703,2159.20855299
Coal,2010,75047228.59,788483430.0,782326610.0,75103046707.5,74516609602.5,73738644658.2,982.563194453,2166.15881849
Coal,2011,78315850.26,816826620.0,811687840.0,77802735555.0,77313266760.0,76729498354.2,979.744178215,2159.94401529
Coal,2012,72775008.48,748350960.0,744501680.0,71280428940.0,70913785020.0,68899483042.0,946.74647906,2087.19728773
Coal,2013,76104817.67,784972980.0,778958760.0,74768676345.0,74195821890.0,70624935617.0,927.995595801,2045.8590905
Coal,2014,72409212.13,758467300.0,752641190.0,72244010325.0,71689073347.5,67619978153.3,933.858775205,2058.78505582
Coal,2015,65325520.69,676110330.0,670050630.0,64399508932.5,63822322507.5,61603775763.9,943.027703617,2078.99887539
Coal,2016,60599426.59,629035310.0,624301960.0,59915613277.5,59464761690.0,57940474308.1,956.12248446,2107.86762924
Coal,2017,16759626.85,171597100.0,170781660.0,16344623775.0,16266953115.0,15656305388.4,934.167898161,2059.46654829
Natural Gas,2001,3873561.0,36515000.0,36243000.0,1937851050.0,1923416010.0,1975019114.62,509.87169548,1124.06313986
Natural Gas,2002,3543938.0,30925000.0,30540000.0,1641189750.0,1620757800.0,1634559770.92,461.226965856,1016.82096893
Natural Gas,2003,2624352.0,22553000.0,22477000.0,1196887710.0,1192854390.0,1168265112.81,445.163268041,981.406940722
Natural Gas,2004,2864851.1,25430580.0,23730500.0,1349600880.6,1259377635.0,1218812288.51,425.436522166,937.917356767
Natural Gas,2005,3865945.83,32897700.0,32468700.0,1745880939.0,1723113909.0,1640438875.75,424.330538473,935.479105117
Natural Gas,2006,3729427.47,33708710.0,32961520.0,1788921239.7,1749267866.4,1680020283.99,450.476727997,993.120994543
Natural Gas,2007,4979378.67,42254440.0,41832580.0,2242443130.8,2220055020.6,2146753814.44,431.128852958,950.466669232
Natural Gas,2008,5196136.73,43863940.0,43039530.0,2327859295.8,2284107857.1,2183127649.83,420.144380963,926.250302271
Natural Gas,2009,3416231.34,30467650.0,30014400.0,1616918185.5,1592864208.0,1571914862.62,460.131269277,1014.40539625
Natural Gas,2010,4689867.26,41111750.0,40368360.0,2181800572.5,2142348865.2,2119982411.27,452.034629925,996.555545133
Natural Gas,2011,4548229.8,39234740.0,38596240.0,2082187651.8,2048302456.8,2032836362.69,446.951111109,985.348419551
Natural Gas,2012,6167164.27,53177800.0,52414430.0,2822145846.0,2781633800.1,2702621652.26,438.227608985,966.116586769
Natural Gas,2013,4399627.7,39260540.0,38316750.0,2083556857.8,2033469922.5,1935603362.79,439.947080703,969.907334118
Natural Gas,2014,4044294.38,36933400.0,35872600.0,1960055538.0,1903758882.0,1795700906.69,444.008456845,978.861043961
Natural Gas,2015,4596413.44,41913310.0,39111870.0,2224339361.7,2075666940.9,2003514064.73,435.886390745,960.955137036
Natural Gas,2016,6082303.18,54948470.0,52002150.0,2916115302.9,2759754100.5,2689012063.82,442.104246409,974.663021632
Natural Gas,2017,740163.06,8732690.0,7251430.0,463443858.3,384833390.1,370387068.585,500.412799018,1103.21005672
Nuclear,2001,8384240.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2002,8389629.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2003,9699589.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2004,7830693.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2005,8030577.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2006,10116660.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2007,9371955.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2008,9378629.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2009,10247116.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2010,8996033.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2011,9371323.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2012,10718329.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2013,8367103.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2014,9276356.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2015,10440082.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2016,9430179.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2017,2606769.0,,,0.0,0.0,0.0,0.0,0.0
Other,2001,425455.11,7086000.0,7085000.0,675776350.0,675700375.0,693828661.839,1630.79169936,3595.24338041
Other,2002,428032.0,5589000.0,5581000.0,536726650.0,536118850.0,540684304.985,1263.18664255,2784.82127217
Other,2003,28409.83,1925000.0,1901000.0,159575625.0,157752225.0,154500350.152,5438.2708433,11989.2119011
Other,2004,424262.94,2184660.0,2159210.0,199031064.75,197097501.0,190748866.406,449.600585914,991.189451707
Other,2005,327224.75,2066240.0,2042380.0,173849406.5,172036643.0,163782322.084,500.519358892,1103.44497861
Other,2006,167466.85,824900.0,803750.0,62671777.5,61064906.25,58647553.7054,350.20395801,772.059645828
Other,2007,483958.59,821060.0,806040.0,62380033.5,61238889.0,59216919.1002,122.359475219,269.753699068
Other,2008,629570.79,839490.0,834980.0,64124057.75,63781410.5,60961639.957,96.830477089,213.47246979
Other,2009,688186.97,1257950.0,1230660.0,104081663.75,102008306.0,100666693.059,146.278115465,322.484733355
Other,2010,1052916.39,1484740.0,1452230.0,115119886.5,112649939.25,111473856.439,105.871517907,233.404348378
Other,2011,215444.77,947760.0,915190.0,72006066.0,69531560.25,69006549.0872,320.298093508,706.129176947
Other,2012,130970.96,885890.0,885720.0,67305492.75,67292577.0,65381135.2272,499.203298404,1100.54359166
Other,2013,377740.55,758750.0,758600.0,57646031.25,57634635.0,54860803.2433,145.234085256,320.183064355
Other,2014,151823.13,1275780.0,1275650.0,96927385.5,96917508.75,91416439.3307,602.124586226,1327.44386279
Other,2015,504154.77,1123180.0,1117330.0,85333600.5,84889146.75,81938289.8602,162.5260629,358.304958269
Other,2016,265311.63,920470.0,904420.0,69932708.25,68713309.5,66951949.8702,252.352110875,556.335463635
Other,2017,3324.43,168150.0,165460.0,12775196.25,12570823.5,12098925.3678,3639.39844358,8023.41780873
Renewables,2001,1112931.9,,,0.0,0.0,0.0,0.0,0.0
Renewables,2002,1365630.0,,,0.0,0.0,0.0,0.0,0.0
Renewables,2003,660954.17,,,0.0,0.0,0.0,0.0,0.0
Renewables,2004,1489548.29,,,0.0,0.0,0.0,0.0,0.0
