fuel category,year,generation (MWh),total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,19196064.0,194553000.0,194553000.0,18531173250.0,18531173250.0,14401786172.0,750.246830392,1653.99416228
Coal,2002,14853145.0,150707000.0,150707000.0,14354841750.0,14354841750.0,14314065784.0,963.706055788,2124.58637059
Coal,2003,17082603.0,176181000.0,175556000.0,16781240250.0,16721709000.0,17044877382.2,997.79157674,2199.73131008
Coal,2004,17477688.25,181491000.0,181287300.0,17287017750.0,17267615325.0,17700656767.3,1012.75732317,2232.72479467
Coal,2005,16635883.67,173662680.0,173453370.0,16541370270.0,16521433492.5,16593911293.3,997.476997462,2199.0377886
Coal,2006,18105333.12,186713070.0,186487390.0,17784419917.5,17762923897.5,17885431666.6,987.854327123,2177.82364958
Coal,2007,17407324.64,181612390.0,181536100.0,17298580147.5,17291313525.0,17545572940.4,1007.9419614,2222.1088481
Coal,2008,16683402.39,174255590.0,174062180.0,16597844947.5,16579422645.0,17295910045.1,1036.71359359,2285.53878843
Coal,2009,12957662.14,139164150.0,139105040.0,13255385287.5,13249755060.0,13965318546.9,1077.76529408,2376.04136733
Coal,2010,13628996.97,145613880.0,145613880.0,13869722070.0,13869722070.0,14525193902.6,1065.75663158,2349.56706999
Coal,2011,9723110.8,104924030.0,104924030.0,9994013857.5,9994013857.5,10036794502.6,1032.26166081,2275.72405741
Coal,2012,7211972.86,79848490.0,79848490.0,7605568672.5,7605568672.5,7715314005.15,1069.79243474,2358.46440162
Coal,2013,8701295.09,94965620.0,94965620.0,9045475305.0,9045475305.0,9116978784.54,1047.77262353,2309.91952583
Coal,2014,10742565.84,114020680.0,114020680.0,10860469770.0,10860469770.0,11051662586.8,1028.77308377,2268.03314048
Coal,2015,6399605.23,69064090.0,69064090.0,6578354572.5,6578354572.5,6789207216.17,1060.87906553,2338.81398787
Coal,2016,5342021.37,61186390.0,61186390.0,5828003647.5,5828003647.5,5923428498.51,1108.83654112,2444.54103856
Coal,2017,1152893.8,12906610.0,12906610.0,1229354602.5,1229354602.5,1390352759.18,1205.96776492,2658.67653455
Natural Gas,2001,17750550.0,169654000.0,161122000.0,9003537780.0,8550744540.0,6645342570.33,374.373896602,825.344692449
Natural Gas,2002,16971397.0,175934000.0,167880000.0,9336817380.0,8909391600.0,8884083828.91,523.473926684,1154.05061877
Natural Gas,2003,9477235.0,107451000.0,104331000.0,5702424570.0,5536846170.0,5643852793.5,595.516814081,1312.87636832
Natural Gas,2004,11618566.64,117350680.0,111836830.0,6227800587.6,5935180568.1,6084024464.91,523.646733149,1154.4315879
Natural Gas,2005,15360065.72,145596750.0,140879550.0,7726819522.5,7476477718.5,7509276244.29,488.883080397,1077.79163904
Natural Gas,2006,15705848.77,152441370.0,146137510.0,8090063505.9,7755517655.7,7809006100.04,497.203698724,1096.13527421
Natural Gas,2007,21335173.17,198140810.0,190732800.0,10515332786.7,10122189696.0,10271031022.1,481.413060969,1061.32323421
Natural Gas,2008,20607426.67,176280960.0,173246130.0,9355230547.2,9194172119.1,9591502509.82,465.43911879,1026.10708129
Natural Gas,2009,23267299.4,191694550.0,188234230.0,10173229768.5,9989590586.1,10529086315.6,452.527220054,997.641509331
Natural Gas,2010,29618921.53,243177470.0,239467990.0,12905428332.9,12708566229.3,13309162777.2,449.346636871,990.629595645
Natural Gas,2011,29965608.66,250821780.0,247267420.0,13311111864.6,13122481979.4,13178654429.5,439.792649601,969.56687531
Natural Gas,2012,38549893.01,313578580.0,308363380.0,16641615240.6,16364844576.6,16600982778.6,430.636286703,949.380757666
Natural Gas,2013,31776888.51,256029680.0,252205990.0,13587495117.6,13384571889.3,13490375446.3,424.534184399,935.928062925
Natural Gas,2014,32605949.46,248688700.0,244937360.0,13197909309.0,12998825695.2,13227663135.3,405.682501333,894.367642439
Natural Gas,2015,45116943.1,348681800.0,343775390.0,18504543126.0,18244159947.3,18828930700.2,417.336135972,920.059245364
Natural Gas,2016,50149849.43,386726530.0,381552200.0,20523576947.1,20248975254.0,20580521966.0,410.380533539,904.72492424
Natural Gas,2017,10074815.93,75833350.0,74765660.0,4024475884.5,3967813576.2,4487444503.29,445.412058589,981.955424366
Nuclear,2001,9923882.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2002,10059459.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2003,10902456.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2004,10232766.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2005,10077846.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2006,10418586.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2007,9358784.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2008,9396790.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2009,10998515.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2010,9643241.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2011,10336789.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2012,7296134.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2013,10864509.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2014,10252183.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2015,11714588.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2016,5897272.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2017,1707250.0,,,0.0,0.0,0.0,0.0,0.0
Other,2001,5143835.47,55513000.0,54966000.0,4217600175.0,4176041850.0,3245475122.25,630.944582341,1390.98042623
Other,2002,68217.0,473000.0,404000.0,35936175.0,30693900.0,30606711.7575,448.666926976,989.131107212
Other,2003,1663810.02,17023000.0,16736000.0,1293322425.0,1271517600.0,1296091301.51,778.989960351,1717.36126659
Other,2004,2819146.46,28794560.0,28289080.0,2187666696.0,2149262853.0,2203162587.75,781.499868492,1722.89461008
Other,2005,1471960.87,16081710.0,15653190.0,1221807917.25,1189251110.25,1194468230.49,811.480967214,1788.99094032
Other,2006,457997.51,4382520.0,4277890.0,332961957.0,325012692.75,327254248.259,714.532811017,1575.25903517
Other,2007,449039.55,4562880.0,4506780.0,346664808.0,342402610.5,347437455.739,773.734642614,1705.77539311
Other,2008,126766.31,1058040.0,947810.0,80384589.0,72009864.75,75121804.2837,592.600701903,1306.44750742
Other,2009,53728.59,333950.0,227340.0,25371851.25,17272156.5,18204952.9536,338.831764497,746.988508009
Other,2010,91830.5,998770.0,891120.0,75881550.75,67702842.0,70902423.4836,772.101028347,1702.17392709
Other,2011,39357.74,492660.0,414710.0,37429843.5,31507592.25,31642464.4987,803.970565858,1772.43350949
Other,2012,17105.21,276690.0,169660.0,21021522.75,12889918.5,13075914.9001,764.440477496,1685.28547669
Other,2013,19184.22,242300.0,146520.0,18408742.5,11131857.0,11219853.0955,584.848020693,1289.35594642
