fuel category,year,generation (MWh),total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,6471299475.0,69766578000.0,68144778000.0,6.6452665545e+12,6.4907901045e+12,6.48387413793e+12,1001.94314341,2208.88385396
Coal,2002,6695245971.0,70647246000.0,69080310000.0,6.7291501815e+12,6.5798995275e+12,6.57214569683e+12,981.613778686,2164.06573649
Coal,2003,6834485313.0,72355473000.0,70896276000.0,6.89185880325e+12,6.752870289e+12,6.7450921959e+12,986.920285434,2175.76446127
Coal,2004,6845042409.3,72938812320.0,71012075940.0,6.94742187348e+12,6.76390023328e+12,6.75019482562e+12,986.143609052,2174.05220052
Coal,2005,6980445018.36,74747265480.0,72812265030.0,7.11967703697e+12,6.93536824411e+12,6.92212203499e+12,991.644804419,2186.18013582
Coal,2006,6868459102.05,73067667390.0,71156272590.0,6.9596953189e+12,6.7776349642e+12,6.76484407514e+12,984.914370841,2171.34222196
Coal,2007,6974815773.87,74406039300.0,72502667730.0,7.08717524332e+12,6.90587910128e+12,6.8912422472e+12,988.017815899,2178.18407693
Coal,2008,6941369560.14,74211208830.0,72345792510.0,7.06861764106e+12,6.89093673658e+12,6.8782644157e+12,990.908833784,2184.55761496
Coal,2009,6371172529.74,68241216870.0,66375193590.0,6.49997590687e+12,6.32223718945e+12,6.31215183106e+12,990.736289372,2184.17722355
Coal,2010,6601789738.44,70843963140.0,68925172500.0,6.74788748908e+12,6.56512268062e+12,6.55369791425e+12,992.715335371,2188.54022836
Coal,2011,6212399970.33,66947709690.0,65011510890.0,6.37676934797e+12,6.19234641227e+12,6.17938422767e+12,994.685509173,2192.88367352
Coal,2012,5496008878.17,59295299040.0,57687484950.0,5.64787723356e+12,5.49473294149e+12,5.48531437374e+12,998.054132613,2200.31014076
Coal,2013,5750625056.67,61744633920.0,60133262490.0,5.88117638088e+12,5.72769325217e+12,5.71402865456e+12,993.63610012,2190.57014632
Coal,2014,5689384953.12,61015515030.0,59447849940.0,5.81172780661e+12,5.66240770678e+12,5.64804639433e+12,992.734090042,2188.58157491
Coal,2015,4963883499.81,53283794490.0,51810250320.0,5.07528142517e+12,4.93492634298e+12,4.92406888129e+12,991.979139211,2186.91721031
Coal,2016,4461079496.85,47907259920.0,46719185850.0,4.56316650738e+12,4.45000245221e+12,4.44109927798e+12,995.521214341,2194.72606914
Coal,2017,1112746452.03,11886567210.0,11575425870.0,1.13219552675e+12,1.10255931412e+12,1.10066752434e+12,989.144941626,2180.66893831
Natural Gas,2001,297698040.0,3869469000.0,3118320000.0,2.0535271983e+11,1.654892424e+11,1.65312912855e+11,555.304001513,1224.22320174
Natural Gas,2002,396945612.0,4389957000.0,3816702000.0,2.3297501799e+11,2.0255237514e+11,2.02313685049e+11,509.676083908,1123.63189458
Natural Gas,2003,276775029.0,3103839000.0,2657592000.0,1.6472073573e+11,1.4103840744e+11,1.40875956539e+11,508.99084736,1122.12122209
Natural Gas,2004,298185444.27,3380090670.0,2542813560.0,1.79381411857e+11,1.34947115629e+11,1.34673677942e+11,451.644037395,995.694444841
Natural Gas,2005,432078764.22,4583816100.0,3884240610.0,2.43263120427e+11,2.06136649173e+11,2.05742938404e+11,476.169984367,1049.76434754
Natural Gas,2006,376787433.15,4137862770.0,3338771040.0,2.19596377204e+11,1.77188579093e+11,1.76854185242e+11,469.373895417,1034.78168984
Natural Gas,2007,496238445.0,5012336610.0,4357361700.0,2.66004703893e+11,2.31245185419e+11,2.30755066495e+11,465.008442654,1025.15761268
Natural Gas,2008,385608904.56,4003871220.0,3317156640.0,2.12485445645e+11,1.76041502885e+11,1.75717765417e+11,455.689076001,1004.61213695
Natural Gas,2009,380292777.9,3911952150.0,3233209950.0,2.076073006e+11,1.71586452047e+11,1.71312733929e+11,450.475906681,993.11918387
Natural Gas,2010,528085957.23,5234166540.0,4525495830.0,2.77777218278e+11,2.40168063698e+11,2.39750118116e+11,453.998283487,1000.88461578
Natural Gas,2011,636644970.63,5983826670.0,5259693060.0,3.17561681377e+11,2.79131910694e+11,2.78547615322e+11,437.524253189,964.565968581
Natural Gas,2012,1079816418.0,9660538620.0,8792503380.0,5.12684784563e+11,4.66618154377e+11,4.6581832029e+11,431.386588058,951.034872033
Natural Gas,2013,909759939.03,8184175020.0,7340414850.0,4.34334168311e+11,3.8955581609e+11,3.88626450071e+11,427.174723131,941.749394614
Natural Gas,2014,898487771.85,8113652460.0,7248056040.0,4.30591536052e+11,3.84654334043e+11,3.83678752389e+11,427.027238889,941.424250855
Natural Gas,2015,1283590533.6,11296364670.0,10262803230.0,5.99498073037e+11,5.44646967416e+11,5.43448675248e+11,423.381647825,933.387180795
Natural Gas,2016,1568166837.93,13835001240.0,12698921340.0,7.34223515807e+11,6.73931755514e+11,6.72583412023e+11,428.897867086,945.548237777
