fuel category,year,generation (MWh),total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,28877175.0,328068000.0,328047000.0,31248477000.0,31246476750.0,33667584109.0,1165.88911862,2570.31915091
Coal,2002,29611523.0,331917000.0,331439000.0,31615094250.0,31569564750.0,33830459915.3,1142.47618791,2518.70300387
Coal,2003,29427309.0,327512000.0,325947000.0,31195518000.0,31046451750.0,34115523384.2,1159.31509008,2555.82604759
Coal,2004,28064224.32,313590900.0,311171520.0,29869533225.0,29639087280.0,32276566293.2,1150.09650455,2535.50275392
Coal,2005,30258759.04,339205110.0,335925800.0,32309286727.5,31996932450.0,33559378008.3,1109.07978625,2445.07729677
Coal,2006,28878991.16,322881870.0,319303080.0,30754498117.5,30413618370.0,32807257733.7,1136.02506237,2504.4808525
Coal,2007,29163553.23,329999070.0,326191430.0,31432411417.5,31069733707.5,31598153132.4,1083.48090794,2388.64200964
Coal,2008,29672230.29,336486790.0,332740730.0,32050366747.5,31693554532.5,31961669927.7,1077.15765264,2374.70176101
Coal,2009,29606965.6,333248930.0,329493020.0,31741960582.5,31384210155.0,31735820208.1,1071.90384306,2363.11921242
Coal,2010,28462040.45,317495240.0,313928830.0,30241421610.0,29901721057.5,30626055952.7,1076.03163612,2372.21934499
Coal,2011,27108926.21,305009410.0,301877160.0,29052146302.5,28753799490.0,29662985719.7,1094.21470588,2412.30574059
Coal,2012,28214364.16,316028110.0,312263350.0,30101677477.5,29743084087.5,30236898588.5,1071.68456525,2362.63579254
Coal,2013,27477822.32,308854520.0,304989370.0,29418393030.0,29050237492.5,29677812522.2,1080.06421239,2381.10956263
Coal,2014,27394068.17,309338620.0,305646040.0,29464503555.0,29112785310.0,29808718148.1,1088.14499413,2398.92445406
Coal,2015,27734413.11,315010170.0,310878400.0,30004718692.5,29611167600.0,30327991683.1,1093.51481724,2410.76276608
Coal,2016,26589222.0,302206730.0,299060480.0,28785191032.5,28485510720.0,29000600115.0,1090.69005911,2404.53530432
Coal,2017,6821727.21,78338360.0,77491240.0,7461728790.0,7381040610.0,7311673129.77,1071.82138844,2362.93743295
Natural Gas,2001,2536.0,109000.0,28000.0,5784630.0,1485960.0,1601098.37928,631.347941357,1391.86967152
Natural Gas,2002,8043.0,503000.0,108000.0,26694210.0,5731560.0,6142033.07419,763.649518114,1683.54172763
Natural Gas,2003,9446.0,427000.0,41000.0,22660890.0,2175870.0,2390963.85196,253.119188224,558.026562358
Natural Gas,2004,9044.12,549500.0,41990.0,29161965.0,2228409.3,2426707.67222,268.318827284,591.53568663
Natural Gas,2005,8012.24,406910.0,36120.0,21594713.7,1916888.4,2010492.17814,250.927603035,553.194993652
Natural Gas,2006,7064.77,349220.0,32920.0,18533105.4,1747064.4,1884563.40022,266.755096092,588.088284844
Natural Gas,2007,16574.22,809760.0,74920.0,42973963.2,3976004.4,4043626.4137,243.97084229,537.858118912
Natural Gas,2008,-51.14,640.0,640.0,33964.8,33964.8,34252.1292665,-669.771788551,-1476.57888504
Natural Gas,2009,16605.91,1023610.0,81340.0,54322982.7,4316713.8,4365075.69794,262.862781861,579.507288891
Natural Gas,2010,16352.63,1080720.0,82460.0,57353810.4,4376152.2,4482159.46758,274.094103981,604.267861636
Natural Gas,2011,19902.33,1205600.0,97420.0,63981192.0,5170079.4,5333555.70854,267.986497487,590.803032361
Natural Gas,2012,21696.66,1469600.0,106830.0,77991672.0,5669468.1,5763596.38719,265.644407351,585.639660445
Natural Gas,2013,54194.67,1474230.0,459830.0,78237386.1,24403178.1,24930362.2658,460.015021142,1014.14911561
Natural Gas,2014,234315.14,3448660.0,2199160.0,183020386.2,116709421.2,119499326.661,509.994047594,1124.33287733
Natural Gas,2015,711044.11,8412930.0,6957200.0,446474195.1,369218604.0,378156609.784,531.832841966,1172.4786834
Natural Gas,2016,819520.15,10298150.0,8262850.0,546522820.5,438509449.5,446438798.89,544.756341732,1200.96983098
Natural Gas,2017,101049.85,1849460.0,1565690.0,98150842.2,83091168.3,82310272.3155,814.551157824,1795.75948254
Other,2001,112620.0,988000.0,516000.0,75063300.0,39203100.0,42240719.7184,375.072986312,826.885905623
Other,2002,93713.0,581000.0,441000.0,44141475.0,33504975.0,35904477.0708,383.132298302,844.653464838
