fuel category,year,generation (MWh),total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,9319039.0,111970000.0,109009000.0,10665142500.0,10383107250.0,9117485882.67,978.371898934,2156.91868839
Coal,2002,9605054.0,104615000.0,101719000.0,9964578750.0,9688734750.0,9872793878.87,1027.87489574,2266.05299516
Coal,2003,9789562.0,106575000.0,103820000.0,10151268750.0,9888855000.0,10316193762.9,1053.79523241,2323.19696936
Coal,2004,10322483.57,112422090.0,105105690.0,10708204072.5,10011316972.5,10403528780.5,1007.8513286,2221.90903903
Coal,2005,11625418.9,125109350.0,118053870.0,11916665587.5,11244631117.5,11930849232.9,1026.2726303,2262.52064076
Coal,2006,10861925.28,115921890.0,111926510.0,11041560022.5,10661000077.5,11082285612.4,1020.28741008,2249.32562427
Coal,2007,10210670.09,111735400.0,107308210.0,10642796850.0,10221107002.5,10673303120.3,1045.3087825,2304.48774191
Coal,2008,9028491.25,97671120.0,93293650.0,9303174180.0,8886220162.5,9344502082.06,1035.00151059,2281.76433024
Coal,2009,5099868.42,59563330.0,54674430.0,5673407182.5,5207739457.5,5553027898.33,1088.85709219,2400.49434543
Coal,2010,6417891.02,71961380.0,67814960.0,6854321445.0,6459374940.0,6812522285.41,1061.48924377,2340.15918681
Coal,2011,4155097.03,49591800.0,45172250.0,4723618950.0,4302656812.5,4658828226.6,1121.23211395,2471.86831841
Coal,2012,1897474.89,25589450.0,21086610.0,2437395112.5,2008499602.5,2172500425.22,1144.94291159,2524.14114288
Coal,2013,2021618.38,25910430.0,21708930.0,2467968457.5,2067775582.5,2288625428.1,1132.07589065,2495.77450853
Coal,2014,2519106.21,30730730.0,26833770.0,2927102032.5,2555916592.5,2719068661.9,1079.37833312,2379.59747319
Coal,2015,1759095.68,22924960.0,19341820.0,2183602440.0,1842308355.0,1972827414.56,1121.50091492,2472.46091704
Coal,2016,1314541.06,17454980.0,14449860.0,1662586845.0,1376349165.0,1433439203.37,1090.4484059,2404.00255565
Coal,2017,334873.25,4564170.0,3645270.0,434737192.5,347211967.5,381613727.797,1139.57662428,2512.31062589
Natural Gas,2001,16708201.0,173901000.0,146541000.0,9228926070.0,7776930870.0,6828982472.25,408.720392593,901.064977511
Natural Gas,2002,19069357.0,201264000.0,177505000.0,10681080480.0,9420190350.0,9599147878.96,503.380784101,1109.75327663
Natural Gas,2003,14775577.0,154761000.0,135920000.0,8213166270.0,7213274400.0,7524990140.48,509.285704408,1122.77126394
Natural Gas,2004,15962194.84,168221150.0,131743810.0,8927496430.5,6991643996.7,7265554546.16,455.172651317,1003.47362709
Natural Gas,2005,15366164.83,149126830.0,123615290.0,7914160868.1,6560263440.3,6960611977.06,452.983034743,998.646398395
Natural Gas,2006,15668373.9,152141130.0,127343060.0,8074129769.1,6758096194.2,7025152581.94,448.365135194,988.465777048
Natural Gas,2007,18752331.73,172124250.0,152153760.0,9134633947.5,8074800043.2,8432040529.08,449.652909861,991.30480508
Natural Gas,2008,20751754.69,185578260.0,165448070.0,9848638258.2,8780329074.9,9233149958.16,444.933457247,980.900299846
Natural Gas,2009,20624990.44,178581870.0,160070130.0,9477339840.9,8494921799.1,9058160096.05,439.183723377,968.224436556
Natural Gas,2010,24902230.06,215355680.0,195560820.0,11428925937.6,10378412717.4,10945821938.1,439.551875944,969.036065707
Natural Gas,2011,25201074.95,215131040.0,193328180.0,11417004292.8,10259926512.6,11109237227.8,440.823943019,971.840464779
Natural Gas,2012,28284904.49,243606090.0,226023190.0,12928175196.3,11995050693.3,12974487373.2,458.707130434,1011.26573975
Natural Gas,2013,27076530.29,234779880.0,217556560.0,12459768231.6,11545726639.2,12778873972.6,471.953896444,1040.4695601
Natural Gas,2014,31410341.37,268034820.0,250137180.0,14224607897.4,13274780142.6,14122150458.8,449.601941361,991.192439924
Natural Gas,2015,36974456.38,304261610.0,286832170.0,16147163642.7,15222183261.9,16300604818.4,440.861243527,971.922697479
Natural Gas,2016,43642997.24,348578900.0,330879860.0,18499082223.0,17559794170.2,18288162631.0,419.040024462,923.815637929
Natural Gas,2017,6502338.59,57880560.0,53674400.0,3071721319.2,2848500408.0,3130729816.58,481.477513552,1061.46532638
Nuclear,2001,30469230.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2002,30865675.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2003,29709201.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2004,27081566.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2005,31391685.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2006,32567885.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2007,32010376.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2008,32194798.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2009,34327954.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2010,32771305.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2011,33606447.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2012,33110224.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2013,33379688.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2014,31507121.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2015,33261760.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2016,29885187.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2017,9016525.0,,,0.0,0.0,0.0,0.0,0.0
Other,2001,2063155.91,18661000.0,16469000.0,1417769475.0,1251232275.0,1098716629.67,532.541735866,1174.04151089
Other,2002,1170071.24,10761000.0,10077000.0,817566975.0,765600075.0,780144356.22,666.749450418,1469.91583839
Other,2003,2179350.57,19683000.0,18316000.0,1495415925.0,1391558100.0,1451693142.63,666.112723036,1468.5121092
