fuel category,year,generation (MWh),total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,28402187.0,295223000.0,295223000.0,28119990750.0,28119990750.0,29831473009.6,1050.32309694,2315.54229951
Coal,2002,26902879.0,282232000.0,282232000.0,26882598000.0,26882598000.0,28223236107.1,1049.07865463,2312.798802
Coal,2003,28812844.0,303560000.0,303560000.0,28914090000.0,28914090000.0,27713581096.1,961.848163828,2120.49046197
Coal,2004,29263899.0,307358610.0,307358610.0,29275907602.5,29275907602.5,27499570177.9,939.709714618,2071.68403685
Coal,2005,29947248.0,315914660.0,315914660.0,30090871365.0,30090871365.0,28502773643.8,951.766040199,2098.26341222
Coal,2006,29859008.0,314207360.0,314207360.0,29928251040.0,29928251040.0,28354756630.5,949.621522273,2093.535608
Coal,2007,27603647.38,294112540.0,294112540.0,28014219435.0,28014219435.0,26184192831.7,948.577282967,2091.23347803
Coal,2008,27014233.07,282781230.0,282781230.0,26934912157.5,26934912157.5,26287472404.6,973.097120192,2145.28991118
Coal,2009,29117308.2,304699940.0,304699940.0,29022669285.0,29022669285.0,28896852413.7,992.428703064,2187.90831878
Coal,2010,25617789.11,266382020.0,266382020.0,25372887405.0,25372887405.0,25774234221.0,1006.10689355,2218.06325751
Coal,2011,27140863.44,284165950.0,284165950.0,27066806737.5,27066806737.5,26849177670.7,989.252892786,2180.90692744
Coal,2012,24994048.92,262424260.0,262424260.0,24995910765.0,24995910765.0,25240966361.5,1009.8790493,2226.37935209
Coal,2013,24145270.92,255137080.0,255137080.0,24301806870.0,24301806870.0,24637092502.8,1020.36927166,2249.50609631
Coal,2014,20355631.32,213897670.0,213897670.0,20373753067.5,20373753067.5,20406640562.9,1002.50590326,2210.12451433
Coal,2015,20439531.78,214012670.0,214012670.0,20384706817.5,20384706817.5,20335635016.9,994.916871668,2193.39373528
Coal,2016,18365269.89,195274570.0,195274570.0,18599902792.5,18599902792.5,18786567717.4,1022.93992029,2255.17334827
Coal,2017,5232147.08,55119610.0,55119610.0,5250142852.5,5250142852.5,5331775323.23,1019.04156013,2246.57902346
Natural Gas,2001,4887271.0,56400000.0,51535000.0,2993148000.0,2734962450.0,2901421954.04,593.669136425,1308.80297816
Natural Gas,2002,3441739.0,41099000.0,37463000.0,2181123930.0,1988161410.0,2087311237.31,606.469937815,1337.02362491
Natural Gas,2003,3518706.0,40626000.0,36881000.0,2156021820.0,1957274670.0,1876008904.11,533.15306937,1175.38925673
Natural Gas,2004,2992673.71,35785150.0,35574470.0,1899117910.5,1887937122.9,1773385136.6,592.575505532,1306.3919595
Natural Gas,2005,4187214.79,48070640.0,44187570.0,2551108864.8,2345034339.9,2221271101.34,530.488931841,1169.51589914
Natural Gas,2006,5889598.89,56947230.0,53279990.0,3022189496.1,2827569069.3,2678908056.1,454.854075147,1002.77129407
Natural Gas,2007,6660003.99,62953460.0,59270290.0,3340940122.2,3145474290.3,2939996438.43,441.440642205,973.200039804
Natural Gas,2008,7966006.51,72196600.0,68449800.0,3831473562.0,3632630886.0,3545312626.73,445.055200781,981.168695642
Natural Gas,2009,8661072.65,72694880.0,72413220.0,3857917281.6,3842969585.4,3826309835.56,441.782443144,973.953574155
Natural Gas,2010,8512082.63,73112040.0,72622210.0,3880055962.8,3854060684.7,3915023986.19,459.937262873,1013.97768973
Natural Gas,2011,8565983.74,76374690.0,73971680.0,4053204798.3,3925677057.6,3894112882.23,454.60194654,1002.21545134
Natural Gas,2012,8799041.31,77305370.0,74774290.0,4102595985.9,3968271570.3,4007175820.12,455.410502001,1003.99799271
Natural Gas,2013,8975243.11,78006040.0,75519170.0,4139780542.8,4007802351.9,4063096946.03,452.700489139,998.023498355
Natural Gas,2014,8975656.14,81217030.0,78557130.0,4310187782.1,4169026889.1,4175756569.8,465.231344056,1025.64902111
Natural Gas,2015,9364623.75,82648570.0,80122070.0,4386159609.9,4252078254.9,4241842290.36,452.964518768,998.605578075
Natural Gas,2016,9996545.29,88652100.0,86355760.0,4704766947.0,4582900183.2,4628893257.89,463.049295893,1020.83847772
Natural Gas,2017,2077854.13,17782650.0,17535790.0,943725235.5,930624375.3,945094299.111,454.841504736,1002.74358134
Other,2001,66212.0,781000.0,769000.0,59336475.0,58424775.0,61980713.7919,936.094873919,2063.71475904
Other,2002,33089.0,331000.0,331000.0,25147725.0,25147725.0,26401844.8005,797.90398019,1759.05911473
Other,2003,50670.0,514000.0,514000.0,39051150.0,39051150.0,37429751.8068,738.696502996,1628.5303105
Other,2004,31375.86,312240.0,312240.0,23722434.0,23722434.0,22283057.7084,710.197511987,1565.70143493
Other,2005,36908.99,371140.0,371140.0,28197361.5,28197361.5,26709197.0332,723.650173932,1595.35917345
Other,2006,41486.01,414250.0,414250.0,31472643.75,31472643.75,29817952.0366,718.747164083,1584.54999794
Other,2007,44470.54,464070.0,464070.0,35257718.25,35257718.25,32954510.6765,741.041387769,1633.69984348
Other,2008,55637.75,574460.0,574460.0,43644598.5,43644598.5,42595504.7475,765.586400376,1687.81177827
Other,2009,44612.81,480960.0,480960.0,36540936.0,36540936.0,36382526.5099,815.517482756,1797.88984248
Other,2010,49868.83,521230.0,521230.0,39600449.25,39600449.25,40226846.7887,806.653109541,1778.34744529
Other,2011,37800.7,405620.0,405620.0,30816979.5,30816979.5,30569197.3898,808.693949843,1782.84668182
Other,2012,46148.94,495770.0,495770.0,37666125.75,37666125.75,38035397.9482,824.187900051,1817.00464445
Other,2013,58563.76,625060.0,625060.0,47488933.5,47488933.5,48144125.8157,822.080512175,1812.35869714
Other,2014,63821.79,699450.0,699450.0,53140713.75,53140713.75,53226493.9681,833.986228968,1838.60604038
Other,2015,63623.45,713610.0,713610.0,54216519.75,54216519.75,54086005.1309,850.095446426,1874.12042119
Other,2016,45008.14,502100.0,502100.0,38147047.5,38147047.5,38529883.6812,856.064784752,1887.28042447
Other,2017,-62.0,,,0.0,0.0,0.0,-0.0,-0.0
Renewables,2001,255973.0,,,0.0,0.0,0.0,0.0,0.0
Renewables,2002,283999.0,,,0.0,0.0,0.0,0.0,0.0
Renewables,2003,353434.0,,,0.0,0.0,0.0,0.0,0.0
Renewables,2004,652412.04,,,0.0,0.0,0.0,0.0,0.0
Renewables,2005,964270.22,,,0.0,0.0,0.0,0.0,0.0
Renewables,2006,1475531.68,,,0.0,0.0,0.0,0.0,0.0
Renewables,2007,1677210.96,,,0.0,0.0,0.0,0.0,0.0
Renewables,2008,1973959.62,,,0.0,0.0,0.0,0.0,0.0
Renewables,2009,1851345.02,,,0.0,0.0,0.0,0.0,0.0
Renewables,2010,2071801.68,,,0.0,0.0,0.0,0.0,0.0
Renewables,2011,2436491.43,,,0.0,0.0,0.0,0.0,0.0
Renewables,2012,2796670.32,,,0.0,0.0,0.0,0.0,0.0
Renewables,2013,2691887.37,,,0.0,0.0,0.0,0.0,0.0
Renewables,2014,3030785.96,,,0.0,0.0,0.0,0.0,0.0
Renewables,2015,2976042.65,,,0.0,0.0,0.0,0.0,0.0
Renewables,2016,4592737.08,,,0.0,0.0,0.0,0.0,0.0
Renewables,2017,1291260.32,,,0.0,0.0,0.0,0.0,0.0
