fuel category,year,generation (MWh),total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,23431922.0,263360000.0,246218000.0,25085040000.0,23452264500.0,24627122910.2,1051.00737832,2317.05086624
Coal,2002,23239112.0,254859000.0,237678000.0,24275319750.0,22638829500.0,24265182710.3,1044.15275034,2301.93915341
Coal,2003,23581068.0,260808000.0,243124000.0,24841962000.0,23157561000.0,24368419274.4,1033.389127,2278.20966939
Coal,2004,22852704.01,252555960.0,232061140.0,24055955190.0,22103823585.0,23589686929.7,1032.24926553,2275.69673078
Coal,2005,20597639.7,231870980.0,212954950.0,22085710845.0,20283958987.5,21064705717.7,1022.67570578,2254.59086097
Coal,2006,20967839.92,231570760.0,214109770.0,22057114890.0,20393955592.5,21455525491.3,1023.25874163,2255.8762218
Coal,2007,21405542.43,234247190.0,218817880.0,22312044847.5,20842403070.0,21392203063.7,999.376826523,2203.22615175
Coal,2008,19154125.35,208905140.0,193363210.0,19898214585.0,18417845752.5,18884992902.9,985.949113197,2173.62341495
Coal,2009,12758872.6,142844480.0,130230370.0,13605936720.0,12404442742.5,12909060722.9,1011.77126911,2230.55093988
Coal,2010,13582766.0,151558120.0,139546480.0,14435910930.0,13291802220.0,13924561926.7,1025.16394133,2260.07642506
Coal,2011,9426160.21,108803240.0,97478250.0,10363508610.0,9284803312.5,9886728362.3,1048.86063275,2312.31815097
Coal,2012,4551039.11,57466190.0,46861500.0,5473654597.5,4463557875.0,4872455200.67,1070.62477006,2360.29936807
Coal,2013,4697104.74,55663470.0,48881980.0,5301945517.5,4656008595.0,5150543501.67,1096.53579955,2417.4228237
Coal,2014,4592054.11,53770250.0,47643620.0,5121616312.5,4538054805.0,4968402657.22,1081.9564705,2385.28123487
Coal,2015,2380065.53,29461790.0,23628420.0,2806235497.5,2250607005.0,2487774780.83,1045.25474172,2304.36860359
Coal,2016,1770237.88,22879280.0,17426630.0,2179251420.0,1659886507.5,1783113492.48,1007.27337983,2220.63489316
Coal,2017,240965.7,3378280.0,2381270.0,321781170.0,226815967.5,257289512.206,1067.74330208,2353.94688376
Natural Gas,2001,38697213.0,382579000.0,357887000.0,20303467530.0,18993063090.0,19944534531.3,515.399766162,1136.25032448
Natural Gas,2002,38451190.0,392027000.0,366284000.0,20804872890.0,19438691880.0,20835150073.4,541.859694677,1194.58388289
Natural Gas,2003,28156348.0,284000000.0,264726000.0,15071880000.0,14049008820.0,14783600799.5,525.053916777,1157.53386493
Natural Gas,2004,27294045.28,274153790.0,247980730.0,14549341635.3,13160337341.1,14045001606.7,514.581164595,1134.44563547
Natural Gas,2005,31872701.14,320840140.0,289411720.0,17026986229.8,15359079980.4,15950263954.0,500.436529803,1103.2623736
Natural Gas,2006,42133878.03,407370760.0,380910800.0,21619166233.2,20214936156.0,21267187526.8,504.752672225,1112.77774119
Natural Gas,2007,45633631.17,427131500.0,406567240.0,22667868705.0,21576523426.8,22145688719.5,485.293152259,1069.87728347
Natural Gas,2008,43856460.44,418514700.0,392351660.0,22210575129.0,20822102596.2,21350230913.9,486.820657657,1073.24482187
Natural Gas,2009,41779597.22,386559910.0,365098180.0,20514734423.7,19375760412.6,20163974546.2,482.627308253,1064.00016377
Natural Gas,2010,48915545.12,446735380.0,425296800.0,23708246616.6,22570501176.0,23644975763.3,483.383670882,1065.66764083
Natural Gas,2011,50804754.87,455824480.0,435995870.0,24190605153.6,23138300820.9,24638335060.2,484.9612034,1069.14546902
Natural Gas,2012,59462256.3,527580940.0,505774710.0,27998720485.8,26841463859.7,29300354972.3,492.755519139,1086.32881749
Natural Gas,2013,54354386.62,484229590.0,461299630.0,25698064341.3,24481171364.1,27081422963.4,498.238038316,1098.41557927
Natural Gas,2014,54379758.96,481785670.0,458275940.0,25568365506.9,24320704135.8,26627058562.8,489.650176315,1079.48277871
Natural Gas,2015,56923415.47,503290300.0,481160320.0,26709616221.0,25535178182.4,28226061753.5,495.860297919,1093.17361279
Natural Gas,2016,56798183.6,511091770.0,486609170.0,27123640233.9,25824348651.9,27741501788.1,488.422340817,1076.77589257
Natural Gas,2017,11479081.66,101849330.0,94858910.0,5405143943.1,5034162353.7,5710520254.04,497.471873028,1096.72649128
Nuclear,2001,40394985.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2002,39617491.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2003,40679205.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2004,40640305.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2005,42443152.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2006,42223899.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2007,42452854.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2008,43209171.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2009,43484614.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2010,41869535.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2011,42695009.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2012,40774560.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2013,44755606.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2014,43038624.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2015,44602871.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2016,41570990.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2017,9800077.0,,,0.0,0.0,0.0,0.0,0.0
Other,2001,16505409.74,185944000.0,181557000.0,14132816775.0,13799514450.0,14490811258.8,877.943140283,1935.51344707
Other,2002,11428329.79,129239000.0,125275000.0,9853731525.0,9552018000.0,10238226407.5,895.863752242,1975.02122819
Other,2003,19222535.48,210011000.0,205093000.0,15985498850.0,15611853800.0,16428163529.3,854.630417846,1884.11821918
Other,2004,21276401.69,231182890.0,220975690.0,17639186336.5,16863694316.5,17997305664.1,845.881081128,1864.82943146
Other,2005,24202958.65,256367170.0,247400970.0,19807246013.2,19126038968.2,19862216378.0,820.652411351,1809.21030607
Other,2006,6998518.95,77626790.0,72752450.0,6023733342.75,5653405361.25,5947682993.17,849.848808821,1873.57668393
Other,2007,8359020.94,92477650.0,86913480.0,7098593707.5,6675855891.75,6851957731.58,819.708166873,1807.12862469
Other,2008,4060555.18,42839600.0,40581900.0,3307813115.0,3136284357.5,3215832547.89,791.968685397,1745.97416383
Other,2009,3045351.76,29834570.0,28235050.0,2310370554.5,2188847022.5,2277890245.71,747.98920625,1649.0170041
Other,2010,2307562.78,22588230.0,21763540.0,1849956420.5,1787300597.75,1872385508.23,811.412597075,1788.84021151
Other,2011,1645237.49,13675410.0,12896270.0,1106041699.75,1046846538.25,1114712612.89,677.539029879,1493.70254527
Other,2012,1135472.8,7047550.0,6387260.0,535437611.25,485272078.5,529726852.176,466.525355936,1028.5017997
Other,2013,1448332.79,11150670.0,10319040.0,847172153.25,783989064.0,867259949.498,598.798808869,1320.11185403
Other,2014,2578237.9,22649340.0,20977240.0,1720783606.5,1593745809.0,1744882169.26,676.773143882,1492.014073
Other,2015,2388297.3,20437180.0,18935830.0,1552714750.5,1438649684.25,1590253827.06,665.852541501,1467.93851299
Other,2016,1064087.49,7658480.0,6962820.0,581853018.0,529000249.5,568272275.333,534.046571051,1177.35907054
Other,2017,197157.51,1142730.0,984590.0,86818911.75,74804225.25,84854443.1754,430.389099433,948.83580861
Renewables,2001,24885026.26,,,0.0,0.0,0.0,0.0,0.0
Renewables,2002,26855563.21,,,0.0,0.0,0.0,0.0,0.0
Renewables,2003,26004164.52,,,0.0,0.0,0.0,0.0,0.0
Renewables,2004,25901337.77,,,0.0,0.0,0.0,0.0,0.0
Renewables,2005,27770967.15,,,0.0,0.0,0.0,0.0,0.0
Renewables,2006,29941296.33,,,0.0,0.0,0.0,0.0,0.0
Renewables,2007,28027638.95,,,0.0,0.0,0.0,0.0,0.0
Renewables,2008,30041788.24,,,0.0,0.0,0.0,0.0,0.0
Renewables,2009,32082114.09,,,0.0,0.0,0.0,0.0,0.0
Renewables,2010,30286244.8,,,0.0,0.0,0.0,0.0,0.0
Renewables,2011,32892776.14,,,0.0,0.0,0.0,0.0,0.0
Renewables,2012,29844915.43,,,0.0,0.0,0.0,0.0,0.0
Renewables,2013,30861399.89,,,0.0,0.0,0.0,0.0,0.0
Renewables,2014,32883686.44,,,0.0,0.0,0.0,0.0,0.0
Renewables,2015,32921587.81,,,0.0,0.0,0.0,0.0,0.0
Renewables,2016,33907496.94,,,0.0,0.0,0.0,0.0,0.0
Renewables,2017,8865669.32,,,0.0,0.0,0.0,0.0,0.0
