fuel category,year,generation (MWh),total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,124213236.0,1262133000.0,1247503000.0,1.2021816825e+11,1.1882466075e+11,1.17715578934e+11,947.689495298,2089.27626133
Coal,2002,132953066.0,1311459000.0,1304177000.0,1.2491646975e+11,1.2422285925e+11,1.22904066161e+11,924.416937937,2037.96958138
Coal,2003,134769138.0,1362027000.0,1350307000.0,1.2973307175e+11,1.2861674175e+11,1.25586973987e+11,931.867457571,2054.39499696
Coal,2004,128156781.79,1304918830.0,1291764590.0,1.24293518558e+11,1.23040577198e+11,1.17925481773e+11,920.165754211,2028.59742173
Coal,2005,136825598.15,1391848190.0,1377165660.0,1.32573540098e+11,1.31175029115e+11,1.24621027256e+11,910.8019913,2007.95407002
Coal,2006,133400156.39,1354755640.0,1340433290.0,1.2904047471e+11,1.27676270872e+11,1.22516251068e+11,918.411599985,2024.73021333
Coal,2007,133130679.08,1363035710.0,1352026880.0,1.29829151378e+11,1.2878056032e+11,1.24654671556e+11,936.333175927,2064.24011965
Coal,2008,130694310.01,1335260000.0,1324395930.0,1.27183515e+11,1.26148712332e+11,1.23266587019e+11,943.167204523,2079.30641909
Coal,2009,113711996.74,1183226630.0,1154664850.0,1.12702336508e+11,1.09981826962e+11,1.07255187874e+11,943.217874535,2079.4181262
Coal,2010,117828009.02,1241861940.0,1213650890.0,1.18287349785e+11,1.15600247272e+11,1.11081578494e+11,942.743405559,2078.3721119
Coal,2011,105336957.12,1116908440.0,1086868590.0,1.0638552891e+11,1.03524233198e+11,1.01953242873e+11,967.877235686,2133.78215379
Coal,2012,85588636.18,891973150.0,884040070.0,84960442537.5,84204816667.5,83551898376.6,976.203174928,2152.13751945
Coal,2013,94563884.83,973019500.0,964941230.0,92680107375.0,91910652157.5,89150848006.8,942.757884441,2078.40403204
Coal,2014,89879051.63,926772160.0,918540660.0,88275048240.0,87490997865.0,86538085300.9,962.828197801,2122.65104487
Coal,2015,71709529.78,743101000.0,735641370.0,70780370250.0,70069840492.5,69262293645.8,965.872930115,2129.36346173
Coal,2016,68943573.42,718220640.0,713386710.0,68410515960.0,67950084127.5,66150550830.5,959.488282215,2115.28786697
Coal,2017,18501736.34,186239980.0,185662620.0,17739358095.0,17684364555.0,17307894094.5,935.47404289,2062.34607496
Natural Gas,2001,924417.0,22008000.0,12109000.0,1167964560.0,642624630.0,636626520.794,688.678941207,1518.26159379
Natural Gas,2002,1766654.0,25815000.0,23065000.0,1370002050.0,1224059550.0,1211064507.99,685.513127068,1511.28223993
Natural Gas,2003,1793582.0,23166000.0,18267000.0,1229419620.0,969429690.0,946593263.084,527.766928462,1163.51497049
Natural Gas,2004,1390994.78,22357820.0,12393930.0,1186529507.4,657745865.1,630401773.081,453.202112721,999.129377706
Natural Gas,2005,2695628.1,30334720.0,26199460.0,1609863590.4,1390405342.2,1320935419.0,490.028805904,1080.3175055
Natural Gas,2006,2379061.65,25575850.0,21422860.0,1357310359.5,1136911180.2,1090963063.41,458.568639199,1010.96042198
Natural Gas,2007,3974897.29,40136740.0,35995310.0,2130056791.8,1910271101.7,1849069581.42,465.186757422,1025.55072541
Natural Gas,2008,2484391.12,25994160.0,21970790.0,1379510071.2,1165989825.3,1139350403.24,458.603475944,1011.03722307
Natural Gas,2009,4650455.73,40747780.0,36991940.0,2162484684.6,1963162255.8,1914492079.18,411.678379568,907.586155596
Natural Gas,2010,7127859.42,62098610.0,58087050.0,3295573232.7,3082679743.5,2962181655.99,415.57801318,916.183287857
Natural Gas,2011,12337577.12,100366420.0,95821360.0,5326445909.4,5085239575.2,5008070569.22,405.920102505,894.891457983
Natural Gas,2012,22665384.99,182370230.0,177924110.0,9678388106.1,9442432517.7,9369216552.81,413.371162984,911.318065915
Natural Gas,2013,21694211.35,172013270.0,167413630.0,9128744238.9,8884641344.1,8617861928.62,397.242462037,875.760731806
