fuel category,year,generation (MWh),total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,33679308.0,340497000.0,339992000.0,32432339250.0,32384238000.0,32986480472.5,979.428688752,2159.24848722
Coal,2002,34487723.0,352493000.0,352426000.0,33574958250.0,33568576500.0,34126604358.3,989.529066858,2181.5157808
Coal,2003,35978648.0,363592000.0,363592000.0,34632138000.0,34632138000.0,35393369131.9,983.732605291,2168.73690163
Coal,2004,36617854.01,374340110.0,374340110.0,35655895477.5,35655895477.5,36054649500.8,984.619401534,2170.69193262
Coal,2005,35970405.0,380520730.0,380520730.0,36244599532.5,36244599532.5,35727383918.6,993.243860295,2189.70541441
Coal,2006,36855550.0,376348250.0,376348250.0,35847170812.5,35847170812.5,36703487442.1,995.874093376,2195.50402626
Coal,2007,37170794.17,380707660.0,380707660.0,36262404615.0,36262404615.0,36876435370.5,992.080911747,2187.14157804
Coal,2008,38020366.58,386903330.0,386903330.0,36852542182.5,36852542182.5,36591336132.1,962.414080229,2121.73808127
Coal,2009,35526126.36,359113840.0,359113840.0,34205593260.0,34205593260.0,33909890811.0,954.505719745,2104.30330975
Coal,2010,34057264.95,350236260.0,350007100.0,33360003765.0,33338176275.0,32494281304.7,954.10718836,2103.42470746
Coal,2011,33137663.26,337759200.0,337716720.0,32171563800.0,32167517580.0,31186588948.8,941.122151678,2074.79789559
Coal,2012,30799120.46,313504250.0,313449010.0,29861279812.5,29856018202.5,29244205798.3,949.514316041,2093.29926114
Coal,2013,34284956.83,346627730.0,346595520.0,33016291282.5,33013223280.0,32662629766.8,952.681081932,2100.28071323
Coal,2014,33376687.67,335737220.0,335694830.0,31978970205.0,31974932557.5,31790675790.7,952.481447682,2099.84059956
Coal,2015,31656489.23,320312690.0,320214920.0,30509783722.5,30500471130.0,29855370393.8,943.104277196,2079.16768951
Coal,2016,25897428.87,260436780.0,260413630.0,24806603295.0,24804398257.5,24830970105.6,958.819897924,2113.81434696
Coal,2017,5989559.3,59745160.0,59745160.0,5690726490.0,5690726490.0,5709161438.6,953.185560514,2101.39288671
Hydro,2001,508406.0,,,0.0,0.0,0.0,0.0,0.0
Hydro,2002,457732.0,,,0.0,0.0,0.0,0.0,0.0
Hydro,2003,421338.0,,,0.0,0.0,0.0,0.0,0.0
Hydro,2004,449848.01,,,0.0,0.0,0.0,0.0,0.0
Hydro,2005,784462.99,,,0.0,0.0,0.0,0.0,0.0
Hydro,2006,746783.02,,,0.0,0.0,0.0,0.0,0.0
Hydro,2007,538782.04,,,0.0,0.0,0.0,0.0,0.0
Hydro,2008,668083.85,,,0.0,0.0,0.0,0.0,0.0
Hydro,2009,835257.21,,,0.0,0.0,0.0,0.0,0.0
Hydro,2010,695511.77,,,0.0,0.0,0.0,0.0,0.0
Hydro,2011,1230165.01,,,0.0,0.0,0.0,0.0,0.0
Hydro,2012,747786.0,,,0.0,0.0,0.0,0.0,0.0
Hydro,2013,504996.0,,,0.0,0.0,0.0,0.0,0.0
Hydro,2014,632823.0,,,0.0,0.0,0.0,0.0,0.0
Hydro,2015,768773.01,,,0.0,0.0,0.0,0.0,0.0
Hydro,2016,762468.71,,,0.0,0.0,0.0,0.0,0.0
Hydro,2017,149429.42,,,0.0,0.0,0.0,0.0,0.0
Natural Gas,2001,1446077.0,19308000.0,18288000.0,1024675560.0,970544160.0,988593153.915,683.637976342,1507.14828264
Natural Gas,2002,1380180.0,15745000.0,15660000.0,835587150.0,831076200.0,844891610.729,612.160450614,1349.56892942
Natural Gas,2003,1383108.0,14753000.0,14671000.0,782941710.0,778589970.0,795703753.854,575.301244628,1268.30912391
Natural Gas,2004,909850.4,9934430.0,9687570.0,527220200.1,514119339.9,519868940.422,571.378482025,1259.66100147
Natural Gas,2005,1177501.09,13206840.0,12971730.0,700886998.8,688409711.1,678586006.163,576.293314652,1270.49624148
Natural Gas,2006,3388550.17,30706490.0,30552160.0,1629593424.3,1621403131.2,1660135182.66,489.924923455,1080.08848625
Natural Gas,2007,7424217.7,62527990.0,59943510.0,3318360429.3,3181202075.7,3235069322.92,435.745482371,960.644490436
Natural Gas,2008,7366306.95,59909210.0,59130870.0,3179381774.7,3138075270.9,3115832999.43,422.984410042,932.511430378
Natural Gas,2009,6444042.41,53754920.0,52938660.0,2852773604.4,2809454686.2,2785167353.29,432.208104181,952.845986477
Natural Gas,2010,6455395.88,52094070.0,51300210.0,2764632294.9,2722502144.7,2653586981.27,411.064949477,906.233787617
Natural Gas,2011,5256046.36,43571540.0,42729120.0,2312341627.8,2267634398.4,2198484284.44,418.277186665,922.133885722
Natural Gas,2012,6579604.05,58607970.0,57591520.0,3110324967.9,3056381966.4,2993750292.39,455.004627884,1003.10320263
Natural Gas,2013,6606422.87,60944620.0,59974740.0,3234330983.4,3182859451.8,3149058151.4,476.666149499,1050.85819318
Natural Gas,2014,8376420.06,70756650.0,65848380.0,3755055415.5,3494573526.6,3474435913.55,414.787688375,914.440937792
Natural Gas,2015,8217665.04,69995210.0,63587700.0,3714645794.7,3374599239.0,3303224720.09,401.966337641,886.174987964
Natural Gas,2016,8548253.29,71833950.0,65349100.0,3812227726.5,3468076737.0,3471791933.29,406.14050795,895.377363828
Natural Gas,2017,1440658.73,12445530.0,11482100.0,660484277.1,609355047.0,611329035.557,424.339937576,935.499826381
Other,2001,61721.06,641000.0,637000.0,48699975.0,48396075.0,49296086.0445,798.691500834,1760.79528274
Other,2002,58446.68,568000.0,565000.0,43153800.0,42925875.0,43639454.0846,746.654114222,1646.07366021
Other,2003,37024.44,363000.0,355000.0,27578925.0,26971125.0,27563963.3634,744.480223425,1641.28110056
Other,2004,35727.55,354030.0,347430.0,26897429.25,26395994.25,26691191.1246,747.075887504,1647.00350159
Other,2005,44011.38,429440.0,429440.0,32626704.0,32626704.0,32161116.2722,730.745463383,1611.00144857
Other,2006,66964.69,762400.0,757910.0,57923340.0,57582212.25,58957735.1938,880.430196776,1940.99641181
Other,2007,43825.36,428040.0,428040.0,32520339.0,32520339.0,33071005.4144,754.608870626,1663.61071618
Other,2008,222142.88,453490.0,453490.0,34453902.75,34453902.75,34209697.9455,153.998624424,339.505367404
Other,2009,250983.65,371610.0,371610.0,28233069.75,28233069.75,27988998.9104,111.517219988,245.850863185
