fuel category,year,generation (MWh),total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,41253457.0,486639000.0,462248000.0,46352364750.0,44029122000.0,45561651467.4,1104.43232594,2434.83150576
Coal,2002,39807483.0,487099000.0,461542000.0,46396179750.0,43961875500.0,44011920149.6,1105.61926635,2437.44823459
Coal,2003,41717216.0,480015000.0,454430000.0,45721428750.0,43284457500.0,45566468159.9,1092.27011122,2408.01868719
Coal,2004,42148176.29,490145850.0,460728660.0,46686392212.5,43884404865.0,45457484739.9,1078.51605315,2377.69649078
Coal,2005,41729313.45,514116250.0,481661740.0,48969572812.5,45878280735.0,44831386079.7,1074.33797427,2368.48549809
Coal,2006,40116490.24,460857540.0,428630830.0,43896680685.0,40827086557.5,42604353301.9,1062.01597017,2341.32040783
Coal,2007,40028249.57,461327090.0,430296350.0,43941405322.5,40985727337.5,42271017141.3,1056.02961897,2328.12289797
Coal,2008,41705860.49,471364390.0,442546780.0,44897458147.5,42152580795.0,43392617528.2,1040.44412508,2293.76311815
Coal,2009,37279994.58,418604160.0,393818920.0,39872046240.0,37511252130.0,38739485271.9,1039.14943412,2290.90884247
Coal,2010,40168732.78,449857190.0,425599580.0,42848897347.5,40538359995.0,42611407735.9,1060.81035639,2338.66251169
Coal,2011,39937737.33,439222460.0,415680150.0,41835939315.0,39593534287.5,41552063261.5,1040.42106638,2293.71228293
Coal,2012,32758435.07,365533590.0,345842850.0,34817074447.5,32941531462.5,34587294587.5,1055.82865951,2327.67986275
Coal,2013,40645180.93,447058670.0,426677670.0,42582338317.5,40641048067.5,42272443457.7,1040.03580475,2292.86293515
Coal,2014,37449264.37,406537490.0,386490760.0,38722695922.5,36813244890.0,38403118955.5,1025.47058271,2260.75244664
Coal,2015,37180546.8,399411540.0,383510520.0,38043949185.0,36529377030.0,38403272857.5,1032.88617739,2277.10086667
Coal,2016,33369874.26,351738610.0,340359970.0,33503102602.5,32419287142.5,34207239952.3,1025.09346262,2259.92104769
Coal,2017,8888559.98,92963820.0,89711360.0,8854803855.0,8545007040.0,9026351485.23,1015.50211795,2238.77596924
Natural Gas,2001,2233967.0,33257000.0,25529000.0,1764948990.0,1354824030.0,1401981630.58,627.574906245,1383.55163831
Natural Gas,2002,2076313.0,29287000.0,22071000.0,1554261090.0,1171307970.0,1172641345.71,564.770988627,1245.09412153
Natural Gas,2003,2478392.0,33202000.0,27665000.0,1762030140.0,1468181550.0,1545585915.01,623.624477086,1374.84252218
Natural Gas,2004,2405362.0,36027880.0,22479710.0,1911999591.6,1192998209.7,1235762409.88,513.753193856,1132.62029118
Natural Gas,2005,6386793.66,70094800.0,60413090.0,3719931036.0,3206122686.3,3132962300.81,490.537579197,1081.4391471
Natural Gas,2006,5358481.6,53209320.0,44760440.0,2823818612.4,2375436550.8,2478843008.16,462.601757961,1019.8518356
Natural Gas,2007,6488750.33,62592210.0,55421640.0,3321768584.7,2941226434.8,3033461673.57,467.495514437,1030.64061113
Natural Gas,2008,5243588.88,48484760.0,41891500.0,2573086213.2,2223181905.0,2288583054.22,436.453563885,962.205526941
Natural Gas,2009,5484140.33,48527710.0,41950720.0,2575365569.7,2226324710.4,2299221391.76,419.249190102,924.2767645
Natural Gas,2010,5496813.68,49430920.0,43216170.0,2623298924.4,2293482141.9,2410766066.9,438.575183232,966.882848952
Natural Gas,2011,6243336.42,54940100.0,48537150.0,2915671107.0,2575866550.5,2703284053.46,432.987087609,954.563333344
Natural Gas,2012,11542006.79,98202600.0,88391030.0,5211611982.0,4690911962.1,4925270523.68,426.725665067,940.759401208
Natural Gas,2013,8102491.1,71959660.0,62477290.0,3818899156.2,3315669780.3,3448765963.9,425.642672276,938.3718353
Natural Gas,2014,8053502.6,73062130.0,61137260.0,3877407239.1,3244554388.2,3384678761.68,420.274125408,926.536336873
Natural Gas,2015,13398775.27,113992600.0,101597570.0,6049587282.0,5391783039.9,5668372474.56,423.051537199,932.659418909
Natural Gas,2016,15720401.23,137976510.0,120757250.0,7322413385.7,6408587257.5,6762026601.92,430.143385209,948.294107032
Natural Gas,2017,2575932.95,24820290.0,20013360.0,1317212790.3,1062109015.2,1121938137.9,435.546328139,960.205435014
Nuclear,2001,11507078.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2002,12448813.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2003,12215463.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2004,11887849.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2005,9920991.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2006,12233515.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2007,12910319.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2008,12154510.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2009,12683151.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2010,13280939.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2011,11559781.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2012,14299595.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2013,11675194.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2014,9447096.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2015,10008183.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2016,10151394.0,,,0.0,0.0,0.0,0.0,0.0
Nuclear,2017,2386749.0,,,0.0,0.0,0.0,0.0,0.0
Other,2001,610476.76,10390000.0,5796000.0,935183875.0,535837975.0,554488982.541,908.288437615,2002.41268957
Other,2002,568219.42,10080000.0,5106000.0,935327000.0,480175725.0,480722340.121,846.015329995,1865.12539651
Other,2003,642336.98,10153000.0,5283000.0,938312925.0,491585550.0,517502554.166,805.655863323,1776.14891628
Other,2004,909230.59,14271230.0,7706260.0,1327387183.0,738914706.0,765401834.1,841.812673835,1855.86022074
Other,2005,865693.31,14429810.0,7799840.0,1339906854.75,746424681.5,729392046.512,842.552481447,1857.4912006
Other,2006,987135.19,16411490.0,10049660.0,1568357202.75,985091133.5,1027973686.71,1041.37072321,2295.80589638
Other,2007,1117710.38,17212910.0,10921910.0,1638599143.5,1065361498.5,1098770647.5,983.054883589,2167.24279636
Other,2008,1005518.25,14689140.0,9748700.0,1436865517.75,967320856.25,995777320.17,990.312528062,2183.24299936
Other,2009,777490.97,11049540.0,7415160.0,1110431699.0,742334003.5,766640289.579,986.043978851,2173.83255577
Other,2010,781773.84,10747380.0,7321610.0,1082558106.75,734231702.25,771778790.288,987.214908967,2176.41398831
Other,2011,636568.27,9252190.0,5899550.0,930634626.5,589392063.75,618546860.226,971.689745431,2142.18721278
Other,2012,397460.15,6023090.0,2686410.0,598300189.0,258988886.0,271928003.868,684.164195752,1508.30838595
Other,2013,369072.65,5831160.0,2469360.0,582702567.25,241095338.5,250773283.399,679.468617897,1497.95651502
Other,2014,380768.61,5892230.0,2884880.0,577467633.0,276151635.5,288077949.65,756.569586054,1667.93330941
Other,2015,270279.54,4104290.0,1951010.0,407584620.25,188928383.5,198620092.977,734.869139472,1620.09250488
Other,2016,203921.74,2727160.0,1706670.0,267195178.5,164138019.5,173190378.729,849.298258877,1872.36294152
Other,2017,23500.79,169220.0,149830.0,17277362.0,15297643.0,16159366.7468,687.609512141,1515.90393047
Renewables,2001,3158455.24,,,0.0,0.0,0.0,0.0,0.0
Renewables,2002,3530608.61,,,0.0,0.0,0.0,0.0,0.0
Renewables,2003,3069019.03,,,0.0,0.0,0.0,0.0,0.0
Renewables,2004,3094315.52,,,0.0,0.0,0.0,0.0,0.0
Renewables,2005,2921872.22,,,0.0,0.0,0.0,0.0,0.0
Renewables,2006,2944221.45,,,0.0,0.0,0.0,0.0,0.0
Renewables,2007,2845600.46,,,0.0,0.0,0.0,0.0,0.0
Renewables,2008,3370077.42,,,0.0,0.0,0.0,0.0,0.0
Renewables,2009,3734283.57,,,0.0,0.0,0.0,0.0,0.0
Renewables,2010,4585807.86,,,0.0,0.0,0.0,0.0,0.0
Renewables,2011,4911920.82,,,0.0,0.0,0.0,0.0,0.0
Renewables,2012,4753440.93,,,0.0,0.0,0.0,0.0,0.0
Renewables,2013,5170853.16,,,0.0,0.0,0.0,0.0,0.0
Renewables,2014,5757563.02,,,0.0,0.0,0.0,0.0,0.0
Renewables,2015,5529807.97,,,0.0,0.0,0.0,0.0,0.0
Renewables,2016,5381090.28,,,0.0,0.0,0.0,0.0,0.0
Renewables,2017,1479713.31,,,0.0,0.0,0.0,0.0,0.0
