fuel category,year,generation (MWh),total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,42789310.0,474277000.0,469656000.0,45174884250.0,44734734000.0,47452044933.6,1108.96962194,2444.83442852
Coal,2002,41923161.0,461146000.0,456138000.0,43924156500.0,43447144500.0,44967241964.2,1072.61095995,2364.6781223
Coal,2003,42341453.0,473313000.0,462486000.0,45083063250.0,44051791500.0,44716857794.8,1056.10116391,2328.28062595
Coal,2004,43345740.28,479518350.0,467468800.0,45674122837.5,44526403200.0,46168444901.3,1065.12069244,2348.16507855
Coal,2005,43345675.62,471282200.0,459307670.0,44889629550.0,43749055567.5,46199667532.3,1065.8425984,2349.75659244
Coal,2006,42891826.7,468329660.0,456137480.0,44608400115.0,43447094970.0,45689180626.9,1065.21881072,2348.38139011
Coal,2007,43126809.22,472822440.0,460497500.0,45036337410.0,43862386875.0,46036340372.5,1067.46455871,2353.33236613
Coal,2008,43807903.11,478302460.0,466033850.0,45558309315.0,44389724212.5,46672119290.8,1065.38126633,2348.73953976
Coal,2009,41954266.35,455199990.0,443941230.0,43357799047.5,42285402157.5,43927511095.2,1047.03323206,2308.2894634
Coal,2010,42986523.44,465843430.0,453763750.0,44371586707.5,43220997187.5,45349178179.7,1054.96268483,2325.77073497
Coal,2011,40961448.7,459954160.0,438697280.0,43810633740.0,41785915920.0,43692127803.5,1066.66461246,2351.56880463
Coal,2012,43411766.09,482374510.0,462421310.0,45946172077.5,44045629777.5,45975613518.0,1059.05881421,2334.8010618
Coal,2013,46436678.64,516319760.0,492927040.0,49179457140.0,46951300560.0,48749539751.8,1049.806773,2314.40401175
Coal,2014,43408651.04,481021480.0,461018540.0,45817295970.0,43912015935.0,44947143061.0,1035.44206014,2282.73556579
Coal,2015,43091189.3,481551250.0,461283100.0,45867756562.5,43937215275.0,45498507455.5,1055.86566986,2327.76145578
Coal,2016,39769740.45,439107490.0,424959250.0,41824988422.5,40477368562.5,42259318636.5,1062.59980976,2342.6075406
Coal,2017,9985634.46,111207510.0,107407700.0,10592515327.5,10230583425.0,10722618798.6,1073.80445795,2367.30930799
Natural Gas,2001,591842.0,7500000.0,6582000.0,398025000.0,349306740.0,370524593.308,626.053225875,1380.19694176
Natural Gas,2002,713081.0,8076000.0,7114000.0,428593320.0,377539980.0,390749077.464,547.972919575,1208.0610985
Natural Gas,2003,280195.0,3298000.0,2872000.0,175024860.0,152417040.0,154718136.791,552.180220172,1217.33651339
Natural Gas,2004,86897.49,3094860.0,756230.0,164244220.2,40133126.1,41613152.824,478.876349869,1055.73080092
Natural Gas,2005,324981.38,7372500.0,4715230.0,391258575.0,250237256.1,264254345.289,813.136879686,1792.64156496
Natural Gas,2006,501270.12,8668530.0,3133790.0,460038887.1,166310235.3,174892668.566,348.899049809,769.182845208
Natural Gas,2007,594025.86,10094820.0,4328520.0,535732097.4,229714556.4,241099909.521,405.874433684,894.7907765
Natural Gas,2008,494678.78,7078090.0,3269730.0,375634236.3,173524571.1,182446717.702,368.818564851,813.097408071
Natural Gas,2009,488013.86,8662290.0,3215320.0,459707730.3,170637032.4,177263541.354,363.234645331,800.787099096
Natural Gas,2010,458983.26,8383810.0,2805230.0,444928796.7,148873556.1,156204017.981,340.32617656,750.283088843
Natural Gas,2011,458930.14,9629960.0,2909820.0,511061977.2,154424147.4,161468749.352,351.837317445,775.660550039
Natural Gas,2012,512914.82,11011150.0,3321320.0,584361730.5,176262452.4,183985889.865,358.706519466,790.804392816
Natural Gas,2013,512438.67,10305790.0,3266020.0,546928275.3,173327681.4,179966147.768,351.195486025,774.24556849
Natural Gas,2014,557121.41,10652810.0,3660970.0,565344626.7,194287677.9,198867573.433,356.955539427,786.944182222
Natural Gas,2015,722304.36,12778690.0,4886880.0,678165078.3,259346721.6,268562508.398,371.813494796,819.700030627
Natural Gas,2016,758024.49,13017530.0,4891500.0,690840317.1,259591905.0,271020014.849,357.53464225,788.220872304
Natural Gas,2017,189578.46,3440730.0,1232500.0,182599541.1,65408775.0,68554581.0314,361.615876779,797.218361948
Other,2001,151516.0,900000.0,422000.0,68377500.0,32061450.0,34008950.7638,224.457818077,494.839705733
Other,2002,116653.0,552000.0,478000.0,41938200.0,36316050.0,37586649.8553,322.20902896,710.342025245
Other,2003,44921.0,537000.0,528000.0,40798575.0,40114800.0,40720428.0686,906.489794719,1998.44740144
Other,2004,165304.67,1027610.0,566460.0,78072669.75,43036798.5,44623906.6594,269.949461557,595.130582949
Other,2005,371010.96,929560.0,469630.0,70623321.0,35680139.25,37678769.278,101.557024833,223.892616946
Other,2006,404896.0,923180.0,527260.0,70138600.5,40058578.5,42125799.8954,104.04103744,229.368871141
Other,2007,428346.34,741360.0,497380.0,56324826.0,37788445.5,39661355.9618,92.5917937383,204.127868476
Other,2008,400049.47,526280.0,463850.0,39984123.0,35241003.75,37052997.2899,92.6210383179,204.192341076
Other,2009,394155.7,573690.0,533040.0,43586097.75,40497714.0,42070399.9559,106.735485383,235.309051075
Other,2010,403067.07,617780.0,608350.0,46935835.5,46219391.25,48495211.7152,120.315489219,265.247527533
Other,2011,382494.01,617760.0,607550.0,46934316.0,46158611.25,48264299.0482,126.183150027,278.183372549
Other,2012,401348.36,724110.0,525050.0,55014257.25,39890673.75,41638596.3503,103.746770886,228.720131095
