year,generation (MWh),final CO2 (kg),index (g/kWh),change since 2005,index (lb/MWh)
2001,125345113.04,78207770406.7,623.939525921,0.0232398471901,1375.53707884
2002,132920675.0,81003623066.7,609.413268979,-0.000582725856659,1343.51249279
2003,137487227.0,83660885335.9,608.499328711,-0.00208155717162,1341.49762008
2004,137354770.87,80778958124.4,588.104494753,-0.0355283992391,1296.53516913
2005,137948581.01,84116712687.8,609.768596907,0.0,1344.29584874
2006,140895441.32,84757324439.9,601.561864925,-0.0134587645606,1326.20328741
2007,143826270.86,87080581243.5,605.456713317,-0.00707134413334,1334.78987018
2008,145869895.23,82697034416.3,566.923245444,-0.0702649360443,1249.83898691
2009,143255555.66,68858888482.0,480.671679118,-0.211714605253,1059.68878378
2010,152150512.08,79507193368.6,522.556199658,-0.143025399621,1152.02739777
2011,156339209.9,78741304958.0,503.65679223,-0.174019792451,1110.36176415
2012,152878687.73,71543122498.1,467.973159375,-0.232539750738,1031.69362716
2013,150572923.88,69514209245.6,461.664736623,-0.242885351977,1017.78607836
2014,149343028.14,70308886577.7,470.787873083,-0.227923714881,1037.898945
2015,152480638.68,67111155749.0,440.129031003,-0.278203185216,970.308461749
2016,142969887.81,59964902757.9,419.42330428,-0.312159880965,924.660616617
2017,31681698.221,12675575636.8,400.091420239,-0.343863520903,882.041545059
