year,generation (MWh),final CO2 (kg),index (g/kWh),change since 2005,index (lb/MWh)
2001,89944873.0,47744178538.8,530.816009255,0.0127013033221,1170.236974
2002,94093553.0,47899769280.6,509.065369023,-0.0287949992144,1122.28551255
2003,93097960.0,50031699742.2,537.409195026,0.0252799138141,1184.77231135
2004,103240587.33,53958288612.8,522.64608337,-0.00288544321137,1152.2255554
2005,101523344.339,53214325202.8,524.158512993,0.0,1155.55985774
2006,104420457.299,56067084055.6,536.935821829,0.0243768030461,1183.7287128
2007,113369477.463,60546987259.9,534.067798625,0.0189051315331,1177.40586885
2008,119478222.396,60516618672.0,506.507524622,-0.03367490546,1116.64648878
2009,111989549.3,55085314328.5,491.879060794,-0.0615833786885,1084.39657743
2010,111775341.52,55377298491.9,495.433945796,-0.0548012986245,1092.2336769
2011,108167420.97,53462087211.9,494.253137705,-0.057054067704,1089.63046738
2012,110955586.65,53149403108.7,479.015115087,-0.0861254692751,1056.03672272
2013,113347989.63,56937716637.3,502.326656372,-0.0416512487724,1107.42934664
2014,113358502.06,56213062307.6,495.887483392,-0.0539360306086,1093.23354589
2015,114512125.73,54247442069.6,473.72661824,-0.0962149683777,1044.37770257
2016,110381260.5,48409656367.0,438.567707487,-0.163291835168,966.866367926
2017,22199149.41,9263439765.97,417.288049866,-0.203889587745,919.953234734
