year,generation (MWh),final CO2 (kg),index (g/kWh),change since 2005,index (lb/MWh)
2001,46876003.0,43079760933.8,919.015235446,0.0582089099327,2026.06098806
2002,45597504.0,41988285596.4,920.846140973,0.060317123668,2030.09740239
2003,46612788.0,42939607633.9,921.198011882,0.0607222888019,2030.87313699
2004,47867739.41,42659930673.0,891.204205564,0.0261856327547,1964.74879159
2005,49614264.33,43088150540.7,868.4629536,0.0,1914.61342751
2006,50695833.87,43503708877.6,858.131833656,-0.0118958671764,1891.83744048
2007,53905580.74,44209837201.0,820.134698376,-0.0556480331412,1808.06895604
2008,53441593.61,42417263871.1,793.712556191,-0.0860720622558,1749.81870138
2009,50565951.61,39682596767.6,784.769108542,-0.0963700808543,1730.10197669
2010,50720791.87,41493138390.7,818.069609344,-0.0580258997199,1803.51626076
2011,51455069.39,39704908722.2,771.642312271,-0.11148505636,1701.16264163
2012,52578181.14,39727462011.8,755.588366703,-0.129970526007,1665.77011323
2013,52982453.98,39417378089.4,743.970411492,-0.143348131997,1640.15716918
2014,54244770.42,38650506814.5,712.520423909,-0.179561521933,1570.82252655
2015,52828679.036,38253152512.2,724.098221085,-0.166230156297,1596.3469382
2016,54840851.206,36236298239.8,660.753752775,-0.239168752062,1456.69772337
2017,13587330.926,9047613337.34,665.885992371,-0.23325918554,1468.01225878
