year,generation (MWh),final CO2 (kg),index (g/kWh),change since 2005,index (lb/MWh)
2001,118307774.798,73914207316.4,624.762044951,-0.0200363529678,1377.3504043
2002,126530968.999,79672479163.8,629.667818038,-0.0123414564482,1388.16567165
2003,124093632.999,77566443832.9,625.06384863,-0.0195629621204,1378.01576069
2004,126830315.78,79222347286.0,624.632579355,-0.0202394248085,1377.06498444
2005,136684138.94,87141051012.6,637.535940076,0.0,1405.51173349
2006,138025115.899,88212065152.7,639.101547411,0.00245571619814,1408.96327142
2007,145167966.399,93263807477.5,642.454460105,0.0077148905963,1416.35510275
2008,136204822.35,87276599561.5,640.774666093,0.0050800681383,1412.65182887
2009,128749095.55,76466220905.4,593.916567559,-0.0684186879133,1309.34846484
2010,137660395.31,82244789082.4,597.446991905,-0.0628810795619,1317.13163835
2011,124830180.19,73383815366.1,587.869177585,-0.0779042550688,1296.0163889
2012,122419780.25,59809219777.3,488.558463797,-0.233676984958,1077.07598929
2013,121108469.326,57732239121.6,476.698611112,-0.252279626691,1050.92975806
2014,126102648.837,62667528611.6,496.956481006,-0.220504367257,1095.59025803
2015,129007744.958,59029151396.9,457.562849549,-0.282294815419,1008.74305812
2016,133337999.897,60435755657.8,453.252303953,-0.289056074394,999.240029294
2017,28550301.444,11203777832.8,392.422400681,-0.384470151386,865.134424542
