year,generation (MWh),final CO2 (kg),index (g/kWh),change since 2005,index (lb/MWh)
2001,44748522.0,36613135161.6,818.197641513,-0.0467932662318,1803.79852048
2002,47188445.0,41161396960.5,872.277036476,0.0162096572944,1923.02195462
2003,46567561.0,41149620864.1,883.654200058,0.0294641429922,1948.10404945
2004,46782658.78,39680895772.8,848.196678163,-0.0118441508942,1869.93439668
2005,45862695.85,39366853221.4,858.363262162,0.0,1892.34764776
2006,45523736.29,36302882287.1,797.449533928,-0.0709649759255,1758.0572425
2007,50122195.79,39100588812.3,780.105264664,-0.0911711870115,1719.82006648
2008,46630321.42,36863846088.8,790.555264605,-0.0789968542998,1742.85813635
2009,46677307.59,35437618743.2,759.204430864,-0.115520823955,1673.74208828
2010,47923762.17,36143074967.1,754.178581366,-0.121375978433,1662.66210048
2011,45359840.19,35562758351.9,784.014189709,-0.0866172583689,1728.43768263
2012,44424690.78,31915644821.1,718.421316182,-0.163033475627,1583.83163365
2013,48530482.39,33049161021.0,680.997991229,-0.206631945648,1501.32817146
2014,49793175.472,31761488941.4,637.868315091,-0.256878360003,1406.24448745
2015,45593590.081,27800556792.2,609.747044329,-0.289639863206,1344.24833393
2016,47694273.443,25846639777.7,541.923336112,-0.368655020548,1194.72418679
2017,12599400.85,5417364224.93,429.969987416,-0.499081558625,947.911834258
