year,generation (MWh),final CO2 (kg),index (g/kWh),change since 2005,index (lb/MWh)
2001,30267338.0,33711425927.1,1113.78892743,1.82280263964,2455.45906941
2002,31306305.048,33872506425.5,1081.97075233,1.74216220011,2385.31272059
2003,64825058.0,34167170761.5,527.067338089,0.33580702464,1161.97265355
2004,72152805.336,32315620117.5,447.877528352,0.135107234533,987.390799004
2005,85143917.671,33595105590.5,394.568473115,0.0,869.86565583
2006,110279062.961,32848155074.6,297.863929858,-0.245089382063,656.670819764
2007,133953115.669,31647533257.3,236.258284096,-0.401223614672,520.855013119
2008,197130421.92,32001063468.6,162.334474592,-0.588577178225,357.882582687
2009,252857332.24,31777616534.6,125.674095558,-0.681489768895,277.061111068
2010,314540780.56,30662641636.6,97.4838352662,-0.752935569088,214.912863228
2011,390374106.25,29706030516.2,76.0963138707,-0.807140410206,167.761933559
2012,453303492.3,30272162623.2,66.7812252439,-0.830748704485,147.225889173
2013,533021951.4,29731843562.0,55.7797732042,-0.858630942397,122.972088006
2014,575226268.52,29952534991.6,52.0708747684,-0.868030827812,114.795450514
2015,602806829.91,30729560249.8,50.9774586568,-0.870801997295,112.384905355
2016,709929967.736,29472639052.3,41.5148541289,-0.894784157991,91.5236474126
2017,210420323.95,7407470170.1,35.203206758,-0.910780487655,77.6089896187
