year,generation (MWh),final CO2 (kg),index (g/kWh),change since 2005,index (lb/MWh)
2001,35848254.06,34024369712.5,949.122087104,-0.00599673726306,2092.43455323
2002,36601733.68,35015135423.1,956.652374153,0.00188963478263,2109.03582406
2003,38018583.44,36216636849.1,952.603531541,-0.00235066561839,2100.10974563
2004,38208155.97,36601209632.3,957.942321558,0.00324057998439,2111.87964211
2005,38161182.46,36438131041.0,954.848060046,0.0,2105.05803318
2006,41263323.91,38422580360.0,931.155726664,-0.0248126737366,2052.825915
2007,45372574.75,40144575698.9,884.776231459,-0.0733853180622,1950.57767987
2008,46578762.7,39741378829.4,853.208125888,-0.106446185955,1880.98263433
2009,43542945.61,36723047163.2,843.375353889,-0.116743920652,1859.30530518
2010,42249354.65,35182404579.3,832.732354629,-0.127890195861,1835.84174902
2011,40836150.1,33422380369.5,818.450815948,-0.142847066256,1804.35666884
2012,39402960.86,32268253192.8,818.929656262,-0.142345583,1805.4123202
2013,42516750.86,35831672125.6,842.766001654,-0.117382087352,1857.96192725
2014,43821818.92,35283828309.5,805.165763975,-0.156760329034,1775.06844326
2015,42016225.93,33173462038.7,789.539310216,-0.173125711563,1740.6183633
2016,37879231.85,28320370614.0,747.649021136,-0.216996868487,1648.267032
2017,8499008.1,6328354207.0,744.599149987,-0.220190959019,1641.54328606
