year,generation (MWh),final CO2 (kg),index (g/kWh),change since 2005,index (lb/MWh)
2001,83069906.383,14438475412.2,173.81114342,0.178681901678,383.184046784
2002,102765048.0,11844213284.7,115.255269328,-0.218408570611,254.09176676
2003,100094691.0,15241616702.7,152.271979167,0.0326163354362,335.698805271
2004,102165052.13,14731422490.2,144.192384608,-0.0221745812561,317.886531107
2005,101965850.33,15036118744.6,147.462299347,0.0,325.095385141
2006,108203155.37,10207309625.5,94.3346761985,-0.360279362141,207.970227147
2007,106990216.57,12510501099.9,116.931262511,-0.207042999948,257.786661332
2008,110828451.09,13504361308.0,121.849228922,-0.173692330435,268.628810082
2009,104470132.65,13442847689.1,128.676468078,-0.127394129566,283.680141525
2010,103472729.01,14045520503.4,135.741278284,-0.0794848657253,299.255222105
2011,115262600.91,7755081997.18,67.2818584342,-0.543735187013,148.329585104
2012,116835473.51,6559107044.07,56.1396881189,-0.619294637562,123.765556427
2013,114172916.31,12316047652.4,107.871884598,-0.268478213918,237.814356785
2014,116370165.33,11978463286.6,102.934143409,-0.301962984001,226.928612559
2015,109342926.54,11465765976.9,104.860610007,-0.288898854345,231.175700821
2016,112868420.881,10024365170.3,88.8146134417,-0.397713084396,195.800696794
2017,30414524.81,2113577046.05,69.4923579853,-0.528744917902,153.202852414
