fuel category,year,month,generation (MWh),quarter,total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),datetime,adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,1,199857.0,1,3652000.0,2008000.0,347853000.0,191262000.0,2001-01-01,195712262.964,979.261486785,2158.87987377
Coal,2001,2,184141.0,1,3271000.0,1931000.0,311562750.0,183927750.0,2001-02-01,190622273.129,1035.19733861,2282.1960527
Coal,2001,3,102496.0,1,2558000.0,1003000.0,243649500.0,95535750.0,2001-03-01,100444814.444,979.987652633,2160.480779
Coal,2001,4,205590.0,2,3687000.0,2150000.0,351186750.0,204787500.0,2001-04-01,203128296.989,988.026153944,2178.20245898
Coal,2001,5,200475.0,2,3539000.0,2014000.0,337089750.0,191833500.0,2001-05-01,201370481.457,1004.46679864,2214.44750428
Coal,2001,6,215798.0,2,3741000.0,2192000.0,356330250.0,208788000.0,2001-06-01,214475631.695,993.872193879,2191.09063863
Coal,2001,7,223656.0,3,3881000.0,2260000.0,369665250.0,215265000.0,2001-07-01,231174642.761,1033.61699557,2278.71202843
Coal,2001,8,226382.0,3,4000000.0,2368000.0,381000000.0,225552000.0,2001-08-01,238770671.661,1054.72463208,2325.24592389
Coal,2001,9,182546.0,3,3362000.0,1819000.0,320230500.0,173259750.0,2001-09-01,184796988.954,1012.33107794,2231.78509443
Coal,2001,10,137018.0,4,2792000.0,1480000.0,265938000.0,140970000.0,2001-10-01,147246347.266,1074.64966111,2369.17264288
Coal,2001,11,143407.0,4,2907000.0,1465000.0,276891750.0,139541250.0,2001-11-01,145811296.467,1016.76554469,2241.56131982
Coal,2001,12,211485.0,4,3728000.0,2085000.0,355092000.0,198596250.0,2001-12-01,210002345.823,992.989317557,2189.14424949
Coal,2002,1,203422.0,1,3646000.0,2071000.0,347281500.0,197262750.0,2002-01-01,207197256.846,1018.55874412,2245.51460729
Coal,2002,2,183984.0,1,3565000.0,2102000.0,339566250.0,200215500.0,2002-02-01,209105297.878,1136.54066592,2505.61755208
Coal,2002,3,213429.0,1,3761000.0,2227000.0,358235250.0,212121750.0,2002-03-01,220729942.187,1034.20782643,2280.01457415
Coal,2002,4,158370.0,2,3404000.0,1988000.0,324231000.0,189357000.0,2002-04-01,190147944.604,1200.65634024,2646.9669677
Coal,2002,5,166256.0,2,3229000.0,1772000.0,307562250.0,168783000.0,2002-05-01,175644143.214,1056.46799643,2329.08934493
Coal,2002,6,204991.0,2,3629000.0,2246000.0,345662250.0,213931500.0,2002-06-01,227525248.703,1109.92799051,2446.94724789
Coal,2002,7,204377.0,3,3878000.0,2356000.0,369379500.0,224409000.0,2002-07-01,229877882.676,1124.77374008,2479.67618738
Coal,2002,8,208086.0,3,3645000.0,2321000.0,347186250.0,221075250.0,2002-08-01,226180080.243,1086.95481793,2396.3005916
Coal,2002,9,201927.0,3,3615000.0,2117000.0,344328750.0,201644250.0,2002-09-01,204880054.286,1014.62436567,2236.84087655
Coal,2002,10,217024.0,4,3854000.0,2386000.0,367093500.0,227266500.0,2002-10-01,235215539.059,1083.82270652,2389.39553879
Coal,2002,11,158407.0,4,3158000.0,1698000.0,300799500.0,161734500.0,2002-11-01,165528567.999,1044.95740718,2303.71309986
Coal,2002,12,207535.0,4,3852000.0,2305000.0,366903000.0,219551250.0,2002-12-01,226371354.17,1090.76230116,2404.69456913
Coal,2003,1,210749.0,1,3649000.0,2178000.0,347567250.0,207454500.0,2003-01-01,218086428.705,1034.81595977,2281.3552649
Coal,2003,2,194889.0,1,3401000.0,2021000.0,323945250.0,192500250.0,2003-02-01,207704531.532,1065.75810606,2349.57032063
Coal,2003,3,181775.0,1,3305000.0,1818000.0,314801250.0,173164500.0,2003-03-01,187921017.459,1033.81112617,2279.14000875
Coal,2003,4,123757.0,2,2389000.0,1199000.0,227552250.0,114204750.0,2003-04-01,121390759.566,980.879946717,2162.44793053
Coal,2003,5,168217.0,2,3212000.0,1594000.0,305943000.0,151828500.0,2003-05-01,158984809.534,945.117375377,2083.60576576
Coal,2003,6,197728.0,2,3542000.0,1977000.0,337375500.0,188309250.0,2003-06-01,197154890.373,997.101525194,2198.21002244
Coal,2003,7,216013.0,3,3800000.0,2148000.0,361950000.0,204597000.0,2003-07-01,214616067.715,993.533110113,2190.34309456
Coal,2003,8,210400.0,3,3791000.0,2093000.0,361092750.0,199358250.0,2003-08-01,209800460.679,997.150478513,2198.31794493
Coal,2003,9,213888.0,3,3770000.0,2097000.0,359092500.0,199739250.0,2003-09-01,210426047.086,983.814178853,2168.9167387
Coal,2003,10,205731.0,4,3665000.0,2066000.0,349091250.0,196786500.0,2003-10-01,206313335.341,1002.83056681,2210.8402676
Coal,2003,11,201180.0,4,3552000.0,1987000.0,338328000.0,189261750.0,2003-11-01,197289813.971,980.663157225,2161.96999642
Coal,2003,12,201977.0,4,3646000.0,1988000.0,347281500.0,189357000.0,2003-12-01,198739556.685,983.97122784,2169.2629689
Coal,2004,1,209730.99,1,3839650.0,1874070.0,365726662.5,178505167.5,2004-01-01,188528481.142,898.906170909,1981.72854439
Coal,2004,2,210964.75,1,3831270.0,1908840.0,364928467.5,181817010.0,2004-02-01,191660532.291,908.495529662,2002.86924469
Coal,2004,3,206801.35,1,3738250.0,1845880.0,356068312.5,175820070.0,2004-03-01,184246812.808,890.936218784,1964.15798793
Coal,2004,4,79464.81,2,2234710.0,574160.0,212856127.5,54688740.0,2004-04-01,57182841.2935,719.59954719,1586.42916173
Coal,2004,5,164018.15,2,3298080.0,1468170.0,314142120.0,139843192.5,2004-05-01,149256035.979,909.997070319,2006.17954123
Coal,2004,6,191848.12,2,3617150.0,1713280.0,344533537.5,163189920.0,2004-06-01,170058976.182,886.425033418,1954.21262867
