fuel category,year,month,generation (MWh),quarter,total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),datetime,adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,1,327541.0,1,3386000.0,3183000.0,322516500.0,303180750.0,2001-01-01,349961667.236,1068.45148313,2355.50813971
Coal,2001,2,354781.0,1,3662000.0,3430000.0,348805500.0,326707500.0,2001-02-01,384447229.669,1083.61842847,2388.9451874
Coal,2001,3,380582.0,1,3948000.0,3710000.0,376047000.0,353377500.0,2001-03-01,410484458.958,1078.57034478,2377.81618211
Coal,2001,4,301700.0,2,3153000.0,2946000.0,300323250.0,280606500.0,2001-04-01,346458995.126,1148.35596661,2531.66556399
Coal,2001,5,309332.0,2,3221000.0,2990000.0,306800250.0,284797500.0,2001-05-01,338520175.589,1094.35873298,2412.62326272
Coal,2001,6,330648.0,2,3504000.0,3272000.0,333756000.0,311658000.0,2001-06-01,360335485.87,1089.78577179,2402.54171249
Coal,2001,7,345969.0,3,3597000.0,3391000.0,342614250.0,322992750.0,2001-07-01,378408674.271,1093.7646849,2411.31362434
Coal,2001,8,353282.0,3,3639000.0,3458000.0,346614750.0,329374500.0,2001-08-01,375629730.538,1063.25748421,2344.0574497
Coal,2001,9,295070.0,3,3076000.0,2907000.0,292989000.0,276891750.0,2001-09-01,319268035.663,1082.00778006,2385.39435192
Coal,2001,10,156843.0,4,1765000.0,1577000.0,168116250.0,150209250.0,2001-10-01,184226764.25,1174.59347404,2589.50877288
Coal,2001,11,276234.0,4,3400000.0,3138000.0,323850000.0,298894500.0,2001-11-01,353771195.214,1280.69388712,2823.41774354
Coal,2001,12,303800.0,4,3539000.0,3420000.0,337089750.0,325755000.0,2001-12-01,364557979.118,1199.99334799,2645.50533497
Coal,2002,1,329620.0,1,3451000.0,3371000.0,328707750.0,321087750.0,2002-01-01,349976566.478,1061.75767999,2340.7509813
Coal,2002,2,307357.0,1,3053000.0,2989000.0,290798250.0,284702250.0,2002-02-01,326615300.756,1062.65775875,2342.73529494
Coal,2002,3,271166.0,1,2852000.0,2768000.0,271653000.0,263652000.0,2002-03-01,296620094.096,1093.86904736,2411.54370181
Coal,2002,4,278221.0,2,3099000.0,3021000.0,295179750.0,287750250.0,2002-04-01,326896544.825,1174.95280667,2590.30095759
Coal,2002,5,229807.0,2,2425000.0,2336000.0,230981250.0,222504000.0,2002-05-01,259954472.941,1131.18605152,2493.81276917
Coal,2002,6,300271.0,2,3166000.0,3079000.0,301561500.0,293274750.0,2002-06-01,341195995.379,1136.29353277,2505.07272235
Coal,2002,7,351413.0,3,3727000.0,3640000.0,354996750.0,346710000.0,2002-07-01,397479175.84,1131.08842257,2493.59753639
Coal,2002,8,217378.0,3,2361000.0,2278000.0,224885250.0,216979500.0,2002-08-01,252069238.871,1159.58946568,2556.43093604
Coal,2002,9,131585.0,3,1414000.0,1326000.0,134683500.0,126301500.0,2002-09-01,151877050.539,1154.21249032,2544.57685616
Coal,2002,10,136451.0,4,1474000.0,1385000.0,140398500.0,131921250.0,2002-10-01,163602696.188,1198.98495569,2643.28223331
Coal,2002,11,297579.0,4,3183000.0,3094000.0,303180750.0,294703500.0,2002-11-01,354074650.474,1189.85093193,2623.14536454
Coal,2002,12,376355.0,4,3900000.0,3817000.0,371475000.0,363569250.0,2002-12-01,445334409.484,1183.28283,2608.66532701
