fuel category,year,month,generation (MWh),quarter,total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),datetime,adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,1,6721861.0,1,67155000.0,65832000.0,6396513750.0,6270498000.0,2001-01-01,6590712690.28,980.489285672,2161.58667919
Coal,2001,2,5359079.0,1,53293000.0,52408000.0,5076158250.0,4991862000.0,2001-02-01,5452987640.87,1017.52327982,2243.23182268
Coal,2001,3,5174341.0,1,53654000.0,52377000.0,5110543500.0,4988909250.0,2001-03-01,5317183144.12,1027.6058621,2265.45988359
Coal,2001,4,5111631.0,2,52186000.0,51066000.0,4970716500.0,4864036500.0,2001-04-01,5202424182.87,1017.76207689,2243.75827472
Coal,2001,5,5829141.0,2,59454000.0,58409000.0,5662993500.0,5563457250.0,2001-05-01,5987098655.05,1027.09793005,2264.34009658
Coal,2001,6,6198990.0,2,64151000.0,63042000.0,6110382750.0,6004750500.0,2001-06-01,6326483620.18,1020.56683753,2249.94165002
Coal,2001,7,6341317.0,3,66514000.0,65409000.0,6335458500.0,6230207250.0,2001-07-01,6728471571.13,1061.05270737,2339.19679866
Coal,2001,8,6332893.0,3,67733000.0,66582000.0,6451568250.0,6341935500.0,2001-08-01,6611145408.76,1043.93764568,2301.46493367
Coal,2001,9,5595303.0,3,61420000.0,59655000.0,5850255000.0,5682138750.0,2001-09-01,5797851950.9,1036.19981812,2284.40611902
Coal,2001,10,5606565.0,4,58453000.0,57368000.0,5567648250.0,5464302000.0,2001-10-01,5784898738.57,1031.80802123,2274.72396361
Coal,2001,11,4706288.0,4,47565000.0,46545000.0,4530566250.0,4433411250.0,2001-11-01,4823440696.45,1024.89280224,2259.47867181
Coal,2001,12,5250329.0,4,54867000.0,53728000.0,5226081750.0,5117592000.0,2001-12-01,5447338424.02,1037.52325312,2287.32376382
Coal,2002,1,5757263.0,1,61048000.0,60225000.0,5814822000.0,5736431250.0,2002-01-01,6143102447.59,1067.01786033,2352.34757487
Coal,2002,2,4889070.0,1,51590000.0,50839000.0,4913947500.0,4842414750.0,2002-02-01,5240010061.22,1071.7805352,2362.8473679
Coal,2002,3,4424003.0,1,46784000.0,46002000.0,4456176000.0,4381690500.0,2002-03-01,4624961986.05,1045.4246948,2304.74328215
Coal,2002,4,4343792.0,2,47322000.0,46840000.0,4507420500.0,4461510000.0,2002-04-01,4697708264.32,1081.4763378,2384.22273431
Coal,2002,5,5489857.0,2,59125000.0,58209000.0,5631656250.0,5544407250.0,2002-05-01,5811289191.19,1058.55019378,2333.67975721
Coal,2002,6,5623119.0,2,60297000.0,59498000.0,5743289250.0,5667184500.0,2002-06-01,5939746414.62,1056.3081476,2328.7369422
Coal,2002,7,6456917.0,3,69068000.0,68241000.0,6578727000.0,6499955250.0,2002-07-01,7011615392.65,1085.9076232,2393.9919461
Coal,2002,8,6530433.0,3,70135000.0,69426000.0,6680358750.0,6612826500.0,2002-08-01,6942650698.05,1063.12256753,2343.76001238
Coal,2002,9,5797536.0,3,61640000.0,60924000.0,5871210000.0,5803011000.0,2002-09-01,6163478090.25,1063.12027907,2343.75496724
Coal,2002,10,5686935.0,4,56770000.0,56133000.0,5407342500.0,5346668250.0,2002-10-01,5624893838.28,989.090580124,2180.54909294
Coal,2002,11,4946311.0,4,51686000.0,51027000.0,4923091500.0,4860321750.0,2002-11-01,5110022675.06,1033.09773184,2277.56725961
Coal,2002,12,5981157.0,4,62292000.0,61146000.0,5933313000.0,5824156500.0,2002-12-01,6165747392.41,1030.86198747,2272.63833758
Coal,2003,1,6484029.0,1,69018000.0,67720000.0,6573964500.0,6450330000.0,2003-01-01,6661297165.29,1027.33919995,2264.8720002
Coal,2003,2,5332085.0,1,55147000.0,54135000.0,5252751750.0,5156358750.0,2003-02-01,5467489732.79,1025.39433126,2260.58434269
Coal,2003,3,4889487.0,1,51520000.0,50329000.0,4907280000.0,4793837250.0,2003-03-01,4941599230.35,1010.65801593,2228.09666193
Coal,2003,4,4942485.0,2,51394000.0,50395000.0,4895278500.0,4800123750.0,2003-04-01,5082543220.85,1028.33761172,2267.07309879
Coal,2003,5,6213480.0,2,64366000.0,63150000.0,6130861500.0,6015037500.0,2003-05-01,6413035935.12,1032.11661342,2275.40428594
Coal,2003,6,6018753.0,2,62746000.0,61699000.0,5976556500.0,5876829750.0,2003-06-01,6127642280.02,1018.09166783,2244.4848909
Coal,2003,7,6468649.0,3,68629000.0,67575000.0,6536912250.0,6436518750.0,2003-07-01,6651721546.5,1028.30151188,2266.99351308
Coal,2003,8,6372589.0,3,66712000.0,65700000.0,6354318000.0,6257925000.0,2003-08-01,6513214322.62,1022.06721987,2253.24939293
Coal,2003,9,5842408.0,3,61201000.0,60133000.0,5829395250.0,5727668250.0,2003-09-01,5904455106.73,1010.62012559,2228.01312888
Coal,2003,10,4690118.0,4,49216000.0,48077000.0,4687824000.0,4579334250.0,2003-10-01,5202024060.8,1109.14566772,2445.22253906
Coal,2003,11,4810683.0,4,48559000.0,47777000.0,4625244750.0,4550759250.0,2003-11-01,4767186054.15,990.958259804,2184.66657956
Coal,2003,12,5609815.0,4,56557000.0,55439000.0,5387054250.0,5280564750.0,2003-12-01,5642314233.84,1005.79328086,2217.37186697
Coal,2004,1,5933610.4,1,61768650.0,59754880.0,5883463912.5,5691652320.0,2004-01-01,5990284294.77,1009.551334,2225.65687094
Coal,2004,2,4849302.92,1,51019350.0,49294600.0,4859593087.5,4695310650.0,2004-02-01,4897826885.68,1010.00637957,2226.66006441
Coal,2004,3,4694443.24,1,48362450.0,46938970.0,4606523362.5,4470936892.5,2004-03-01,4629863936.08,986.243458358,2174.2723283
Coal,2004,4,4354634.13,2,45640640.0,43962440.0,4347270960.0,4187422410.0,2004-04-01,4362211030.21,1001.73996253,2208.43592139
Coal,2004,5,5625686.02,2,60050170.0,58104080.0,5719778692.5,5534413620.0,2004-05-01,5750580091.15,1022.20068285,2253.54362541
Coal,2004,6,6075313.48,2,63733500.0,61680120.0,6070615875.0,5875031430.0,2004-06-01,6008792670.72,989.050637552,2180.46103555
Coal,2004,7,5988234.34,3,63564810.0,61566410.0,6054548152.5,5864200552.5,2004-07-01,6028445991.27,1006.71510983,2219.40413113
Coal,2004,8,6017301.51,3,64512820.0,62546890.0,6144846105.0,5957591272.5,2004-08-01,6081870951.33,1010.73063087,2228.25674881
Coal,2004,9,5017762.57,3,53619860.0,51872180.0,5107291665.0,4940825145.0,2004-09-01,5056127291.66,1007.64578258,2221.45589228
Coal,2004,10,5072753.97,4,53866150.0,51979050.0,5130750787.5,4951004512.5,2004-10-01,5128068287.04,1010.90419866,2228.63939637
Coal,2004,11,5195247.04,4,54402160.0,52668300.0,5181805740.0,5016655575.0,2004-11-01,5175415867.88,996.182824037,2196.18465387
Coal,2004,12,6037484.16,4,62239390.0,59971400.0,5928301897.5,5712275850.0,2004-12-01,5970586423.46,988.919600487,2180.17215123
Coal,2005,1,5641202.5,1,57774700.0,55724760.0,5503040175.0,5307783390.0,2005-01-01,5549731918.47,983.785268916,2168.85300385
Coal,2005,2,4465366.1,1,46512490.0,44775530.0,4430314672.5,4264869232.5,2005-02-01,4480778346.05,1003.45150783,2212.20919416
Coal,2005,3,4110720.99,1,43292780.0,41286170.0,4123637295.0,3932507692.5,2005-03-01,4132812583.54,1005.37414084,2216.44783089
Coal,2005,4,3969023.64,2,42781350.0,41604370.0,4074923587.5,3962816242.5,2005-04-01,4125815178.39,1039.50380562,2291.69008988
Coal,2005,5,5381059.07,2,56944990.0,54941150.0,5424010297.5,5233144537.5,2005-05-01,5482316513.19,1018.81738183,2246.08479999
Coal,2005,6,5546021.25,2,58093270.0,56296830.0,5533383967.5,5362273057.5,2005-06-01,5638766107.43,1016.72277354,2241.46702655
Coal,2005,7,5769379.49,3,60751300.0,58833310.0,5786561325.0,5603872777.5,2005-07-01,5705266237.3,988.887322664,2180.10099154
