fuel category,year,month,generation (MWh),quarter,total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),datetime,adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,1,2744346.0,1,27475000.0,27440000.0,2616993750.0,2613660000.0,2001-01-01,2645754842.59,964.074807838,2125.39932136
Coal,2001,2,2478517.0,1,24273000.0,24238000.0,2312003250.0,2308669500.0,2001-02-01,2405222490.4,970.428078725,2139.40574236
Coal,2001,3,1781326.0,1,17641000.0,17621000.0,1680305250.0,1678400250.0,2001-03-01,1838907043.35,1032.32482058,2275.86329946
Coal,2001,4,1934737.0,2,18991000.0,18955000.0,1808892750.0,1805463750.0,2001-04-01,1931304442.17,998.225827162,2200.68865856
Coal,2001,5,2179105.0,2,21643000.0,21605000.0,2061495750.0,2057876250.0,2001-05-01,2183862819.89,1002.18338258,2209.41348523
Coal,2001,6,2573919.0,2,25906000.0,25871000.0,2467546500.0,2464212750.0,2001-06-01,2533045523.24,984.120138684,2169.59125774
Coal,2001,7,2684457.0,3,27169000.0,27131000.0,2587847250.0,2584227750.0,2001-07-01,2702040385.46,1006.55007156,2219.04028777
Coal,2001,8,2841139.0,3,28729000.0,28691000.0,2736437250.0,2732817750.0,2001-08-01,2848855522.59,1002.71599615,2210.58768511
Coal,2001,9,2500417.0,3,25055000.0,25017000.0,2386488750.0,2382869250.0,2001-09-01,2531147858.67,1012.29029345,2231.69518093
Coal,2001,10,2483695.0,4,24325000.0,24287000.0,2316956250.0,2313336750.0,2001-10-01,2427564773.44,977.400515539,2154.77717656
Coal,2001,11,2266180.0,4,22673000.0,22635000.0,2159603250.0,2155983750.0,2001-11-01,2151669634.97,949.469872193,2093.20128024
Coal,2001,12,1911571.0,4,19465000.0,19427000.0,1854041250.0,1850421750.0,2001-12-01,1865342215.84,975.816339462,2151.28470198
Coal,2002,1,2134725.0,1,22459000.0,22424000.0,2139219750.0,2135886000.0,2002-01-01,2247644192.9,1052.89636506,2321.21532641
Coal,2002,2,1813176.0,1,18909000.0,18894000.0,1801082250.0,1799653500.0,2002-02-01,1924572896.17,1061.43744246,2340.04498565
Coal,2002,3,2339357.0,1,24190000.0,24154000.0,2304097500.0,2300668500.0,2002-03-01,2393767489.65,1023.25873719,2255.876212
Coal,2002,4,2459919.0,2,25410000.0,25377000.0,2420302500.0,2417159250.0,2002-04-01,2528441040.26,1027.8554051,2266.01002609
Coal,2002,5,2117717.0,2,22042000.0,22002000.0,2099500500.0,2095690500.0,2002-05-01,2316118335.79,1093.68642542,2411.14109349
Coal,2002,6,2583982.0,2,27078000.0,27040000.0,2579179500.0,2575560000.0,2002-06-01,2733737737.22,1057.95541038,2332.36849772
Coal,2002,7,2870899.0,3,29570000.0,29531000.0,2816542500.0,2812827750.0,2002-07-01,3043869427.61,1060.24956908,2337.42619998
Coal,2002,8,2835788.0,3,29134000.0,29095000.0,2775013500.0,2771298750.0,2002-08-01,2995924622.51,1056.46988509,2329.09350868
Coal,2002,9,2618519.0,3,26699000.0,26660000.0,2543079750.0,2539365000.0,2002-09-01,2775278560.77,1059.86573356,2336.5799962
Coal,2002,10,1891312.0,4,19108000.0,19067000.0,1820037000.0,1816131750.0,2002-10-01,2073889935.68,1096.53506967,2417.42121459
Coal,2002,11,2341093.0,4,23617000.0,23586000.0,2249519250.0,2246566500.0,2002-11-01,2439538080.41,1042.05090546,2297.30542617
Coal,2002,12,2705566.0,4,27099000.0,27066000.0,2581179750.0,2578036500.0,2002-12-01,2769210438.08,1023.5235208,2256.45995396
Coal,2003,1,3123019.0,1,31591000.0,30692000.0,3009042750.0,2923413000.0,2003-01-01,3014084364.91,965.118804885,2127.70091725
Coal,2003,2,2692081.0,1,27159000.0,26469000.0,2586894750.0,2521172250.0,2003-02-01,2605095891.12,967.688524647,2133.36612144
Coal,2003,3,2400378.0,1,26799000.0,26086000.0,2552604750.0,2484691500.0,2003-03-01,2496676399.96,1040.11801473,2293.04417527
Coal,2003,4,2306616.0,2,23570000.0,22989000.0,2245042500.0,2189702250.0,2003-04-01,2250314390.67,975.591251718,2150.78847354
Coal,2003,5,1544370.0,2,16366000.0,15591000.0,1558861500.0,1485042750.0,2003-05-01,1542370372.16,998.705214525,2201.74551594
Coal,2003,6,2109000.0,2,21887000.0,21380000.0,2084736750.0,2036445000.0,2003-06-01,2152245865.76,1020.50538917,2249.80618096
Coal,2003,7,2880928.0,3,29064000.0,28431000.0,2768346000.0,2708052750.0,2003-07-01,2860670321.91,992.968349749,2189.09802386
Coal,2003,8,2863785.0,3,29348000.0,28676000.0,2795397000.0,2731389000.0,2003-08-01,2864398602.27,1000.21426269,2205.07236352
Coal,2003,9,2527340.0,3,26028000.0,25413000.0,2479167000.0,2420588250.0,2003-09-01,2498251471.73,988.490457052,2179.22606162
Coal,2003,10,2154679.0,4,21574000.0,20797000.0,2054923500.0,1980914250.0,2003-10-01,2166789400.27,1005.62051251,2216.99098187
Coal,2003,11,2439068.0,4,25020000.0,24329000.0,2383155000.0,2317337250.0,2003-11-01,2416876367.58,990.901593388,2184.54165278
Coal,2003,12,2897821.0,4,29280000.0,28549000.0,2788920000.0,2719292250.0,2003-12-01,2788817765.49,962.384414182,2121.67267951
Coal,2004,1,2939663.25,1,29595420.0,28680630.0,2818963755.0,2731830007.5,2004-01-01,2815642059.83,957.811089357,2111.5903276
Coal,2004,2,2738062.97,1,27830690.0,27036910.0,2650873222.5,2575265677.5,2004-02-01,2635450119.54,962.523560785,2121.97944211
Coal,2004,3,2545600.59,1,26088370.0,25197040.0,2484917242.5,2400018060.0,2004-03-01,2452067065.09,963.256794771,2123.59592975
Coal,2004,4,2038763.96,2,21592320.0,20748060.0,2056668480.0,1976252715.0,2004-04-01,1999232917.52,980.610289739,2161.85344476
Coal,2004,5,2041026.22,2,21117840.0,20309360.0,2011474260.0,1934466540.0,2004-05-01,2041437478.83,1000.2014961,2205.04421831
Coal,2004,6,2487697.92,2,26067620.0,25174190.0,2482940805.0,2397841597.5,2004-06-01,2416500918.41,971.380366957,2141.50515699
Coal,2004,7,2706521.6,3,27760090.0,26848950.0,2644148572.5,2557362487.5,2004-07-01,2818732879.99,1041.45959153,2296.00181548
Coal,2004,8,2612893.08,3,27661780.0,26855700.0,2634784545.0,2558005425.0,2004-08-01,2610279568.03,998.999763138,2202.39487781
Coal,2004,9,2543858.1,3,26398940.0,25647810.0,2514499035.0,2442953902.5,2004-09-01,2475292782.67,973.046720912,2145.17880092
Coal,2004,10,2069608.82,4,21588450.0,20744910.0,2056299862.5,1975952677.5,2004-10-01,2005125060.92,968.842537555,2135.91025829
Coal,2004,11,1952581.11,4,20245840.0,19416440.0,1928416260.0,1849415910.0,2004-11-01,1906127614.34,976.209185156,2152.1507696
Coal,2004,12,2519180.43,4,26328650.0,25479090.0,2507803912.5,2426883322.5,2004-12-01,2391916049.71,949.481831959,2093.22764674
Coal,2005,1,2655933.85,1,27612140.0,26663640.0,2630056335.0,2539711710.0,2005-01-01,2547426963.65,959.145486117,2114.53213869
Coal,2005,2,2375640.54,1,24552900.0,23718440.0,2338663725.0,2259181410.0,2005-02-01,2263651580.9,952.859467915,2100.67398297
Coal,2005,3,2423204.99,1,25310920.0,24399750.0,2410865130.0,2324076187.5,2005-03-01,2326309568.65,960.013526818,2116.44582122
Coal,2005,4,1823629.38,2,19585210.0,18736720.0,1865491252.5,1784672580.0,2005-04-01,1737042980.19,952.519738516,2099.92501553
Coal,2005,5,1700680.21,2,18491500.0,17660070.0,1761315375.0,1682121667.5,2005-05-01,1610345115.73,946.88296263,2087.49817941
Coal,2005,6,2650265.11,2,27586280.0,26881720.0,2627593170.0,2560483830.0,2005-06-01,2592232046.8,978.102921483,2156.3257007
Coal,2005,7,2970770.95,3,31002290.0,30312240.0,2952968122.5,2887240860.0,2005-07-01,2926558146.49,985.117397386,2171.78981428
Coal,2005,8,2987039.87,3,30986010.0,30141770.0,2951417452.5,2871003592.5,2005-08-01,2964501513.55,992.454618141,2187.96545115
Coal,2005,9,2619022.14,3,27456640.0,26703000.0,2615244960.0,2543460750.0,2005-09-01,2635081747.78,1006.1319099,2218.11840856
Coal,2005,10,2414293.49,4,25294290.0,24480850.0,2409281122.5,2331800962.5,2005-10-01,2344961964.26,971.282892481,2141.29026476
