fuel category,year,month,generation (MWh),quarter,total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),datetime,adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,1,2894901.0,1,32325000.0,30669000.0,3078956250.0,2921222250.0,2001-01-01,3073076267.18,1061.54796561,2340.28864498
Coal,2001,2,2750914.0,1,30082000.0,28616000.0,2865310500.0,2725674000.0,2001-02-01,2912132978.13,1058.60560458,2333.80191586
Coal,2001,3,2481253.0,1,27504000.0,26042000.0,2619756000.0,2480500500.0,2001-03-01,2651654285.94,1068.6754982,2356.00200333
Coal,2001,4,2104236.0,2,23806000.0,22333000.0,2267521500.0,2127218250.0,2001-04-01,2369780574.17,1126.19524339,2482.81003358
Coal,2001,5,2042206.0,2,23525000.0,22088000.0,2240756250.0,2103882000.0,2001-05-01,2261832944.23,1107.54397168,2441.69143996
Coal,2001,6,2580999.0,2,29073000.0,27672000.0,2769203250.0,2635758000.0,2001-06-01,2849108090.19,1103.87802947,2433.60950377
Coal,2001,7,2875430.0,3,32395000.0,30859000.0,3085623750.0,2939319750.0,2001-07-01,3124679372.84,1086.68246935,2395.70017192
Coal,2001,8,3043832.0,3,33949000.0,32407000.0,3233642250.0,3086766750.0,2001-08-01,3319175896.63,1090.45962347,2404.02728591
Coal,2001,9,2605572.0,3,29140000.0,27848000.0,2775585000.0,2652522000.0,2001-09-01,2879985125.18,1105.31780552,2436.78363406
Coal,2001,10,2650430.0,4,29445000.0,28063000.0,2804636250.0,2673000750.0,2001-10-01,2881063372.01,1087.01734134,2396.43843072
Coal,2001,11,2828607.0,4,30952000.0,29673000.0,2948178000.0,2826353250.0,2001-11-01,3097762271.34,1095.15470737,2414.37806786
Coal,2001,12,2960782.0,4,32437000.0,31062000.0,3089624250.0,2958655500.0,2001-12-01,3261516106.89,1101.57252607,2428.52679098
Coal,2002,1,3007195.0,1,32679000.0,31814000.0,3112674750.0,3030283500.0,2002-01-01,3310428253.77,1100.83591313,2426.90285408
Coal,2002,2,2857852.0,1,30627000.0,29826000.0,2917221750.0,2840926500.0,2002-02-01,3135637623.27,1097.20084289,2418.88897825
Coal,2002,3,2689385.0,1,29737000.0,28867000.0,2832449250.0,2749581750.0,2002-03-01,2997001531.89,1114.38173853,2456.76598077
Coal,2002,4,2425838.0,2,26673000.0,25864000.0,2540603250.0,2463546000.0,2002-04-01,2659870494.15,1096.47490646,2417.28857879
Coal,2002,5,2275791.0,2,22492000.0,21750000.0,2142363000.0,2071687500.0,2002-05-01,2525219355.48,1109.60073024,2446.22576989
Coal,2002,6,2750757.0,2,30045000.0,29175000.0,2861786250.0,2778918750.0,2002-06-01,3060409016.58,1112.56974592,2452.77126185
Coal,2002,7,3155301.0,3,34280000.0,33426000.0,3265170000.0,3183826500.0,2002-07-01,3584752077.03,1136.1046306,2504.65626862
Coal,2002,8,2981187.0,3,32697000.0,31773000.0,3114389250.0,3026378250.0,2002-08-01,3375859151.45,1132.38758637,2496.46167292
Coal,2002,9,2727756.0,3,29775000.0,28969000.0,2836068750.0,2759297250.0,2002-09-01,3040513838.94,1114.65755696,2457.37405008
Coal,2002,10,2867876.0,4,31084000.0,30294000.0,2960751000.0,2885503500.0,2002-10-01,3144130100.74,1096.32707298,2416.96266509
Coal,2002,11,2961155.0,4,31868000.0,31047000.0,3035427000.0,2957226750.0,2002-11-01,3240835228.83,1094.44970926,2412.82382904
Coal,2002,12,3220115.0,4,34674000.0,33756000.0,3302698500.0,3215259000.0,2002-12-01,3515075139.82,1091.59925649,2406.53972086
Coal,2003,1,3104393.0,1,33810000.0,32939000.0,3220402500.0,3137439750.0,2003-01-01,3436909457.42,1107.11158588,2440.73820223
Coal,2003,2,2927170.0,1,31507000.0,30679000.0,3001041750.0,2922174750.0,2003-02-01,3228830594.9,1103.05537256,2431.79587435
Coal,2003,3,2658446.0,1,28860000.0,28090000.0,2748915000.0,2675572500.0,2003-03-01,2968736755.74,1116.71884843,2461.91837325
Coal,2003,4,2667883.0,2,28952000.0,28230000.0,2757678000.0,2688907500.0,2003-04-01,2984626054.82,1118.72449235,2466.34001583
Coal,2003,5,2940647.0,2,32046000.0,31336000.0,3052381500.0,2984754000.0,2003-05-01,3260431325.97,1108.74624733,2444.34197687
Coal,2003,6,2860320.0,2,31157000.0,30452000.0,2967704250.0,2900553000.0,2003-06-01,3191309694.92,1115.71771512,2459.71127476
Coal,2003,7,3216269.0,3,35253000.0,34468000.0,3357848250.0,3283077000.0,2003-07-01,3536671783.7,1099.61939866,2424.22092628
Coal,2003,8,3182439.0,3,34960000.0,34152000.0,3329940000.0,3252978000.0,2003-08-01,3503083059.1,1100.75418857,2426.72268411
Coal,2003,9,2985890.0,3,32402000.0,31710000.0,3086290500.0,3020377500.0,2003-09-01,3285153066.27,1100.22575054,2425.55768963
Coal,2003,10,2978786.0,4,32798000.0,32034000.0,3124009500.0,3051238500.0,2003-10-01,3265321642.42,1096.19208712,2416.66507526
Coal,2003,11,2966434.0,4,32197000.0,31370000.0,3066764250.0,2987992500.0,2003-11-01,3274597426.84,1103.88345968,2433.62147522
Coal,2003,12,3166851.0,4,34442000.0,33577000.0,3280600500.0,3198209250.0,2003-12-01,3513714107.44,1109.52934238,2446.06838821
