fuel category,year,month,generation (MWh),quarter,total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),datetime,adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,1,1584887.0,1,16560000.0,16560000.0,1577340000.0,1577340000.0,2001-01-01,1691513774.88,1067.27720959,2352.91933627
Coal,2001,2,1466221.0,1,15558000.0,15558000.0,1481899500.0,1481899500.0,2001-02-01,1579612162.49,1077.33565574,2375.09418664
Coal,2001,3,1408364.0,1,14869000.0,14869000.0,1416272250.0,1416272250.0,2001-03-01,1545698639.57,1097.51359703,2419.57847602
Coal,2001,4,1044417.0,2,11095000.0,11095000.0,1056798750.0,1056798750.0,2001-04-01,1174506810.73,1124.55734705,2479.1991273
Coal,2001,5,1153657.0,2,11071000.0,11071000.0,1054512750.0,1054512750.0,2001-05-01,1288313952.49,1116.72182676,2461.92493928
Coal,2001,6,1047202.0,2,12001000.0,12001000.0,1143095250.0,1143095250.0,2001-06-01,1144159660.87,1092.58735265,2408.71807766
Coal,2001,7,1531968.0,3,16782000.0,16782000.0,1598485500.0,1598485500.0,2001-07-01,1656314124.68,1081.16757313,2383.54203173
Coal,2001,8,1640712.0,3,17564000.0,17564000.0,1672971000.0,1672971000.0,2001-08-01,1793162490.57,1092.9172765,2409.44542778
Coal,2001,9,1477870.0,3,16169000.0,16169000.0,1540097250.0,1540097250.0,2001-09-01,1619310836.55,1095.70587166,2415.59316467
Coal,2001,10,1653932.0,4,17094000.0,17094000.0,1628203500.0,1628203500.0,2001-10-01,1801178660.15,1089.02824309,2400.87166472
Coal,2001,11,1508344.0,4,16861000.0,16861000.0,1606010250.0,1606010250.0,2001-11-01,1673512464.75,1109.50318014,2446.01071094
Coal,2001,12,1518309.0,4,16107000.0,16107000.0,1534191750.0,1534191750.0,2001-12-01,1691007512.38,1113.74398254,2455.3599839
Coal,2002,1,1100196.0,1,12226000.0,12226000.0,1164526500.0,1164526500.0,2002-01-01,1212855248.97,1102.39925338,2430.34939399
Coal,2002,2,1296153.0,1,14001000.0,14001000.0,1333595250.0,1333595250.0,2002-02-01,1378631787.73,1063.63352762,2344.886475
Coal,2002,3,1548820.0,1,17056000.0,17056000.0,1624584000.0,1624584000.0,2002-03-01,1731743445.56,1118.10503839,2464.97436763
Coal,2002,4,1420931.0,2,15829000.0,15829000.0,1507712250.0,1507712250.0,2002-04-01,1571506632.87,1105.96970076,2438.2208023
Coal,2002,5,1360209.0,2,12819000.0,12819000.0,1221009750.0,1221009750.0,2002-05-01,1437229100.02,1056.62372475,2329.43266359
Coal,2002,6,657208.0,2,7457000.0,7457000.0,710279250.0,710279250.0,2002-06-01,747983510.638,1138.12295443,2509.10586535
Coal,2002,7,894152.0,3,9713000.0,9713000.0,925163250.0,925163250.0,2002-07-01,1006514102.12,1125.66331242,2481.63733856
Coal,2002,8,1620030.0,3,18735000.0,18735000.0,1784508750.0,1784508750.0,2002-08-01,1671282091.56,1031.6365077,2274.34584487
Coal,2002,9,1457154.0,3,15075000.0,15075000.0,1435893750.0,1435893750.0,2002-09-01,1515325664.51,1039.92142526,2292.61077414
Coal,2002,10,1430059.0,4,15114000.0,15114000.0,1439608500.0,1439608500.0,2002-10-01,1481027867.44,1035.64109414,2283.17435614
Coal,2002,11,1395977.0,4,14689000.0,14689000.0,1399127250.0,1399127250.0,2002-11-01,1452610899.96,1040.56936465,2294.03922131
Coal,2002,12,1156940.0,4,12208000.0,12208000.0,1162812000.0,1162812000.0,2002-12-01,1269583172.56,1097.36302018,2419.24651428
