fuel category,year,month,generation (MWh),quarter,total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),datetime,adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,1,1871573.0,1,20027000.0,19939000.0,1907571750.0,1899189750.0,2001-01-01,2003299706.54,1070.38288463,2359.76610746
Coal,2001,2,1519343.0,1,16586000.0,16486000.0,1579816500.0,1570291500.0,2001-02-01,1666007141.83,1096.53129138,2417.41288497
Coal,2001,3,1830489.0,1,19664000.0,19608000.0,1872996000.0,1867662000.0,2001-03-01,1960257226.69,1070.89265584,2360.88994906
Coal,2001,4,1437367.0,2,15438000.0,15366000.0,1470469500.0,1463611500.0,2001-04-01,1522380244.68,1059.14512068,2334.99133305
Coal,2001,5,1468257.0,2,15991000.0,15891000.0,1523142750.0,1513617750.0,2001-05-01,1567242058.06,1067.41671115,2353.2268814
Coal,2001,6,1688127.0,2,18119000.0,18013000.0,1725834750.0,1715738250.0,2001-06-01,1804454844.15,1068.90941508,2356.51769648
Coal,2001,7,1863968.0,3,20149000.0,20055000.0,1919192250.0,1910238750.0,2001-07-01,1999084255.72,1072.48850609,2364.40816053
Coal,2001,8,1889821.0,3,20260000.0,20158000.0,1929765000.0,1920049500.0,2001-08-01,2046081121.05,1082.68514375,2386.88766791
Coal,2001,9,1700931.0,3,18481000.0,18397000.0,1760315250.0,1752314250.0,2001-09-01,1796687799.59,1056.29669845,2328.7117014
Coal,2001,10,1576140.0,4,16933000.0,16863000.0,1612868250.0,1606200750.0,2001-10-01,1642840416.05,1042.31883973,2297.89611406
Coal,2001,11,1624046.0,4,17311000.0,17271000.0,1648872750.0,1645062750.0,2001-11-01,1741025239.03,1072.02951088,2363.3962597
Coal,2001,12,1768645.0,4,18914000.0,18820000.0,1801558500.0,1792605000.0,2001-12-01,1885699750.05,1066.18329289,2350.5076875
Coal,2002,1,1747074.0,1,18471000.0,18369000.0,1759362750.0,1749647250.0,2002-01-01,1871733721.66,1071.35342959,2361.90577088
Coal,2002,2,1660882.0,1,17656000.0,17550000.0,1681734000.0,1671637500.0,2002-02-01,1735176845.48,1044.73216368,2303.21652805
Coal,2002,3,1441974.0,1,15416000.0,15308000.0,1468374000.0,1458087000.0,2002-03-01,1539047261.98,1067.3197034,2353.0130181
Coal,2002,4,1444129.0,2,15172000.0,15160000.0,1445133000.0,1443990000.0,2002-04-01,1532341079.02,1061.0832405,2339.26411201
Coal,2002,5,1631612.0,2,17152000.0,17039000.0,1633728000.0,1622964750.0,2002-05-01,1700086391.28,1041.96732512,2297.12116497
Coal,2002,6,1695791.0,2,17994000.0,17889000.0,1713928500.0,1703927250.0,2002-06-01,1801235730.29,1062.18026295,2341.6826077
Coal,2002,7,1996887.0,3,20963000.0,20880000.0,1996725750.0,1988820000.0,2002-07-01,2080145040.41,1041.69391679,2296.51840895
Coal,2002,8,1774978.0,3,19068000.0,18970000.0,1816227000.0,1806892500.0,2002-08-01,1881570318.84,1060.05275493,2336.99230352
Coal,2002,9,1536484.0,3,16698000.0,16643000.0,1590484500.0,1585245750.0,2002-09-01,1644401436.54,1070.2366159,2359.44364341
Coal,2002,10,1454292.0,4,15270000.0,15215000.0,1454467500.0,1449228750.0,2002-10-01,1509081442.06,1037.67430617,2287.65677538
Coal,2002,11,1704535.0,4,17871000.0,17871000.0,1702212750.0,1702212750.0,2002-11-01,1808657556.04,1061.08560754,2339.26933038
Coal,2002,12,1855269.0,4,19508000.0,19508000.0,1858137000.0,1858137000.0,2002-12-01,1972175105.73,1063.01302168,2343.51850761
Coal,2003,1,1897806.0,1,19955000.0,19846000.0,1900713750.0,1890331500.0,2003-01-01,2036593011.14,1073.13024152,2365.82293046
Coal,2003,2,1714588.0,1,18179000.0,18083000.0,1731549750.0,1722405750.0,2003-02-01,1833188624.69,1069.1715005,2357.09548999
Coal,2003,3,1857084.0,1,19665000.0,19572000.0,1873091250.0,1864233000.0,2003-03-01,1982974660.42,1067.78942709,2354.04857097
Coal,2003,4,1381338.0,2,14709000.0,14628000.0,1401032250.0,1393317000.0,2003-04-01,1475100314.2,1067.8778939,2354.24360489
Coal,2003,5,1189323.0,2,12602000.0,12526000.0,1200340500.0,1193101500.0,2003-05-01,1264365940.6,1063.09719109,2343.70406747
Coal,2003,6,1766678.0,2,18359000.0,18272000.0,1748694750.0,1740408000.0,2003-06-01,1851508063.38,1048.01670898,2310.45763661
Coal,2003,7,1965567.0,3,20442000.0,20339000.0,1947100500.0,1937289750.0,2003-07-01,2049985086.03,1042.94846527,2299.28418653
Coal,2003,8,1883906.0,3,20474000.0,20367000.0,1950148500.0,1939956750.0,2003-08-01,2031190982.46,1078.18064301,2376.95704559
Coal,2003,9,1807737.0,3,18822000.0,18729000.0,1792795500.0,1783937250.0,2003-09-01,1877347690.08,1038.50708929,2289.49272905
Coal,2003,10,1812399.0,4,18939000.0,18849000.0,1803939750.0,1795367250.0,2003-10-01,1870874363.07,1032.26406717,2275.72936247
Coal,2003,11,1756156.0,4,18538000.0,18446000.0,1765744500.0,1756981500.0,2003-11-01,1846964946.54,1051.70892935,2318.59750565
Coal,2003,12,1921592.0,4,20239000.0,20137000.0,1927764750.0,1918049250.0,2003-12-01,2008112899.76,1045.02563487,2303.86351463
Coal,2004,1,1864337.31,1,19836690.0,19728530.0,1889444722.5,1879142482.5,2004-01-01,1965278044.8,1054.142957,2323.96356299
Coal,2004,2,1684680.65,1,17985090.0,17887360.0,1713079822.5,1703771040.0,2004-02-01,1795825472.03,1065.97382242,2350.0458889
Coal,2004,3,1557822.26,1,16612020.0,16521640.0,1582294905.0,1573686210.0,2004-03-01,1623264187.33,1042.00859688,2297.21215268
Coal,2004,4,1534030.59,2,16322990.0,16233990.0,1554764797.5,1546287547.5,2004-04-01,1574074221.3,1026.10354158,2262.14786777
Coal,2004,5,1208140.48,2,12938740.0,12868490.0,1232414985.0,1225723672.5,2004-05-01,1333089385.5,1103.42249727,2432.60523749
Coal,2004,6,1398888.1,2,14929420.0,14848260.0,1422027255.0,1414296765.0,2004-06-01,1493985391.94,1067.98062829,2354.47009312
Coal,2004,7,1811259.26,3,19219100.0,19114030.0,1830619275.0,1820611357.5,2004-07-01,1902915069.57,1050.60336286,2316.16017377
Coal,2004,8,1925197.34,3,20421970.0,20310290.0,1945192642.5,1934555122.5,2004-08-01,2020778234.69,1049.64732327,2314.05248888
Coal,2004,9,1813693.32,3,19302360.0,19197140.0,1838549790.0,1828527585.0,2004-09-01,1897523921.06,1046.220935,2306.4986733
Coal,2004,10,1863028.79,4,19562930.0,19454840.0,1863369082.5,1853073510.0,2004-10-01,1901385392.76,1020.58830382,2249.98897461
Coal,2004,11,1848558.47,4,19547240.0,19440000.0,1861874610.0,1851660000.0,2004-11-01,1927907288.08,1042.92470017,2299.231794
Coal,2004,12,1947448.57,4,20825360.0,20712380.0,1983615540.0,1972854195.0,2004-12-01,2052494837.47,1053.94045783,2323.51713333
Coal,2005,1,1870094.08,1,19974300.0,19859790.0,1902552075.0,1891644997.5,2005-01-01,2010839431.24,1075.26110732,2370.52063719
Coal,2005,2,1394689.35,1,15150110.0,15046140.0,1443047977.5,1433144835.0,2005-02-01,1530237246.05,1097.18859332,2418.86197284
Coal,2005,3,1917935.52,1,20375420.0,20263970.0,1940758755.0,1930143142.5,2005-03-01,1993248751.53,1039.26786419,2291.1699334
Coal,2005,4,1506147.08,2,16112180.0,16020500.0,1534685145.0,1525952625.0,2005-04-01,1613811150.54,1071.48310545,2362.19165427
Coal,2005,5,1336029.44,2,14290060.0,14202960.0,1361128215.0,1352831940.0,2005-05-01,1425192135.77,1066.73707412,2351.72855362
Coal,2005,6,1586942.41,2,16977520.0,16865870.0,1617108780.0,1606474117.5,2005-06-01,1715954161.05,1081.29579891,2383.82471828
Coal,2005,7,1958156.03,3,20834340.0,20709770.0,1984470885.0,1972605592.5,2005-07-01,2131871836.57,1088.71397576,2400.17883095
Coal,2005,8,1905872.81,3,20332300.0,20208920.0,1936651575.0,1924899630.0,2005-08-01,2056885119.23,1079.23525035,2379.28203291
Coal,2005,9,1790767.84,3,18834270.0,18723120.0,1793964217.5,1783377180.0,2005-09-01,1894042780.4,1057.67075893,2331.74095514
Coal,2005,10,1801980.54,4,19216700.0,19112620.0,1830390675.0,1820477055.0,2005-10-01,1835669777.91,1018.69567244,2245.81647945
Coal,2005,11,1816336.15,4,19306340.0,19204120.0,1838928885.0,1829192430.0,2005-11-01,1899274140.1,1045.6622471,2305.26698996
Coal,2005,12,1933220.03,4,20894950.0,20777040.0,1990243987.5,1979013060.0,2005-12-01,2036182177.13,1053.25940428,2322.01568267
Coal,2006,1,1798423.97,1,19238890.0,19122590.0,1832504272.5,1821426697.5,2006-01-01,1916193303.51,1065.48474413,2348.96766691
Coal,2006,2,1543705.4,1,16528060.0,16418710.0,1574297715.0,1563882127.5,2006-02-01,1644332916.52,1065.18569963,2348.30839341
Coal,2006,3,1502331.4,1,16134860.0,16028080.0,1536845415.0,1526674620.0,2006-03-01,1589649359.64,1058.12163657,2332.73495999
Coal,2006,4,1252568.24,2,13366470.0,13259580.0,1273156267.5,1262974995.0,2006-04-01,1324880184.84,1057.73094234,2331.87363549
Coal,2006,5,1566321.65,2,16716260.0,16603850.0,1592223765.0,1581516712.5,2006-05-01,1663432376.0,1061.99922347,2341.28348806
Coal,2006,6,1810078.49,2,19265170.0,19150180.0,1835007442.5,1824054645.0,2006-06-01,1919573868.48,1060.49206103,2337.96079774
Coal,2006,7,1955284.19,3,20865610.0,20744850.0,1987449352.5,1975946962.5,2006-07-01,2075737036.26,1061.60375401,2340.41163609
Coal,2006,8,1853508.65,3,19981770.0,19861070.0,1903263592.5,1891766917.5,2006-08-01,1964677390.53,1059.97745979,2336.82630785
Coal,2006,9,1862405.98,3,19878560.0,19769550.0,1893432840.0,1883049637.5,2006-09-01,1922316724.39,1032.16846651,2275.51860126
Coal,2006,10,1816207.32,4,19289060.0,19182340.0,1837282965.0,1827117885.0,2006-10-01,1857584250.82,1022.78205267,2254.82531332
Coal,2006,11,1878645.55,4,19856450.0,19748250.0,1891326862.5,1881020812.5,2006-11-01,1946222676.95,1035.97119582,2283.9020983
Coal,2006,12,1843067.27,4,19648310.0,19532990.0,1871501527.5,1860517297.5,2006-12-01,1926675792.19,1045.36379304,2304.60901813
Coal,2007,1,1476560.31,1,16082960.0,16024690.0,1531901940.0,1526351722.5,2007-01-01,1586208803.89,1074.25940759,2368.31228996
Coal,2007,2,1369284.15,1,14791510.0,14737660.0,1408891327.5,1403762115.0,2007-02-01,1465982374.92,1070.61954593,2360.28785096
Coal,2007,3,1410076.18,1,15236900.0,15181260.0,1451314725.0,1446015015.0,2007-03-01,1480167735.75,1049.70763761,2314.18545786
Coal,2007,4,1331037.69,2,14449200.0,14396850.0,1376286300.0,1371299962.5,2007-04-01,1430209151.41,1074.50687697,2368.85786097
Coal,2007,5,1147467.4,2,12478570.0,12433660.0,1188583792.5,1184306115.0,2007-05-01,1222882745.73,1065.72330136,2349.49359018
Coal,2007,6,1713923.86,2,18184350.0,18116620.0,1732059337.5,1725608055.0,2007-06-01,1788395605.6,1043.45102332,2300.392126
Coal,2007,7,1934463.5,3,20578120.0,20501670.0,1960065930.0,1952784067.5,2007-07-01,2030714716.91,1049.75602637,2314.29213573
Coal,2007,8,1944468.89,3,20727260.0,20650330.0,1974271515.0,1966943932.5,2007-08-01,2044586568.39,1051.48844443,2318.11142459
Coal,2007,9,1804602.46,3,19044340.0,18973580.0,1813973385.0,1807233495.0,2007-09-01,1882810298.13,1043.3379871,2300.14292636
Coal,2007,10,1746475.43,4,18387150.0,18316050.0,1751376037.5,1744603762.5,2007-10-01,1798557284.26,1029.82112051,2270.34364227
Coal,2007,11,1760701.78,4,18529510.0,18458580.0,1764935827.5,1758179745.0,2007-11-01,1852670001.15,1052.23384346,2319.75473128
Coal,2007,12,1990849.57,4,21101830.0,21023020.0,2009949307.5,2002442655.0,2007-12-01,2090917074.87,1050.26371976,2315.41139658
Coal,2008,1,1929864.26,1,20351160.0,20351160.0,1938447990.0,1938447990.0,2008-01-01,1991436731.79,1031.90507906,2274.9379373
Coal,2008,2,1803732.1,1,19028670.0,19028670.0,1812480817.5,1812480817.5,2008-02-01,1850013433.12,1025.65865137,2261.16706281
Coal,2008,3,1734636.25,1,18328930.0,18328930.0,1745830582.5,1745830582.5,2008-03-01,1788593641.59,1031.10588263,2273.17602884
Coal,2008,4,1772751.24,2,18742000.0,18742000.0,1785175500.0,1785175500.0,2008-04-01,1827483081.17,1030.87395453,2272.66472015
