fuel category,year,month,generation (MWh),quarter,total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),datetime,adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,1,1190063.0,1,13752000.0,13350000.0,1309878000.0,1271587500.0,2001-01-01,1081324059.85,908.627576736,2003.16035567
Coal,2001,2,972218.0,1,11374000.0,11038000.0,1083373500.0,1051369500.0,2001-02-01,916859153.085,943.059224458,2079.06836624
Coal,2001,3,456933.0,1,5881000.0,5660000.0,560165250.0,539115000.0,2001-03-01,537291342.51,1175.86460709,2592.31111278
Coal,2001,4,556561.0,2,6868000.0,6623000.0,654177000.0,630840750.0,2001-04-01,547467157.278,983.660654049,2168.57827792
Coal,2001,5,820127.0,2,9274000.0,9047000.0,883348500.0,861726750.0,2001-05-01,743542333.77,906.618528313,1998.73120752
Coal,2001,6,735546.0,2,8954000.0,8760000.0,852868500.0,834390000.0,2001-06-01,725072738.559,985.761242069,2173.20923427
Coal,2001,7,821406.0,3,9924000.0,9713000.0,945261000.0,925163250.0,2001-07-01,809450532.724,985.445118156,2172.51230749
Coal,2001,8,989241.0,3,11731000.0,11539000.0,1117377750.0,1099089750.0,2001-08-01,966993369.35,977.510403784,2155.01943618
Coal,2001,9,766803.0,3,9132000.0,8924000.0,869823000.0,850011000.0,2001-09-01,744203015.062,970.526999845,2139.62382386
Coal,2001,10,808100.0,4,9950000.0,9749000.0,947737500.0,928592250.0,2001-10-01,789517266.598,977.004413561,2153.90393014
Coal,2001,11,629903.0,4,7868000.0,7645000.0,749427000.0,728186250.0,2001-11-01,658020628.936,1044.63802988,2303.00900068
Coal,2001,12,572138.0,4,7262000.0,6961000.0,691705500.0,663035250.0,2001-12-01,574781398.871,1004.62021203,2214.78571944
Coal,2002,1,724562.0,1,7856000.0,7525000.0,748284000.0,716756250.0,2002-01-01,621335717.402,857.532850746,1890.51692276
Coal,2002,2,604765.0,1,6870000.0,6573000.0,654367500.0,626078250.0,2002-02-01,586712399.667,970.149396323,2138.79135913
Coal,2002,3,806077.0,1,8771000.0,8468000.0,835437750.0,806577000.0,2002-03-01,762188045.854,945.552404862,2084.56483176
Coal,2002,4,572658.0,2,6276000.0,6055000.0,597789000.0,576738750.0,2002-04-01,603700558.674,1054.20784949,2324.10662499
Coal,2002,5,420967.0,2,4710000.0,4485000.0,448627500.0,427196250.0,2002-05-01,458590866.272,1089.37485901,2401.63581417
Coal,2002,6,870412.0,2,9406000.0,9205000.0,895921500.0,876776250.0,2002-06-01,864559225.56,993.275857364,2189.77595514
Coal,2002,7,932733.0,3,10118000.0,9917000.0,963739500.0,944594250.0,2002-07-01,970901332.138,1040.92096252,2294.81435398
Coal,2002,8,997622.0,3,10815000.0,10638000.0,1030128750.0,1013269500.0,2002-08-01,1087339904.33,1089.93176206,2402.86356264
Coal,2002,9,918588.0,3,9622000.0,9455000.0,916495500.0,900588750.0,2002-09-01,961200634.816,1046.38927878,2306.869804
Coal,2002,10,922668.0,4,10459000.0,10237000.0,996219750.0,975074250.0,2002-10-01,1028312175.05,1114.49857918,2457.02356765
Coal,2002,11,871353.0,4,9298000.0,9046000.0,885634500.0,861631500.0,2002-11-01,916367020.81,1051.65991373,2318.48944581
Coal,2002,12,962649.0,4,10414000.0,10115000.0,991933500.0,963453750.0,2002-12-01,999493905.452,1038.27449616,2288.97995423
