fuel category,year,month,generation (MWh),quarter,total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),datetime,adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,1,11492713.0,1,116181000.0,114649000.0,11066240250.0,10920317250.0,2001-01-01,10609023005.0,923.108669379,2035.08537251
Coal,2001,2,10018529.0,1,100747000.0,99581000.0,9596151750.0,9485090250.0,2001-02-01,9565880359.51,954.8188521,2104.99364134
Coal,2001,3,11134282.0,1,111659000.0,110528000.0,10635519750.0,10527792000.0,2001-03-01,10662983097.2,957.671370026,2111.28230236
Coal,2001,4,9552980.0,2,96591000.0,95662000.0,9200292750.0,9111805500.0,2001-04-01,9164842002.64,959.369956039,2115.02700508
Coal,2001,5,9658378.0,2,101453000.0,100327000.0,9663398250.0,9556146750.0,2001-05-01,9319679371.21,964.932141941,2127.28940012
Coal,2001,6,10248585.0,2,105265000.0,104252000.0,10026491250.0,9930003000.0,2001-06-01,9952918143.86,971.150470417,2140.99832708
Coal,2001,7,11086052.0,3,113184000.0,111816000.0,10780776000.0,10650474000.0,2001-07-01,10758471047.8,970.451072013,2139.45643336
Coal,2001,8,11795883.0,3,120194000.0,118918000.0,11448478500.0,11326939500.0,2001-08-01,11153472318.6,945.539415628,2084.53619569
Coal,2001,9,9740115.0,3,97289000.0,96120000.0,9266777250.0,9155430000.0,2001-09-01,9137401469.93,938.120491383,2068.1804353
Coal,2001,10,9497871.0,4,95230000.0,93760000.0,9070657500.0,8930640000.0,2001-10-01,8747895844.01,921.037550838,2030.51938458
Coal,2001,11,9410933.0,4,96224000.0,94959000.0,9165336000.0,9044844750.0,2001-11-01,8776063954.47,932.539202486,2055.8759258
Coal,2001,12,10576915.0,4,108116000.0,106931000.0,10298049000.0,10185177750.0,2001-12-01,9864858480.73,932.678241314,2056.1824508
Coal,2002,1,11093910.0,1,108522000.0,107914000.0,10336720500.0,10278808500.0,2002-01-01,10202624387.9,919.659920431,2027.48226058
Coal,2002,2,9726753.0,1,93593000.0,93111000.0,8914733250.0,8868822750.0,2002-02-01,8832126520.52,908.024139249,2001.83001739
Coal,2002,3,11113189.0,1,108562000.0,107916000.0,10340530500.0,10278999000.0,2002-03-01,10248547391.9,922.196805244,2033.07507684
Coal,2002,4,10192769.0,2,99038000.0,98458000.0,9433369500.0,9378124500.0,2002-04-01,9527759236.79,934.756712018,2060.76464731
Coal,2002,5,11059434.0,2,108401000.0,107893000.0,10325195250.0,10276808250.0,2002-05-01,10103917154.4,913.601650355,2014.12619837
Coal,2002,6,11827394.0,2,116410000.0,115844000.0,11088052500.0,11034141000.0,2002-06-01,11123982581.9,940.526931115,2073.48567234
Coal,2002,7,12577112.0,3,126031000.0,125308000.0,12004452750.0,11935587000.0,2002-07-01,11605128661.2,922.718081956,2034.22428348
Coal,2002,8,11937243.0,3,120528000.0,119725000.0,11480292000.0,11403806250.0,2002-08-01,11265343062.9,943.713976742,2080.51183313
Coal,2002,9,10686137.0,3,106935000.0,106276000.0,10185558750.0,10122789000.0,2002-09-01,10046606854.8,940.153289708,2072.66194249
Coal,2002,10,10549417.0,4,104798000.0,104219000.0,9982009500.0,9926859750.0,2002-10-01,9738411391.99,923.123182257,2035.1173676
Coal,2002,11,10502786.0,4,103372000.0,102866000.0,9846183000.0,9797986500.0,2002-11-01,9577698591.97,911.919807941,2010.41840859
Coal,2002,12,11686922.0,4,115269000.0,114647000.0,10979372250.0,10920126750.0,2002-12-01,10634170638.1,909.920562328,2006.01087171
Coal,2003,1,12271746.0,1,120483000.0,119376000.0,11476005750.0,11370564000.0,2003-01-01,11544229396.6,940.716129276,2073.9027786
