fuel category,year,month,generation (MWh),quarter,total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),datetime,adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,1,389103.0,1,4048000.0,3798000.0,385572000.0,361759500.0,2001-01-01,377685814.847,970.657678936,2139.91191898
Coal,2001,2,368807.0,1,3680000.0,3652000.0,350520000.0,347853000.0,2001-02-01,362909078.658,984.008109007,2169.34427712
Coal,2001,3,417957.0,1,4115000.0,4115000.0,391953750.0,391953750.0,2001-03-01,406806208.632,973.320721107,2145.78286175
Coal,2001,4,402652.0,2,4018000.0,4018000.0,382714500.0,382714500.0,2001-04-01,401355407.799,996.779868965,2197.50089912
Coal,2001,5,233404.0,2,2263000.0,2263000.0,215550750.0,215550750.0,2001-05-01,226508547.154,970.457006539,2139.46951661
Coal,2001,6,259335.0,2,2659000.0,2659000.0,253269750.0,253269750.0,2001-06-01,263725441.895,1016.92961573,2241.92303084
Coal,2001,7,410171.0,3,4054000.0,4054000.0,386143500.0,386143500.0,2001-07-01,418865099.684,1021.19628078,2251.32932061
Coal,2001,8,389622.0,3,3880000.0,3880000.0,369570000.0,369570000.0,2001-08-01,386857644.484,992.905032272,2188.95843415
Coal,2001,9,391211.0,3,3817000.0,3817000.0,363569250.0,363569250.0,2001-09-01,383353361.647,979.914577165,2160.31967682
Coal,2001,10,415499.0,4,3994000.0,3888000.0,380428500.0,370332000.0,2001-10-01,395010143.162,950.68855319,2095.88798436
Coal,2001,11,351003.0,4,3525000.0,3306000.0,335756250.0,314896500.0,2001-11-01,333333024.282,949.658619107,2093.61739168
Coal,2001,12,416289.0,4,4221000.0,4034000.0,402050250.0,384238500.0,2001-12-01,405204803.776,973.373795071,2145.89986861
Coal,2002,1,397723.0,1,3941000.0,3941000.0,375380250.0,375380250.0,2002-01-01,394415068.041,991.682824581,2186.26395507
Coal,2002,2,367608.0,1,3599000.0,3599000.0,342804750.0,342804750.0,2002-02-01,362166195.449,985.196718921,2171.96468653
Coal,2002,3,365859.0,1,3582000.0,3582000.0,341185500.0,341185500.0,2002-03-01,281365434.816,769.054293638,1695.45709575
Coal,2002,4,203791.0,2,2009000.0,2009000.0,191357250.0,191357250.0,2002-04-01,206109435.422,1011.37653489,2229.68070882
Coal,2002,5,319277.0,2,3180000.0,3180000.0,302895000.0,302895000.0,2002-05-01,329347526.93,1031.5416611,2274.13674605
Coal,2002,6,0.0,2,0.0,0.0,0.0,0.0,2002-06-01,0.0,,
Coal,2002,7,126671.0,3,1330000.0,1330000.0,126682500.0,126682500.0,2002-07-01,138624255.397,1094.3645775,2412.63614756
Coal,2002,8,374359.0,3,3572000.0,3572000.0,340233000.0,340233000.0,2002-08-01,373875259.621,998.707816885,2201.7512531
Coal,2002,9,391607.0,3,3708000.0,3708000.0,353187000.0,353187000.0,2002-09-01,382783425.468,977.46829211,2154.92659679
Coal,2002,10,413631.0,4,4175000.0,4002000.0,397668750.0,381190500.0,2002-10-01,409696279.953,990.487366646,2183.62844851
Coal,2002,11,402961.0,4,4132000.0,3864000.0,393573000.0,368046000.0,2002-11-01,396810871.439,984.737658084,2170.95264101
Coal,2002,12,416197.0,4,4258000.0,3990000.0,405574500.0,380047500.0,2002-12-01,410085435.597,985.315693282,2172.22697741
Coal,2003,1,365801.0,1,3595000.0,3514000.0,342423750.0,334708500.0,2003-01-01,361916195.944,989.380007009,2181.18716345
Coal,2003,2,364739.0,1,3610000.0,3538000.0,343852500.0,336994500.0,2003-02-01,356428242.164,977.214507263,2154.36710271
Coal,2003,3,408259.0,1,4097000.0,4015000.0,390239250.0,382428750.0,2003-03-01,404482941.985,990.750827258,2184.20927377
Coal,2003,4,399222.0,2,3977000.0,3903000.0,378809250.0,371760750.0,2003-04-01,404817693.399,1014.01649558,2235.50076616
Coal,2003,5,16514.0,2,285000.0,219000.0,27146250.0,20859750.0,2003-05-01,84787982.1279,5134.30919994,11319.0980622
Coal,2003,6,378809.0,2,3906000.0,3830000.0,372046500.0,364807500.0,2003-06-01,150265717.914,396.67937645,874.519353321
Coal,2003,7,402551.0,3,4241000.0,4169000.0,403955250.0,397097250.0,2003-07-01,413741613.835,1027.7992449,2265.88621532
Coal,2003,8,405031.0,3,4132000.0,4063000.0,393573000.0,387000750.0,2003-08-01,438984783.01,1083.83008464,2389.41180459
Coal,2003,9,389173.0,3,3958000.0,3889000.0,376999500.0,370427250.0,2003-09-01,416583917.758,1070.4337602,2359.87826774
Coal,2003,10,409656.0,4,4055000.0,3984000.0,386238750.0,379476000.0,2003-10-01,431663867.207,1053.72279963,2323.03728407
