fuel category,year,month,generation (MWh),quarter,total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),datetime,adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Natural Gas,2001,1,2700.0,1,31000.0,31000.0,1645170.0,1645170.0,2001-01-01,1769463.08912,655.356699673,1444.7993801
Natural Gas,2001,2,250.0,1,3000.0,3000.0,159210.0,159210.0,2001-02-01,157896.229698,631.584918793,1392.39211197
Natural Gas,2001,3,630.0,1,6000.0,6000.0,318420.0,318420.0,2001-03-01,354351.892502,562.463321432,1240.00663843
Natural Gas,2001,4,240.0,2,2000.0,2000.0,106140.0,106140.0,2001-04-01,112250.625764,467.710940683,1031.11553983
Natural Gas,2001,5,5210.0,2,55000.0,55000.0,2918850.0,2918850.0,2001-05-01,3719242.05686,713.866037784,1573.7890669
Natural Gas,2001,6,330.0,2,3000.0,3000.0,159210.0,159210.0,2001-06-01,161113.185003,488.221772736,1076.33372017
Natural Gas,2001,7,320.0,3,3000.0,3000.0,159210.0,159210.0,2001-07-01,158014.036713,493.793864727,1088.61795418
Natural Gas,2001,8,190.0,3,2000.0,2000.0,106140.0,106140.0,2001-08-01,103351.323616,543.954334823,1199.20172655
Natural Gas,2001,9,240.0,3,2000.0,2000.0,106140.0,106140.0,2001-09-01,107574.996925,448.229153853,988.165992584
Natural Gas,2001,10,340.0,4,4000.0,4000.0,212280.0,212280.0,2001-10-01,219723.826843,646.246549538,1424.71514311
Natural Gas,2001,11,270.0,4,3000.0,3000.0,159210.0,159210.0,2001-11-01,172213.353674,637.827235831,1406.15392411
Natural Gas,2001,12,280.0,4,3000.0,3000.0,159210.0,159210.0,2001-12-01,171553.382118,612.690650423,1350.73780792
Natural Gas,2002,1,390.0,1,4000.0,4000.0,212280.0,212280.0,2002-01-01,192857.287208,494.505864636,1090.18762918
Natural Gas,2002,2,260.0,1,3000.0,3000.0,159210.0,159210.0,2002-02-01,151243.253336,581.704820522,1282.42644732
Natural Gas,2002,3,220.0,1,2000.0,2000.0,106140.0,106140.0,2002-03-01,99916.5095967,454.165952712,1001.25425935
Natural Gas,2002,4,160.0,2,2000.0,2000.0,106140.0,106140.0,2002-04-01,99899.2640074,624.370400046,1376.48698394
Natural Gas,2002,5,260.0,2,3000.0,3000.0,159210.0,159210.0,2002-05-01,148552.143025,571.354396252,1259.60790198
Natural Gas,2002,6,280.0,2,3000.0,3000.0,159210.0,159210.0,2002-06-01,148653.409108,530.905032529,1170.43323471
Natural Gas,2002,7,410.0,3,4000.0,4000.0,212280.0,212280.0,2002-07-01,199612.884971,486.860695052,1073.33308831
Natural Gas,2002,8,245.0,3,3000.0,3000.0,159210.0,159210.0,2002-08-01,153707.391454,627.377107975,1383.11557224
Natural Gas,2002,9,280.0,3,3000.0,3000.0,159210.0,159210.0,2002-09-01,144552.748114,516.259814694,1138.14638747
