fuel category,year,month,generation (MWh),quarter,total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),datetime,adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,1,830616.0,1,9012000.0,8753000.0,858393000.0,833723250.0,2001-01-01,837044906.47,1007.73992611,2221.66344111
Coal,2001,2,749045.0,1,8030000.0,7880000.0,764857500.0,750570000.0,2001-02-01,758659165.669,1012.83523109,2232.89655045
Coal,2001,3,865123.0,1,9157000.0,8973000.0,872204250.0,854678250.0,2001-03-01,881792959.433,1019.26888943,2247.08019364
Coal,2001,4,602688.0,2,6618000.0,6389000.0,630364500.0,608552250.0,2001-04-01,622192070.557,1032.36180338,2275.94483174
Coal,2001,5,403188.0,2,4799000.0,4619000.0,457104750.0,439959750.0,2001-05-01,450503181.658,1117.3526535,2463.3156599
Coal,2001,6,557123.0,2,6104000.0,5930000.0,581406000.0,564832500.0,2001-06-01,590330343.081,1059.60504786,2336.00528852
Coal,2001,7,786660.0,3,8286000.0,8119000.0,789241500.0,773334750.0,2001-07-01,803624505.288,1021.56523185,2252.14271014
Coal,2001,8,914591.0,3,9665000.0,9535000.0,920591250.0,908208750.0,2001-08-01,914110974.476,999.475147335,2203.44290981
Coal,2001,9,778693.0,3,8319000.0,8171000.0,792384750.0,778287750.0,2001-09-01,795441319.79,1021.50824496,2252.01707683
Coal,2001,10,737855.0,4,8127000.0,7953000.0,774096750.0,757523250.0,2001-10-01,760396568.801,1030.55013356,2271.95082446
Coal,2001,11,941811.0,4,10316000.0,10100000.0,982599000.0,962025000.0,2001-11-01,950800061.61,1009.54444322,2225.64167951
Coal,2001,12,914965.0,4,10245000.0,10048000.0,975836250.0,957072000.0,2001-12-01,992314085.415,1084.53775326,2390.97193085
Coal,2002,1,935516.0,1,10776000.0,10638000.0,1026414000.0,1013269500.0,2002-01-01,1073858411.85,1147.87818899,2530.61225545
Coal,2002,2,703266.0,1,7901000.0,7781000.0,752570250.0,741140250.0,2002-02-01,800317428.915,1138.0010251,2508.83705993
Coal,2002,3,919624.0,1,10138000.0,9957000.0,965644500.0,948404250.0,2002-03-01,1039900825.05,1130.78913235,2492.93772117
Coal,2002,4,512671.0,2,5863000.0,5677000.0,558450750.0,540734250.0,2002-04-01,599680500.212,1169.7180067,2578.76031757
Coal,2002,5,415559.0,2,4853000.0,4682000.0,462248250.0,445960500.0,2002-05-01,498800181.939,1200.31134433,2646.20638972
Coal,2002,6,174090.0,2,2399000.0,2267000.0,228504750.0,215931750.0,2002-06-01,241405840.204,1386.67264176,3057.05850603
Coal,2002,7,422449.0,3,5247000.0,5126000.0,499776750.0,488251500.0,2002-07-01,520955290.406,1233.17913028,2718.66671061
Coal,2002,8,870924.0,3,9918000.0,9891000.0,944689500.0,942117750.0,2002-08-01,987566129.043,1133.92917068,2499.86024968
Coal,2002,9,907245.0,3,10421000.0,10375000.0,992600250.0,988218750.0,2002-09-01,1000742594.8,1103.05661073,2431.79860401
Coal,2002,10,950399.0,4,10793000.0,10721000.0,1028033250.0,1021175250.0,2002-10-01,942751216.04,991.953080801,2186.85976193
Coal,2002,11,898559.0,4,10450000.0,10349000.0,995362500.0,985742250.0,2002-11-01,940271248.575,1046.42126847,2306.94032847
Coal,2002,12,950502.0,4,11168000.0,11011000.0,1063752000.0,1048797750.0,2002-12-01,1011771311.22,1064.45994981,2346.70840536
Coal,2003,1,1013039.0,1,10729000.0,10633000.0,1021937250.0,1012793250.0,2003-01-01,1181673808.6,1166.46428084,2571.58715355
Coal,2003,2,865235.0,1,9076000.0,8983000.0,864489000.0,855630750.0,2003-02-01,921837100.078,1065.41818128,2348.82092244
Coal,2003,3,970435.0,1,10493000.0,10371000.0,999458250.0,987837750.0,2003-03-01,1075766844.55,1108.54085493,2443.88916878
Coal,2003,4,782973.0,2,8565000.0,8335000.0,815816250.0,793908750.0,2003-04-01,872160187.194,1113.90838151,2455.72241787
Coal,2003,5,846316.0,2,9091000.0,8966000.0,865917750.0,854011500.0,2003-05-01,963369748.13,1138.30974261,2509.51765857
