fuel category,year,month,generation (MWh),quarter,total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),datetime,adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,1,3882449.0,1,42007000.0,41611000.0,4001166750.0,3963447750.0,2001-01-01,4204142401.53,1082.85837149,2387.26956578
Coal,2001,2,3626521.0,1,39548000.0,39172000.0,3766947000.0,3731133000.0,2001-02-01,3976348605.92,1096.46369231,2417.26385608
Coal,2001,3,3956114.0,1,42998000.0,42711000.0,4095559500.0,4068222750.0,2001-03-01,4356088304.33,1101.10282573,2427.49128961
Coal,2001,4,3327371.0,2,35865000.0,35469000.0,3416141250.0,3378422250.0,2001-04-01,3674919520.85,1104.45138845,2434.87353098
Coal,2001,5,3270010.0,2,36009000.0,35627000.0,3429857250.0,3393471750.0,2001-05-01,3635190265.19,1111.67558056,2450.7999849
Coal,2001,6,3479735.0,2,38235000.0,37863000.0,3641883750.0,3606450750.0,2001-06-01,3825084626.86,1099.24595605,2423.3976347
Coal,2001,7,3908550.0,3,43371000.0,42935000.0,4131087750.0,4089558750.0,2001-07-01,4305664687.01,1101.60153689,2428.59074822
Coal,2001,8,3689725.0,3,42510000.0,42132000.0,4049077500.0,4013073000.0,2001-08-01,4061302804.72,1100.70609726,2426.61666203
Coal,2001,9,2814610.0,3,30143000.0,29795000.0,2871120750.0,2837973750.0,2001-09-01,3653966841.56,1298.21426115,2862.04316012
Coal,2001,10,3496418.0,4,39344000.0,38905000.0,3747516000.0,3705701250.0,2001-10-01,3730279073.6,1066.88590254,2352.05666075
Coal,2001,11,3683092.0,4,43582000.0,43195000.0,4151185500.0,4114323750.0,2001-11-01,4053867981.3,1100.66975826,2426.53654907
Coal,2001,12,3654715.0,4,40665000.0,40241000.0,3873341250.0,3832955250.0,2001-12-01,3972961299.6,1087.07828096,2396.5727782
Coal,2002,1,3704998.0,1,40788000.0,40349000.0,3885057000.0,3843242250.0,2002-01-01,3999539303.28,1079.49837039,2379.86210735
Coal,2002,2,3371112.0,1,36526000.0,35951000.0,3479101500.0,3424332750.0,2002-02-01,3571157692.54,1059.3411588,2335.4235187
Coal,2002,3,3799750.0,1,41440000.0,41027000.0,3947160000.0,3907821750.0,2002-03-01,4104197412.06,1080.12301127,2381.23919064
Coal,2002,4,2937082.0,2,32801000.0,32391000.0,3124295250.0,3085242750.0,2002-04-01,3221963509.21,1096.99474145,2418.434607
Coal,2002,5,3115293.0,2,34871000.0,34443000.0,3321462750.0,3280695750.0,2002-05-01,3364446989.37,1079.97770655,2380.91885186
Coal,2002,6,2939619.0,2,32880000.0,32498000.0,3131820000.0,3095434500.0,2002-06-01,3198426739.76,1088.04125288,2398.69574611
Coal,2002,7,3686284.0,3,40866000.0,40464000.0,3892486500.0,3854196000.0,2002-07-01,3962350450.16,1074.890174,2369.70287759
Coal,2002,8,3653393.0,3,40265000.0,39873000.0,3835241250.0,3797903250.0,2002-08-01,3873113933.99,1060.14160918,2337.1881916
Coal,2002,9,3628015.0,3,39604000.0,39240000.0,3772281000.0,3737610000.0,2002-09-01,3820872636.81,1053.157894,2321.79189312
Coal,2002,10,3598099.0,4,38991000.0,38560000.0,3713892750.0,3672840000.0,2002-10-01,3800341034.02,1056.20802374,2328.51620915
Coal,2002,11,3550683.0,4,38937000.0,38558000.0,3708749250.0,3672649500.0,2002-11-01,3851582728.8,1084.74418268,2391.42702514
Coal,2002,12,3938833.0,4,43177000.0,42784000.0,4112609250.0,4075176000.0,2002-12-01,4199534264.09,1066.18743777,2350.51682531
Coal,2003,1,3972982.0,1,44045000.0,43032000.0,4195286250.0,4098798000.0,2003-01-01,4176730237.73,1051.28345352,2317.65950163
Coal,2003,2,3479364.0,1,38859000.0,37969000.0,3701319750.0,3616547250.0,2003-02-01,3698814612.04,1063.07204766,2343.64863627
Coal,2003,3,3696722.0,1,40105000.0,39159000.0,3820001250.0,3729894750.0,2003-03-01,3953501069.34,1069.46128742,2357.73435424
Coal,2003,4,2992976.0,2,33766000.0,32998000.0,3216211500.0,3143059500.0,2003-04-01,3090310868.51,1032.5210989,2276.29601464
Coal,2003,5,3073277.0,2,33899000.0,33108000.0,3228879750.0,3153537000.0,2003-05-01,3231330430.0,1051.42830601,2317.97884342
Coal,2003,6,3315465.0,2,37772000.0,36915000.0,3597783000.0,3516153750.0,2003-06-01,3497178427.93,1054.80782573,2325.4293326
Coal,2003,7,3776410.0,3,42153000.0,41171000.0,4015073250.0,3921537750.0,2003-07-01,3976243809.67,1052.91634374,2321.25937142
Coal,2003,8,3622370.0,3,40758000.0,39825000.0,3882199500.0,3793331250.0,2003-08-01,3844762248.4,1061.39412826,2339.94949517
Coal,2003,9,3460242.0,3,38681000.0,37803000.0,3684365250.0,3600735750.0,2003-09-01,3649426219.02,1054.67369595,2325.13363009
Coal,2003,10,3481181.0,4,39530000.0,38648000.0,3765232500.0,3681222000.0,2003-10-01,3701152052.13,1063.18862826,2343.90564987
Coal,2003,11,3677072.0,4,41336000.0,40407000.0,3937254000.0,3848766750.0,2003-11-01,3883404191.37,1056.11317683,2328.30710965
Coal,2003,12,3793392.0,4,42409000.0,41451000.0,4039457250.0,3948207750.0,2003-12-01,4013754997.56,1058.0912802,2332.66803632
Coal,2004,1,3817530.43,1,42185330.0,41107860.0,4018152682.5,3915523665.0,2004-01-01,4016462407.46,1052.11012227,2319.48197555
Coal,2004,2,3587328.64,1,39405320.0,38421980.0,3753356730.0,3659693595.0,2004-02-01,3793074301.3,1057.35344652,2331.04140819
Coal,2004,3,3644866.53,1,39895810.0,38912920.0,3800075902.5,3706455630.0,2004-03-01,3857518721.56,1058.34292965,2333.22282272
Coal,2004,4,3250956.71,2,35608930.0,34563480.0,3391750582.5,3292171470.0,2004-04-01,3468896499.1,1067.03866232,2352.39343495
Coal,2004,5,2781660.98,2,30669250.0,29762390.0,2921246062.5,2834867647.5,2004-05-01,3098601738.09,1113.93939102,2455.79078144
Coal,2004,6,3535464.94,2,39182920.0,38192180.0,3732173130.0,3637805145.0,2004-06-01,3846019820.3,1087.83989817,2398.2518395
Coal,2004,7,3663605.12,3,40876690.0,39818140.0,3893504722.5,3792677835.0,2004-07-01,3968509763.1,1083.22530216,2388.07850114
Coal,2004,8,3917030.05,3,45116880.0,44145350.0,4297382820.0,4204844587.5,2004-08-01,4146122653.63,1058.4863023,2333.53890206
Coal,2004,9,3889906.65,3,42907400.0,41918550.0,4086929850.0,3992741887.5,2004-09-01,4107262543.58,1055.87689195,2327.78619599
Coal,2004,10,3642872.24,4,40318960.0,39237980.0,3840380940.0,3737417595.0,2004-10-01,3865146580.01,1061.01623262,2339.11638644
Coal,2004,11,3807266.62,4,42068930.0,41120980.0,4007065582.5,3916773345.0,2004-11-01,3994902111.31,1049.28351756,2313.25044281
Coal,2004,12,3807251.37,4,41281930.0,40266990.0,3932103832.5,3835430797.5,2004-12-01,4005561015.5,1052.08735285,2319.43177809
Coal,2005,1,3734019.09,1,41305940.0,40216060.0,3934390785.0,3830579715.0,2005-01-01,3986558286.36,1067.63200462,2353.70151739
Coal,2005,2,3422742.15,1,37218160.0,36276630.0,3545029740.0,3455349007.5,2005-02-01,3622314105.83,1058.3076221,2333.14498368
Coal,2005,3,3712650.05,1,39966940.0,39097130.0,3806851035.0,3724001632.5,2005-03-01,3930736488.03,1058.74144751,2334.10139518
Coal,2005,4,3049096.36,2,33211350.0,32195690.0,3163381087.5,3066639472.5,2005-04-01,3257159318.74,1068.23758064,2355.03657028
Coal,2005,5,2834939.31,2,31138050.0,30146760.0,2965899262.5,2871478890.0,2005-05-01,3026393428.2,1067.53376255,2353.48493291
Coal,2005,6,3674109.49,2,39904370.0,38926800.0,3800891242.5,3707777700.0,2005-06-01,3870346774.26,1053.41084276,2322.34954395
Coal,2005,7,3818314.93,3,41603390.0,40580310.0,3962722897.5,3865274527.5,2005-07-01,4019936350.84,1052.80376934,2321.01118989
Coal,2005,8,4036655.23,3,42264410.0,41346440.0,4025685052.5,3938248410.0,2005-08-01,4257318726.78,1054.66493525,2325.11431625
Coal,2005,9,3608745.02,3,39170820.0,38174410.0,3731020605.0,3636112552.5,2005-09-01,3846953476.66,1066.00866931,2350.12271237
Coal,2005,10,3887205.73,4,41801420.0,40752460.0,3981585255.0,3881671815.0,2005-10-01,4192070656.23,1078.42778268,2377.5018897
Coal,2005,11,3747481.02,4,41624210.0,40601300.0,3964706002.5,3867273825.0,2005-11-01,4048923202.94,1080.43861499,2381.9349706
Coal,2005,12,3819717.24,4,42073140.0,40993680.0,4007466585.0,3904648020.0,2005-12-01,4140591011.68,1084.00458765,2389.79651393
Coal,2006,1,3921650.19,1,43230780.0,42151090.0,4117731795.0,4014891322.5,2006-01-01,4274056200.54,1089.8616637,2402.7090238
Coal,2006,2,3440932.39,1,37632990.0,36715850.0,3584542297.5,3497184712.5,2006-02-01,3720098345.99,1081.13090417,2383.46119133
Coal,2006,3,3904348.12,1,42543710.0,41496940.0,4052288377.5,3952583535.0,2006-03-01,4137740953.89,1059.7776701,2336.38585151
Coal,2006,4,2946443.94,2,32450270.0,31432640.0,3090888217.5,2993958960.0,2006-04-01,3172968670.85,1076.88071976,2374.09123479
Coal,2006,5,2633117.55,2,29043270.0,28045260.0,2766371467.5,2671311015.0,2006-05-01,2851746511.15,1083.0304599,2387.6489519
Coal,2006,6,3196974.0,2,34677660.0,33824850.0,3303047115.0,3221816962.5,2006-06-01,3383996314.24,1058.49979206,2333.56864159
Coal,2006,7,3811331.88,3,41306850.0,40225320.0,3934477462.5,3831461730.0,2006-07-01,4055845933.0,1064.15449,2346.03498866
Coal,2006,8,3982535.22,3,43424260.0,42472670.0,4136160765.0,4045521817.5,2006-08-01,4175060529.36,1048.34239968,2311.17565434
Coal,2006,9,3788416.98,3,40990400.0,39961370.0,3904335600.0,3806320492.5,2006-09-01,3952676251.57,1043.35828723,2300.18768003
Coal,2006,10,3706118.43,4,40361000.0,39266280.0,3844385250.0,3740113170.0,2006-10-01,3937304328.8,1062.37952272,2342.12189578
Coal,2006,11,3832430.87,4,41843090.0,40795940.0,3985554322.5,3885813285.0,2006-11-01,4076088121.29,1063.57772901,2344.76346137
