year,month,generation (MWh),final CO2 (kg),datetime,quarter,index (g/kWh),change since 2005,index (lb/MWh)
2001,1,904021.267,728579041.265,2001-01-01,1,805.931306996,0.100402140207,1776.7561594
2001,2,780796.596,628132898.759,2001-02-01,1,804.476994363,0.0984164514525,1773.54998177
2001,3,862028.049,695784326.436,2001-03-01,1,807.148128466,0.102063563381,1779.43876402
2001,4,811226.848,633735768.04,2001-04-01,2,781.206600352,0.0666435309173,1722.24807114
2001,5,858306.875,684649888.412,2001-05-01,2,797.674943955,0.0891290708002,1758.55418144
2001,6,844187.753,681239505.701,2001-06-01,2,806.976295593,0.101828946287,1779.05994126
2001,7,908912.192,730159513.045,2001-07-01,3,803.333390697,0.0968549983717,1771.02879313
2001,8,931453.952,746200805.484,2001-08-01,3,801.114004489,0.0938246937885,1766.1359343
2001,9,872368.805,714764644.936,2001-09-01,3,819.33769392,0.118706947001,1806.31188002
2001,10,887971.07,705189384.368,2001-10-01,4,794.158062343,0.0843271925033,1750.80086424
2001,11,843338.9,674769389.839,2001-11-01,4,800.116524732,0.0924627553084,1763.93689042
2001,12,847249.421,683364183.049,2001-12-01,4,806.567896196,0.101271326095,1778.15958395
2002,1,941090.962,742061254.933,2002-01-01,1,788.511721923,0.076617794657,1738.35294215
2002,2,842129.987,660966639.478,2002-02-01,1,784.874840798,0.0716520714754,1730.33507402
2002,3,943126.324,739592717.264,2002-03-01,1,784.192635115,0.0707206017739,1728.83108337
2002,4,950867.991,755176597.507,2002-04-01,2,794.197096395,0.0843804888001,1750.88691871
2002,5,987517.281,781391936.327,2002-05-01,2,791.269126486,0.0803826985089,1744.43191625
2002,6,987598.502,768210461.752,2002-06-01,2,777.857054457,0.0620701293889,1714.86366226
2002,7,1034847.825,797222498.207,2002-07-01,3,770.376550974,0.0518564027712,1698.37214428
2002,8,1062668.738,821005101.136,2002-08-01,3,772.587986997,0.054875852334,1703.24747613
2002,9,1008465.285,783586634.959,2002-09-01,3,777.009032055,0.0609122569275,1712.99411207
2002,10,1013525.974,794564723.807,2002-10-01,4,783.960889203,0.0704041806401,1728.32017634
2002,11,945100.809,737315719.263,2002-11-01,4,780.14505145,0.0651941137363,1719.90778043
2002,12,953528.322,746459563.778,2002-12-01,4,782.839425485,0.0688729569932,1725.84779742
2003,1,853543.014,649341203.448,2003-01-01,1,760.759789252,0.0387258727999,1677.17103138
2003,2,784689.128,579307364.658,2003-02-01,1,738.263528812,0.00800993842733,1627.57577562
2003,3,897028.55,691442882.425,2003-03-01,1,770.81480007,0.0524547791319,1699.33830823
2003,4,864567.832,658345789.317,2003-04-01,2,761.473842711,0.0397008268035,1678.74523364
2003,5,921933.425,676885147.405,2003-05-01,2,734.20176452,0.0024640884509,1618.62121006
2003,6,921247.048,680357385.226,2003-06-01,2,738.517845678,0.00835717748056,1628.13644258
2003,7,975317.042,704612718.487,2003-07-01,3,722.444792969,-0.013588640292,1592.70179058
2003,8,986426.55,724424031.62,2003-08-01,3,734.392268354,0.00272419849419,1619.04119481
2003,9,959944.316,709235250.573,2003-09-01,3,738.829574541,0.00878280570049,1628.82368003
2003,10,993038.587,782343002.811,2003-10-01,4,787.827394678,0.075683428218,1736.84427431
2003,11,908178.375,660308087.302,2003-11-01,4,727.068718524,-0.00727522681368,1602.89569686
2003,12,919086.342,681849303.214,2003-12-01,4,741.877310167,0.0129441216549,1635.54271799
2004,1,909417.41219,671601906.001,2004-01-01,1,738.496862936,0.0083285280722,1628.09018403
2004,2,871276.97362,629574112.401,2004-02-01,1,722.587800967,-0.013393380094,1593.01706601
2004,3,905988.08484,653956696.444,2004-03-01,1,721.8160011,-0.014447179863,1591.31555603
2004,4,907513.97862,650573414.486,2004-04-01,2,716.87426289,-0.0211945282478,1580.42099997
2004,5,939739.21703,727394941.123,2004-05-01,2,774.039146117,0.0568572353472,1706.44670153
2004,6,952608.37411,700256113.645,2004-06-01,2,735.093384308,0.00368148789212,1620.58687505
2004,7,1007315.31386,742551666.55,2004-07-01,3,737.15911625,0.00650199607989,1625.14098768
2004,8,1033334.56623,767104447.611,2004-08-01,3,742.358257123,0.0136007968014,1636.60301365
2004,9,1001630.92426,745535218.224,2004-09-01,3,744.32128658,0.0162810771151,1640.93070839
2004,10,996310.6637,742298705.459,2004-10-01,4,745.04743601,0.0172725467099,1642.53157743
2004,11,941081.14455,706456041.928,2004-11-01,4,750.685576923,0.0249707491169,1654.96142288
2004,12,954292.32407,687631686.65,2004-12-01,4,720.567135778,-0.0161523550575,1588.56230754
2005,1,960561.918,697705542.235,2005-01-01,1,726.351450293,-0.00825457020174,1601.31440732
2005,2,803461.529,572797615.154,2005-02-01,1,712.912310646,-0.0266040968944,1571.68648005
2005,3,889376.71,632059407.979,2005-03-01,1,710.676815429,-0.029656396389,1566.75810729
2005,4,887825.84,659171143.669,2005-04-01,2,742.455461388,0.0137335175187,1636.81731018
2005,5,961725.73,699241375.666,2005-05-01,2,727.069427232,-0.00727425915784,1602.89725928
2005,6,952122.829,697591592.094,2005-06-01,2,732.66974685,0.000372302826204,1615.24372391
2005,7,1056887.651,782201712.186,2005-07-01,3,740.099206804,0.0105163356519,1631.62271132
2005,8,1098116.645,826139708.374,2005-08-01,3,752.324183534,0.0272080691043,1658.57389502
2005,9,1052286.435,781779533.659,2005-09-01,3,742.934155241,0.0143871163262,1637.87263865
2005,10,970114.21,713834685.54,2005-10-01,4,735.825409196,0.0046809797175,1622.20069711
2005,11,904823.959,652242131.972,2005-11-01,4,720.849758104,-0.0157664683085,1589.18537672
2005,12,998433.965,733975877.548,2005-12-01,4,735.127112336,0.00372753945214,1620.66123186
2006,1,936846.88388,681734239.945,2006-01-01,1,727.690139846,-0.00642675083712,1604.2656823
2006,2,820143.51724,589568123.536,2006-02-01,1,718.859700946,-0.0184836516915,1584.79809671
2006,3,923105.24135,659810752.085,2006-03-01,1,714.773053526,-0.0240634765834,1575.7886738
2006,4,895423.45,669661613.044,2006-04-01,2,747.871426691,0.0211283658879,1648.75734728
2006,5,953142.03965,676797588.479,2006-05-01,2,710.070021387,-0.0304849005761,1565.42036915
2006,6,1000665.95718,733492484.992,2006-06-01,2,733.004335492,0.000829143320654,1615.98135802
2006,7,1032583.60365,758202585.597,2006-07-01,3,734.277188711,0.00256707110028,1618.78749023
2006,8,1118677.54165,845480951.639,2006-08-01,3,755.786113657,0.0319349177628,1666.20606617
2006,9,992761.07612,736262004.656,2006-09-01,3,741.630612205,0.0126072852973,1634.99884767
2006,10,992183.50753,729063593.979,2006-10-01,4,734.807208995,0.00329074996732,1619.95597295
2006,11,950877.28212,694623762.361,2006-11-01,4,730.508316291,-0.00257887029778,1610.4786341
2006,12,950202.39977,675185147.483,2006-12-01,4,710.569819279,-0.0298024867451,1566.52222358
2007,1,954227.533,691137039.156,2007-01-01,1,724.289559099,-0.0110698343106,1596.76876199
2007,2,838647.542,612684710.525,2007-02-01,1,730.562816727,-0.00250445651631,1610.59878576
2007,3,950013.306,712963166.156,2007-03-01,1,750.477031904,0.0246860060094,1654.50166454
2007,4,921955.011,645750009.959,2007-04-01,2,700.413797045,-0.0436693120018,1544.13225696
2007,5,979899.959,695803565.722,2007-05-01,2,710.076124946,-0.0304765669005,1565.43382506
2007,6,970295.047,696341263.316,2007-06-01,2,717.659299064,-0.0201226558954,1582.15169072
2007,7,1018461.524,727376835.27,2007-07-01,3,714.191766826,-0.024857153567,1574.50716914
2007,8,1042031.585,743471243.657,2007-08-01,3,713.482445599,-0.0258256462778,1572.94339957
2007,9,993964.795,718197467.323,2007-09-01,3,722.558254514,-0.0134337222175,1592.9519279
2007,10,1006074.681,699952678.438,2007-10-01,4,695.726362721,-0.0500694390562,1533.79833925
2007,11,899216.922,639116805.668,2007-11-01,4,710.748196605,-0.0295589339899,1566.91547423
2007,12,965151.692,686503916.721,2007-12-01,4,711.291211953,-0.0288175119276,1568.11260587
2008,1,925831.984,655165766.322,2008-01-01,1,707.650823956,-0.033788023321,1560.08700649
2008,2,881111.414,655376264.124,2008-02-01,1,743.806349243,0.0155779921961,1639.79547754
2008,3,963896.11,699828711.406,2008-03-01,1,726.041638872,-0.00867758038602,1600.63139706
2008,4,920737.111,646255753.647,2008-04-01,2,701.889546893,-0.0416543533107,1547.38569508
2008,5,979122.924,686881336.082,2008-05-01,2,701.527172171,-0.0421491323521,1546.58680377
2008,6,956035.524,677394863.435,2008-06-01,2,708.545704035,-0.0325661723444,1562.05985912
2008,7,1015758.42,722388972.514,2008-07-01,3,711.181869912,-0.0289668053171,1567.87155041
2008,8,981289.529,703350613.678,2008-08-01,3,716.761560061,-0.0213484103883,1580.17253531
2008,9,954951.214,689566248.979,2008-09-01,3,722.095787586,-0.0140651651119,1591.93237331
2008,10,973694.148,704596386.424,2008-10-01,4,723.632146574,-0.0119674519392,1595.31943034
2008,11,922227.12,662221428.205,2008-11-01,4,718.06761463,-0.0195651501651,1583.05186321
2008,12,907875.144,652682690.566,2008-12-01,4,718.91239107,-0.0184117096734,1584.91425735
2009,1,886709.48,618668353.636,2009-01-01,1,697.712573949,-0.0473575068262,1538.17714053
2009,2,796966.65,561317148.041,2009-02-01,1,704.316984959,-0.0383399789721,1552.73722504
2009,3,888119.303,612117403.546,2009-03-01,1,689.228802344,-0.0589410752398,1519.47381765
2009,4,858966.509,574365725.059,2009-04-01,2,668.670686274,-0.0870107068903,1474.15139496
2009,5,921822.674,672699042.393,2009-05-01,2,729.748856658,-0.00361582096433,1608.80432939
2009,6,936425.921,650433850.345,2009-06-01,2,694.591890034,-0.0516184248836,1531.29728077
2009,7,979837.976,676464093.7,2009-07-01,3,690.383624915,-0.0573643040964,1522.01973949
2009,8,988844.002,687946960.527,2009-08-01,3,695.708280716,-0.050094127857,1533.75847567
2009,9,957105.008,660181241.457,2009-09-01,3,689.76887169,-0.0582036755903,1520.66445453
2009,10,994619.15,703809827.67,2009-10-01,4,707.617410815,-0.0338336449404,1560.01334388
2009,11,916429.189,620386641.85,2009-11-01,4,676.96080537,-0.0756915476554,1492.42779152
2009,12,895063.049,629564764.515,2009-12-01,4,703.374768089,-0.0396264626354,1550.66001373
2010,1,899863.84,638350774.395,2010-01-01,1,709.38596043,-0.0314189034296,1563.91228836
2010,2,785100.62,592934620.505,2010-02-01,1,755.233922125,0.0311809667261,1664.98870472
2010,3,870729.09,638002937.99,2010-03-01,1,732.722663475,0.000444554104278,1615.3603839
2010,4,856701.38,592202552.315,2010-04-01,2,691.259015265,-0.0561690639982,1523.94962505
2010,5,919572.14,633966272.31,2010-05-01,2,689.414396906,-0.0586876682168,1519.88297942
2010,6,911116.3,623896108.555,2010-06-01,2,684.760121792,-0.0650425203638,1509.6221645
2010,7,936310.7,648992243.415,2010-07-01,3,693.137698218,-0.0536039486783,1528.09136949
2010,8,978518.77,662516753.93,2010-08-01,3,677.060853856,-0.0755549434972,1492.64835841
2010,9,940479.13,649227733.69,2010-09-01,3,690.315938951,-0.0574567211286,1521.87051901
2010,10,953129.09,664087370.56,2010-10-01,4,696.744415345,-0.0486794108043,1536.04273807
2010,11,880237.89,621118290.035,2010-11-01,4,705.625487259,-0.036553376666,1555.62194921
2010,12,904277.09,641690846.45,2010-12-01,4,709.617498382,-0.0311027662411,1564.42273693
2011,1,872824.41,629974007.27,2011-01-01,1,721.764881977,-0.01451697687,1591.20285881
2011,2,824000.09,588206774.7,2011-02-01,1,713.843095211,-0.0253332226656,1573.7384877
2011,3,907083.6,633204742.625,2011-03-01,1,698.06657581,-0.0468741599192,1538.95757303
2011,4,884642.19,628668501.615,2011-04-01,2,710.64720711,-0.0296968229827,1566.69283279
2011,5,905269.64,620856767.755,2011-05-01,2,685.825239599,-0.0635882302721,1511.97032322
2011,6,875964.51,598139981.21,2011-06-01,2,682.835861935,-0.0676698654581,1505.37994122
2011,7,914184.56,581758414.075,2011-07-01,3,636.368671633,-0.131115217702,1402.93837348
2011,8,946171.82,687667776.415,2011-08-01,3,726.789534289,-0.00765641926402,1602.28020729
2011,9,900098.91,618563673.65,2011-09-01,3,687.217445525,-0.0616873407461,1515.0395804
