year,month,generation (MWh),final CO2 (kg),datetime,quarter,index (g/kWh),change since 2005,index (lb/MWh)
2001,1,4108052.0,3459753830.52,2001-01-01,1,842.188421793,-0.0188438171607,1856.68859468
2001,2,3273967.0,2554748521.04,2001-02-01,1,780.322013338,-0.090918673089,1720.29791061
2001,3,3339534.0,2699285413.39,2001-03-01,1,808.282057732,-0.0583449998828,1781.93862448
2001,4,3246097.0,2632776553.76,2001-04-01,2,811.059113072,-0.0551097084136,1788.06092068
2001,5,3757797.0,2864472125.61,2001-05-01,2,762.274312744,-0.111944387247,1680.50994988
2001,6,3898452.0,3256606214.33,2001-06-01,2,835.358807632,-0.0268003717595,1841.63202731
2001,7,4454021.0,3850227665.91,2001-07-01,3,864.438597374,0.00707781364722,1905.74133177
2001,8,4406427.0,3788995212.42,2001-08-01,3,859.879265541,0.00176615594548,1895.68982881
2001,9,3640128.0,3025864512.56,2001-09-01,3,831.252228648,-0.0315845688062,1832.57866328
2001,10,3511120.0,2799966265.26,2001-10-01,4,797.456727556,-0.0709565952915,1758.07310157
2001,11,3249915.0,2573400333.49,2001-11-01,4,791.836196791,-0.0775045581564,1745.68207945
2001,12,3863012.0,3107038513.27,2001-12-01,4,804.304649654,-0.0629787118015,1773.17003063
2002,1,4148814.0,3504929738.69,2002-01-01,1,844.802813212,-0.0157980304469,1862.45228201
2002,2,3717504.0,3150674176.76,2002-02-01,1,847.524085181,-0.0126277270469,1868.45159819
2002,3,3421399.0,3018247777.63,2002-03-01,1,882.167726602,0.0277323896405,1944.82697007
2002,4,3074497.0,3310157733.69,2002-04-01,2,1076.6501752,0.254305982859,2373.58297624
2002,5,3368557.0,2970964074.43,2002-05-01,2,881.969363864,0.0275012954792,1944.38965957
2002,6,4124592.0,3502580747.39,2002-06-01,2,849.194477269,-0.0106817070316,1872.13414459
2002,7,4698284.0,3987630934.01,2002-07-01,3,848.74199474,-0.0112088527627,1871.1366016
2002,8,4541673.0,3897246231.2,2002-08-01,3,858.108065288,-0.000297306380274,1891.78504073
2002,9,4066442.0,3396412794.8,2002-09-01,3,835.229617144,-0.0269508797017,1841.34721395
2002,10,4037063.0,3482725572.58,2002-10-01,4,862.687942343,0.0050382866683,1901.88183769
2002,11,3939877.0,3439697866.1,2002-11-01,4,873.04701799,0.0171066918571,1924.71945586
2002,12,4049743.0,3500129313.25,2002-12-01,4,864.284304769,0.00689806154035,1905.40117829
2003,1,4314016.0,3834441207.34,2003-01-01,1,888.833330089,0.0354978705047,1959.52195951
2003,2,3565034.0,3018921192.03,2003-02-01,1,846.814137544,-0.0134548216676,1866.88644763
2003,3,3785453.0,3232770547.15,2003-03-01,1,853.998331812,-0.00508517843541,1882.72472231
2003,4,3605804.0,2990202243.47,2003-04-01,2,829.274759102,-0.0338883364913,1828.21913392
2003,5,3713935.0,3106048906.23,2003-05-01,2,836.322904476,-0.0256771912993,1843.75747521
2003,6,3918196.0,3344221887.78,2003-06-01,2,853.510617584,-0.00565336937432,1881.64950753
2003,7,4716871.0,4008322676.71,2003-07-01,3,849.784248226,-0.00999461919566,1873.43435364
2003,8,4559470.0,3907284132.6,2003-08-01,3,856.96015822,-0.00163462720749,1889.25436481
2003,9,3671069.0,3122219619.52,2003-09-01,3,850.493308495,-0.00916855836487,1874.99754791
2003,10,3508308.0,3359548754.92,2003-10-01,4,957.59800876,0.115609265881,2111.12057011
2003,11,2938934.0,3422993006.81,2003-11-01,4,1164.70564049,0.356891297458,2567.71005501
2003,12,4270471.0,3802646689.55,2003-12-01,4,890.45135526,0.0373828826465,1963.08905781
2004,1,4253890.3,3749273935.77,2004-01-01,1,881.37532267,0.0268092327833,1943.08003636
2004,2,3668989.17,3253910689.22,2004-02-01,1,886.868436632,0.0332087540622,1955.1901554
2004,3,3581144.06,2923882281.41,2004-03-01,1,816.465976352,-0.0488106698612,1799.98089147
2004,4,3480696.76,2855387006.23,2004-04-01,2,820.34925853,-0.0442866153624,1808.54197535
2004,5,4046586.86,3414116870.45,2004-05-01,2,843.702850963,-0.0170794951813,1860.02730523
2004,6,3965418.85,3424863811.82,2004-06-01,2,863.682738538,0.00619723211641,1904.07496538
2004,7,4275288.4,3693302518.28,2004-07-01,3,863.8721351,0.00641788061143,1904.49250904
2004,8,4116112.68,3445628667.05,2004-08-01,3,837.107468848,-0.0247631675906,1845.48712582
2004,9,3917136.06,3174224803.44,2004-09-01,3,810.343259673,-0.0559436832933,1786.48275028
2004,10,3560633.97,2995080417.97,2004-10-01,4,841.16492827,-0.0200361952226,1854.43220086
2004,11,3698784.41,3114677534.06,2004-11-01,4,842.081394535,-0.0189685047642,1856.45264239
2004,12,4217977.26,3636547237.16,2004-12-01,4,862.154301221,0.00441659053367,1900.70537247
2005,1,4165937.65,3907822574.4,2005-01-01,1,938.041541357,0.0928258264384,2068.00638208
2005,2,3263042.39,2784918195.18,2005-02-01,1,853.472882767,-0.0056973307356,1881.56631735
2005,3,3592458.26,2898634473.5,2005-03-01,1,806.86656983,-0.0599940545014,1778.81803985
2005,4,2924543.34,2924299605.96,2005-04-01,2,999.916659113,0.164910828772,2204.41626668
2005,5,3219529.01,3055376916.59,2005-05-01,2,949.013631216,0.10560839804,2092.19545138
2005,6,4201914.28,3479295446.95,2005-06-01,2,828.026279239,-0.035342825422,1825.46673521
2005,7,4556753.63,3926245590.42,2005-07-01,3,861.632185812,0.00380832194647,1899.55431684
2005,8,4488123.78,3896107569.57,2005-08-01,3,868.092717704,0.0113348927782,1913.79720545
2005,9,4011306.75,3327954518.76,2005-09-01,3,829.643486817,-0.0334587657833,1829.03203104
2005,10,3698078.87,2927216265.87,2005-10-01,4,791.550523603,-0.0778373696829,1745.05228434
2005,11,3565943.38,2884571238.13,2005-11-01,4,808.922332953,-0.0575990741783,1783.35017523
2005,12,4175064.51,3354410826.02,2005-12-01,4,803.439280516,-0.0639868737026,1771.26223782
2006,1,3702818.76,2913834820.82,2006-01-01,1,786.923425013,-0.0832279761946,1734.85138278
2006,2,3301743.5,2560487334.73,2006-02-01,1,775.495532808,-0.0965415611399,1709.65745163
2006,3,2968964.99,2099965574.72,2006-03-01,1,707.305603736,-0.17598336868,1559.325934
2006,4,2965873.25,2048295708.82,2006-04-01,2,690.621458222,-0.195420530368,1522.5440668
2006,5,3306815.7,2391088287.03,2006-05-01,2,723.078787556,-0.157607484581,1594.09949505
2006,6,4210291.93,3402270932.83,2006-06-01,2,808.084329875,-0.0585753544033,1781.50271364
2006,7,4811040.99,3937937848.24,2006-07-01,3,818.520951375,-0.0464166076805,1804.5112894
2006,8,4769069.49,3895340068.52,2006-08-01,3,816.792474232,-0.0484302972451,1800.70068869
2006,9,3826297.76,2988095528.3,2006-09-01,3,780.936486317,-0.0902028072009,1721.65257774
2006,10,3409683.74,3217015808.51,2006-10-01,4,943.493899675,0.0991778670699,2080.02665122
2006,11,3952138.76,3426250846.5,2006-11-01,4,866.935868036,0.00998715375089,1911.24681467
2006,12,4298997.42,3422299528.1,2006-12-01,4,796.069221204,-0.0725730511824,1755.01420507
2007,1,4441516.22,3555634385.33,2007-01-01,1,800.545176289,-0.0673585280525,1764.88189565
2007,2,4040742.8,3230962468.56,2007-02-01,1,799.596170427,-0.0684641273988,1762.78971732
2007,3,3709421.55,2814409042.39,2007-03-01,1,758.719116838,-0.116086218641,1672.67216498
2007,4,3600046.45,2720533529.39,2007-04-01,2,755.694007613,-0.119610494851,1666.00300918
2007,5,3945090.54,3029629007.27,2007-05-01,2,767.94917038,-0.105333133147,1693.02074102
2007,6,4166540.53,3287596965.52,2007-06-01,2,789.047158391,-0.080753809986,1739.53336539
2007,7,4694043.82,3707640499.91,2007-07-01,3,789.860649386,-0.079806086533,1741.32678764
2007,8,4895389.7,3856233429.03,2007-08-01,3,787.727569273,-0.0822911417614,1736.62419922
2007,9,4211406.19,3276987047.69,2007-09-01,3,778.121819612,-0.0934819162093,1715.44736352
2007,10,3903741.18,2926325950.38,2007-10-01,4,749.620893252,-0.12668572119,1652.61422126
2007,11,4147348.62,3233979091.21,2007-11-01,4,779.770255053,-0.0915614758621,1719.08150429
2007,12,4366908.19,3460657395.62,2007-12-01,4,792.473128597,-0.0767625275573,1747.0862593
2008,1,4113804.71,3354266643.8,2008-01-01,1,815.36846794,-0.0500892758547,1797.56132442
2008,2,4029747.24,3169452731.33,2008-02-01,1,786.514027448,-0.083704927601,1733.94882491
2008,3,3494708.14,2938602398.18,2008-03-01,1,840.872050101,-0.0203774006099,1853.78652165
2008,4,2759414.33,2642656698.69,2008-04-01,2,957.68753172,0.115713560838,2111.31793243
2008,5,3072520.98,2562297791.57,2008-05-01,2,833.939884626,-0.0284534283011,1838.50386965
2008,6,4081966.45,3100912258.78,2008-06-01,2,759.661378103,-0.114988476803,1674.74947417
2008,7,4637317.61,3576241271.46,2008-07-01,3,771.187477809,-0.10156047934,1700.15991358
2008,8,4503746.97,3518199669.36,2008-08-01,3,781.17169832,-0.089928783354,1722.17112612
2008,9,4020948.93,3082090968.73,2008-09-01,3,766.508359689,-0.107011689016,1689.84432977
2008,10,3756308.36,2774506696.01,2008-10-01,4,738.625914091,-0.139494959011,1628.3746902
2008,11,3884776.08,2916002986.73,2008-11-01,4,750.623183081,-0.125518045599,1654.82386942
2008,12,4275061.62,3228615974.18,2008-12-01,4,755.220921044,-0.120161644452,1664.96004253
2009,1,4394076.34,3334138681.45,2009-01-01,1,758.780326845,-0.116014908498,1672.80710856
2009,2,3653157.27,2696119048.91,2009-02-01,1,738.024358013,-0.140195776606,1627.04849968
2009,3,3810542.79,2673447103.71,2009-03-01,1,701.592201176,-0.182639527921,1546.73016671
2009,4,3330505.71,2260420996.68,2009-04-01,2,678.702033114,-0.209306755039,1496.2665022
