year,month,generation (MWh),final CO2 (kg),datetime,quarter,index (g/kWh),change since 2005,index (lb/MWh)
2001,1,10182660.0,6583691319.21,2001-01-01,1,646.559083698,0.0420989377382,1425.40415592
2001,2,8870735.0,5673051916.61,2001-02-01,1,639.524449396,0.0307607861001,1409.89560114
2001,3,9681003.0,6052183900.38,2001-03-01,1,625.160833065,0.00761006453738,1378.22957257
2001,4,8255739.0,5390338909.25,2001-04-01,2,652.920218196,0.0523515684259,1439.42791303
2001,5,9301148.0,5763525955.94,2001-05-01,2,619.657482705,-0.00126002283548,1366.09688637
2001,6,9812861.0,6584160378.36,2001-06-01,2,670.97255106,0.0814476207052,1479.22608607
2001,7,10491946.0,7284541464.08,2001-07-01,3,694.298413667,0.119043344372,1530.65028277
2001,8,10933560.0,7655413947.16,2001-08-01,3,700.175784206,0.128516263011,1543.60753386
2001,9,7752935.0,6177044687.55,2001-09-01,3,796.736292455,0.284148757568,1756.48483035
2001,10,8887867.0,5820638586.49,2001-10-01,4,654.897129591,0.0555378777934,1443.7862119
2001,11,8410701.0,5806605992.44,2001-11-01,4,690.383119367,0.112732824368,1522.01862496
2001,12,9264457.0,5854814327.66,2001-12-01,4,631.965189937,0.0185770639143,1393.23045773
2002,1,9241035.0,6079304555.49,2002-01-01,1,657.859704621,0.0603128417047,1450.31750481
2002,2,8194884.0,5293991217.54,2002-02-01,1,646.011733362,0.0412167396241,1424.19746737
2002,3,9496047.0,5509340780.53,2002-03-01,1,580.172021108,-0.0649011634884,1279.04723773
2002,4,9126717.0,5275094051.21,2002-04-01,2,577.983742809,-0.0684281458615,1274.2229594
2002,5,8437205.0,5596458044.83,2002-05-01,2,663.307107606,0.0690927552625,1462.32684943
2002,6,10105156.0,6649529511.14,2002-06-01,2,658.033335769,0.060592693677,1450.70029204
2002,7,11994319.0,7620772719.61,2002-07-01,3,635.36518577,0.0240570457679,1400.72608855
2002,8,11814101.0,7565533925.31,2002-08-01,3,640.381686707,0.032142448061,1411.78546651
2002,9,10236692.0,6427972294.83,2002-09-01,3,627.934521701,0.0120805886624,1384.34444654
2002,10,9666158.0,5928101011.72,2002-10-01,4,613.284100231,-0.0115323943381,1352.04612737
2002,11,9566691.0,5952737825.6,2002-11-01,4,622.235820683,0.00289564264891,1371.78109028
2002,12,10010083.0,6339638204.11,2002-12-01,4,633.325238573,0.0207691377329,1396.22882096
2003,1,10162380.0,6676624488.11,2003-01-01,1,656.994177359,0.0589178183222,1448.40936341
2003,2,8638738.0,5472272056.57,2003-02-01,1,633.457347193,0.0209820652987,1396.52006762
2003,3,9542765.0,6157053551.54,2003-03-01,1,645.20645238,0.0399188188664,1422.42214492
2003,4,8276171.0,5892487074.38,2003-04-01,2,711.982277116,0.147545511892,1569.63612813
2003,5,7450050.01,5535538415.01,2003-05-01,2,743.020302895,0.197571402038,1638.06255976
2003,6,8916070.0,6060929185.07,2003-06-01,2,679.775863702,0.0956364597211,1498.63386912
2003,7,10775589.0,7198850020.3,2003-07-01,3,668.070211318,0.0767697417019,1472.82758787
2003,8,10153620.0,6883684827.52,2003-08-01,3,677.953757135,0.0926996587924,1494.61685298
2003,9,9445538.0,6121671724.24,2003-09-01,3,648.101963513,0.0445856917822,1428.80558876
2003,10,9236281.0,5801431823.21,2003-10-01,4,628.113395771,0.0123688909737,1384.73879232
2003,11,8800565.0,5837664616.42,2003-11-01,4,663.328390441,0.0691270581119,1462.37376957
2003,12,9949296.0,6053075502.45,2003-12-01,4,608.39234278,-0.0194167399021,1341.26175889
2004,1,10340443.71,6293303654.77,2004-01-01,1,608.610600402,-0.0190649607025,1341.74292965
2004,2,9557815.89,5791849364.16,2004-02-01,1,605.980428041,-0.0233041708434,1335.94445166
2004,3,10334526.52,6186550420.81,2004-03-01,1,598.629304288,-0.0351524279432,1319.73816423
2004,4,9117803.17,5152490070.67,2004-04-01,2,565.102138597,-0.0891902175792,1245.82417475
2004,5,9808197.71,5732781111.42,2004-05-01,2,584.488739004,-0.0579436444501,1288.56387401
2004,6,9951795.52,6054041289.63,2004-06-01,2,608.336583832,-0.0195066100187,1341.13883272
2004,7,10468918.09,6637450517.53,2004-07-01,3,634.014944092,0.0218807784267,1397.74934574
2004,8,10217181.69,6678176307.49,2004-08-01,3,653.622154339,0.053482921967,1440.97540146
2004,9,9867170.59,6495646601.15,2004-09-01,3,658.30893891,0.0610369001667,1451.30788672
2004,10,8973707.82,6234320718.65,2004-10-01,4,694.731859306,0.119741955297,1531.60585702
2004,11,9045251.96,6492041106.27,2004-11-01,4,717.729161662,0.156808118252,1582.3057098
2004,12,10804456.72,6602504064.86,2004-12-01,4,611.090796693,-0.0150674761963,1347.21077039
2005,1,10024640.98,6306540316.18,2005-01-01,1,629.103858059,0.0139652798019,1386.92236548
2005,2,9246494.53,5855240659.18,2005-02-01,1,633.238968582,0.0206300910958,1396.03863014
2005,3,9581438.95,5768375326.47,2005-03-01,1,602.036432792,-0.0296609499261,1327.24951973
2005,4,8882253.28,5447479194.92,2005-04-01,2,613.299240991,-0.0115079910452,1352.07950669
2005,5,9118137.35,5374042503.67,2005-05-01,2,589.379420093,-0.0500610337258,1299.34586954
2005,6,11247044.84,7110685405.4,2005-06-01,2,632.226998874,0.0189990374397,1393.80764172
2005,7,11767825.75,7572347567.78,2005-07-01,3,643.478899896,0.0371344165531,1418.61358271
2005,8,12066789.54,7569398846.76,2005-08-01,3,627.291859336,0.011044770304,1382.92763309
2005,9,9904202.32,6185217888.93,2005-09-01,3,624.504396123,0.00655204485003,1376.78239169
2005,10,9830370.72,5982701382.9,2005-10-01,4,608.593668876,-0.0190922502816,1341.70560241
