year,month,generation (MWh),final CO2 (kg),datetime,quarter,index (g/kWh),change since 2005,index (lb/MWh)
2001,1,4342291.299,3197394142.18,2001-01-01,1,736.338011897,0.00254092911671,1623.33078103
2001,2,3848600.985,3040500248.62,2001-02-01,1,790.027404885,0.075640257225,1741.69441681
2001,3,3670295.766,2788957098.91,2001-03-01,1,759.872576142,0.0345837729244,1675.21508136
2001,4,3675448.605,2466835529.77,2001-04-01,2,671.165834401,-0.0861924709301,1479.65219852
2001,5,3422454.235,2362199497.93,2001-05-01,2,690.206306859,-0.0602684351744,1521.6288241
2001,6,4123248.123,2976222487.27,2001-06-01,2,721.815034769,-0.017232434132,1591.31342565
2001,7,4524802.798,3294919335.89,2001-07-01,3,728.190704212,-0.00855181536288,1605.36922651
2001,8,4334573.715,3501193617.12,2001-08-01,3,807.736549733,0.0997516601986,1780.73599754
2001,9,3977453.007,2986012073.5,2001-09-01,3,750.734721001,0.0221423755827,1655.06976592
2001,10,4273004.972,2995212876.16,2001-10-01,4,700.961710971,-0.0456247081665,1545.34018801
2001,11,4005941.532,3203098227.88,2001-11-01,4,799.586864235,0.0886556782727,1762.76920089
2001,12,4425482.964,3367889248.58,2001-12-01,4,761.021853656,0.0361485403646,1677.74877857
2002,1,4594787.508,3411930985.14,2002-01-01,1,742.565565698,0.0110198850762,1637.06004614
2002,2,4057226.051,3240073812.31,2002-02-01,1,798.593366893,0.0873030090742,1760.57893665
2002,3,4356445.143,3133015162.47,2002-03-01,1,719.167821384,-0.0208366752881,1585.47737902
2002,4,4028198.514,2735911451.58,2002-04-01,2,679.189826933,-0.075267622833,1497.34189246
2002,5,3899339.922,2621956476.65,2002-05-01,2,672.410338441,-0.0844980504103,1482.39583213
2002,6,4331027.282,3192036684.78,2002-06-01,2,737.016064999,0.00346411381647,1624.8256169
2002,7,4955046.022,3839733326.05,2002-07-01,3,774.913756402,0.0550626815081,1708.37486736
2002,8,4688694.908,3535995838.76,2002-08-01,3,754.153534862,0.0267971683128,1662.60688296
2002,9,4366291.392,3184644823.28,2002-09-01,3,729.370657467,-0.00694528220304,1607.97055145
2002,10,4512688.111,3259843978.15,2002-10-01,4,722.372984342,-0.0164727731154,1592.54348128
2002,11,4344260.158,3348326520.9,2002-11-01,4,770.747238683,0.0493898729917,1699.1893624
2002,12,4774918.99,3633536863.6,2002-12-01,4,760.96303858,0.0360684623027,1677.61911485
2003,1,4780601.183,3564982440.66,2003-01-01,1,745.718436697,0.0153125905588,1644.01086554
2003,2,4475476.188,3369022250.78,2003-02-01,1,752.774031021,0.0249189424989,1659.56562879
2003,3,4326077.252,3089856341.03,2003-03-01,1,714.239751405,-0.0275463545049,1574.61295595
2003,4,4139785.192,3091021954.96,2003-04-01,2,746.662401937,0.0165978206742,1646.09193131
2003,5,4200261.864,3386272675.33,2003-05-01,2,806.20513315,0.097666601734,1777.35983654
2003,6,4384262.23,3315246065.5,2003-06-01,2,756.169656737,0.0295421640416,1667.05162524
2003,7,5050117.423,3742282061.93,2003-07-01,3,741.028722399,0.00892743801446,1633.6719214
2003,8,5119593.904,3814317622.94,2003-08-01,3,745.043004281,0.0143929739819,1642.52180724
2003,9,4439288.004,3453279836.23,2003-09-01,3,777.890470976,0.0591155460172,1714.93733231
2003,10,4602764.274,3458950482.43,2003-10-01,4,751.494162317,0.0231763721855,1656.74403024
2003,11,4721679.254,3455169401.62,2003-11-01,4,731.767071787,-0.00368250967208,1613.25368646
2003,12,4938692.234,3692260932.11,2003-12-01,4,747.619158507,0.0179004664777,1648.20119684
2004,1,5068995.133,3913708988.44,2004-01-01,1,772.087738448,0.0512149938703,1702.14462818
2004,2,4332375.583,3265488888.16,2004-02-01,1,753.740950109,0.0262354248002,1661.69729861
2004,3,4222497.423,2999180649.12,2004-03-01,1,710.285963179,-0.0329295269854,1565.89643442
2004,4,3884012.293,2722492742.09,2004-04-01,2,700.948538963,-0.0456426421543,1545.311149
2004,5,4059189.873,2788990529.55,2004-05-01,2,687.08057933,-0.0645241842055,1514.73784519
2004,6,4268863.723,3163860659.52,2004-06-01,2,741.14819887,0.00909010794318,1633.93531923
2004,7,4666899.703,3463909465.97,2004-07-01,3,742.229249913,0.0105619834944,1636.31860436
2004,8,4519993.413,3340142871.06,2004-08-01,3,738.970738642,0.0061254463828,1629.13489041
2004,9,4336389.433,3341378760.41,2004-09-01,3,770.543977205,0.0491131278716,1698.74125215
2004,10,4318239.763,3399175886.45,2004-10-01,4,787.167010868,0.0717457657965,1735.38839216
2004,11,4058678.753,3113525171.1,2004-11-01,4,767.127767578,0.0444618808655,1691.2098764
2004,12,4703754.533,3351779140.42,2004-12-01,4,712.57526661,-0.0298125883627,1570.94343277
2005,1,5015065.155,3698480704.08,2005-01-01,1,737.474108465,0.00408775040002,1625.83541952
2005,2,4119706.913,3127715155.16,2005-02-01,1,759.208172136,0.033679171778,1673.75033629
2005,3,4509592.251,3628859964.37,2005-03-01,1,804.698021991,0.0956146356574,1774.03725928
2005,4,3945124.177,2978698743.72,2005-04-01,2,755.032949554,0.0279945113919,1664.54564059
2005,5,4156986.712,3115067210.86,2005-05-01,2,749.357028703,0.0202666162245,1652.03250548
2005,6,4740620.544,3443326491.03,2005-06-01,2,726.345097456,-0.0110646508836,1601.30040185
2005,7,4919771.298,3730699553.37,2005-07-01,3,758.307516223,0.0324529082936,1671.76475026
2005,8,4791611.953,3636519721.09,2005-08-01,3,758.934520734,0.033306589178,1673.14704441
2005,9,4073862.916,2938611742.23,2005-09-01,3,721.332995935,-0.0178887409544,1590.25072284
2005,10,3856022.624,2486573579.07,2005-10-01,4,644.854509823,-0.122015937005,1421.64625236
2005,11,4227260.448,2735419822.25,2005-11-01,4,647.090439754,-0.118971667615,1426.57558348
2005,12,4719083.908,3461902763.13,2005-12-01,4,733.596356967,-0.00119189634681,1617.28652857
2006,1,4614595.2,3244330341.09,2006-01-01,1,703.058491694,-0.0427698935838,1549.96275079
2006,2,4313932.854,3252524277.4,2006-02-01,1,753.958021018,0.026530971773,1662.17585314
2006,3,4581709.732,3178711803.96,2006-03-01,1,693.782886715,-0.0553988404582,1529.51375205
2006,4,4148215.15,2897471813.13,2006-04-01,2,698.486387123,-0.0489949178132,1539.88308905
2006,5,3973200.826,2964117716.16,2006-05-01,2,746.02766031,0.0157336055318,1644.69257992
2006,6,4322704.032,3126481551.31,2006-06-01,2,723.269862605,-0.0152516529876,1594.5207391
2006,7,5220105.765,3761999947.49,2006-07-01,3,720.67504316,-0.0187845586034,1588.80020015
2006,8,4634014.711,3260245367.23,2006-08-01,3,703.546615744,-0.0421053016028,1551.03886907
2006,9,3983381.111,2670513736.02,2006-09-01,3,670.413817207,-0.0872163594216,1477.99430142
2006,10,4466704.787,2944597289.0,2006-10-01,4,659.232572872,-0.102439877565,1453.34413015
2006,11,4436863.105,3219728929.72,2006-11-01,4,725.67686979,-0.0119744580295,1599.82722714
2006,12,4619717.836,3318013620.32,2006-12-01,4,718.228631729,-0.0221154033373,1583.40684151
2007,1,4836560.71,3588771342.56,2007-01-01,1,742.008951761,0.0102620425568,1635.83293505
2007,2,4665495.35,3288678278.43,2007-02-01,1,704.893699751,-0.0402712161271,1554.00865047
2007,3,4411586.18,3268918143.5,2007-03-01,1,740.984763785,0.00886758736304,1633.57501024
2007,4,3782637.05,2963884459.39,2007-04-01,2,783.549788205,0.0668208349762,1727.41386308
2007,5,4163382.7,2856432180.89,2007-05-01,2,686.084462254,-0.0658804202316,1512.54180549
