year,month,generation (MWh),final CO2 (kg),datetime,quarter,index (g/kWh),change since 2005,index (lb/MWh)
2001,1,637457151.79,6.07285530287e+11,2001-01-01,1,952.668785003,0.0246836277468,2100.25360342
2001,2,547158537.25,5.18616105589e+11,2001-02-01,1,947.835170763,0.0194846273677,2089.59741746
2001,3,576515443.45,5.45554149565e+11,2001-03-01,1,946.295811784,0.0178289040265,2086.20374666
2001,4,515683298.26,4.88851957389e+11,2001-04-01,2,947.969342885,0.0196289419279,2089.89321333
2001,5,541967252.0,5.13966580677e+11,2001-05-01,2,948.335123165,0.0200223725408,2090.69961253
2001,6,595758552.01,5.64641320915e+11,2001-06-01,2,947.768721086,0.0194131545774,2089.45092251
2001,7,680780141.0,6.42624822795e+11,2001-07-01,3,943.953538143,0.0153095715062,2081.03997019
2001,8,711386814.0,6.71139418835e+11,2001-08-01,3,943.424035457,0.0147400422615,2079.87262857
2001,9,568753171.0,5.4391827904e+11,2001-09-01,3,956.334499347,0.0286264434778,2108.33503726
2001,10,557192762.01,5.28398536555e+11,2001-10-01,4,948.32268576,0.0200089949579,2090.67219303
2001,11,544044253.0,5.13841170361e+11,2001-11-01,4,944.484143574,0.0158802868547,2082.20974292
2001,12,589379207.0,5.5901633461e+11,2001-12-01,4,948.483298988,0.0201817493797,2091.02628095
2002,1,610766944.01,5.66554891592e+11,2002-01-01,1,927.612237611,-0.00226701269037,2045.01393904
2002,2,535093976.0,4.91207864736e+11,2002-02-01,1,917.984292046,-0.0126227610316,2023.78817024
2002,3,584041990.0,5.356364951e+11,2002-03-01,1,917.119837736,-0.0135525618102,2021.88239427
2002,4,538444507.01,4.89023296895e+11,2002-04-01,2,908.214849494,-0.0231307025034,2002.25045719
2002,5,552394287.0,5.10674278699e+11,2002-05-01,2,924.474221978,-0.00564223952036,2038.09586977
2002,6,642708407.01,5.9198518611e+11,2002-06-01,2,921.078952218,-0.00929416702121,2030.61065806
2002,7,750604261.0,6.8330430288e+11,2002-07-01,3,910.338960733,-0.0208460238785,2006.93327283
2002,8,717417622.0,6.5996052828e+11,2002-08-01,3,919.911231676,-0.0105501587573,2028.03630135
2002,9,634314956.0,5.87302397695e+11,2002-09-01,3,925.884518629,-0.00412533468302,2041.20500977
2002,10,595891030.0,5.53819021772e+11,2002-10-01,4,929.396473332,-0.000347901704852,2048.94746511
2002,11,587864877.01,5.48034644019e+11,2002-11-01,4,932.245938568,0.00271696241246,2055.22939617
2002,12,634199089.01,5.91565934635e+11,2002-12-01,4,932.776386605,0.00328750847017,2056.39882191
2003,1,681305796.02,6.27387421781e+11,2003-01-01,1,920.860244323,-0.009529407645,2030.12849463
2003,2,600640919.0,5.53649397937e+11,2003-02-01,1,921.764369399,-0.00855693727766,2032.12172878
2003,3,598704163.0,5.57456362499e+11,2003-03-01,1,931.104871069,0.00148963849677,2052.71379876
2003,4,535176354.0,4.97635007004e+11,2003-04-01,2,929.852380966,0.000142469235914,2049.95255908
2003,5,548445726.01,5.15240657184e+11,2003-05-01,2,939.456053258,0.0104721094205,2071.12481501
2003,6,593110895.0,5.60975260618e+11,2003-06-01,2,945.818506028,0.0173155174216,2085.15147839
2003,7,695289607.0,6.49176468936e+11,2003-07-01,3,933.677797568,0.00425705955668,2058.38607252
2003,8,730701572.0,6.78577864409e+11,2003-08-01,3,928.666216705,-0.00113336043076,2047.33754135
2003,9,600638560.0,5.67715061699e+11,2003-09-01,3,945.185839715,0.0166350261285,2083.75670223
2003,10,583658177.0,5.44892224732e+11,2003-10-01,4,933.581068859,0.00415301885903,2058.17282441
2003,11,595154224.0,5.66285191284e+11,2003-11-01,4,951.493190248,0.0234191665646,2097.66188722
2003,12,654299322.0,6.14531939896e+11,2003-12-01,4,939.221422418,0.0102197421924,2070.60754786
2004,1,684888335.19,6.37005774731e+11,2004-01-01,1,930.087055073,0.000394883001198,2050.46992161
2004,2,610709522.26,5.67982470163e+11,2004-02-01,1,930.037029816,0.000341076198438,2050.35963593
2004,3,591079372.76,5.46731532429e+11,2004-03-01,1,924.971429601,-0.00510744661169,2039.1920137
2004,4,540732487.13,5.02046455041e+11,2004-04-01,2,928.456245907,-0.0013592034959,2046.87463973
2004,5,593910356.34,5.47318051425e+11,2004-05-01,2,921.549936925,-0.00878757928924,2031.64899095
2004,6,623390717.25,5.78111783829e+11,2004-06-01,2,927.366686465,-0.00253112572038,2044.47259698
2004,7,680161565.15,6.34501233607e+11,2004-07-01,3,932.868403799,0.00338648149551,2056.60168302
2004,8,657944835.54,6.11163477931e+11,2004-08-01,3,928.897750872,-0.000884323961149,2047.84798157
2004,9,612804892.53,5.72427469534e+11,2004-09-01,3,934.110475474,0.00472244477055,2059.33995423
2004,10,596371568.59,5.56608521278e+11,2004-10-01,4,933.325045313,0.00387764179259,2057.6083949
2004,11,594166256.58,5.57643033226e+11,2004-11-01,4,938.53029695,0.00947637265761,2069.08389266
2004,12,661476519.32,6.16842397139e+11,2004-12-01,4,932.523497241,0.00301550250655,2055.84130202
2005,1,677808779.75,6.31120587778e+11,2005-01-01,1,931.118932999,0.00150476340629,2052.74479969
2005,2,580896216.97,5.4240599915e+11,2005-02-01,1,933.739940637,0.00432390019032,2058.52307313
