year,month,generation (MWh),final CO2 (kg),datetime,quarter,index (g/kWh),change since 2005,index (lb/MWh)
2001,1,2747020.0,3032618977.18,2001-01-01,1,1103.96683576,1.79790938958,2433.80528612
2001,2,2508902.0,2774984349.67,2001-02-01,1,1106.05529816,1.80320241865,2438.40951033
2001,3,2685107.0,3038622181.03,2001-03-01,1,1131.657763,1.86808967291,2494.85270431
2001,4,2308951.0,2618543466.74,2001-04-01,2,1134.08360192,1.87423775389,2500.2007088
2001,5,2322538.0,2605508838.77,2001-05-01,2,1121.83690375,1.84319954632,2473.20163801
2001,6,2237127.0,2497381926.54,2001-06-01,2,1116.33444437,1.82925403431,2461.07091607
2001,7,2682198.0,2999308511.9,2001-07-01,3,1118.22785339,1.83405271729,2465.24512558
2001,8,2814000.0,3100357019.95,2001-08-01,3,1101.76155649,1.79232029814,2428.94352743
2001,9,2307655.0,2585259159.55,2001-09-01,3,1120.29708061,1.83929699645,2469.80694391
2001,10,2329554.0,2599930470.62,2001-10-01,4,1116.06362017,1.82856765356,2460.47385702
2001,11,2475463.0,2742626160.73,2001-11-01,4,1107.92452189,1.80793980609,2442.53040095
2001,12,2848823.0,3116284864.46,2001-12-01,4,1093.88504111,1.77235794454,2411.57896163
2002,1,2807823.656,3063537784.5,2002-01-01,1,1091.07200445,1.76522854408,2405.37734102
2002,2,2419160.0,2621617528.45,2002-02-01,1,1083.68918486,1.74651742017,2389.10117695
2002,3,2761558.682,2991823322.89,2002-03-01,1,1083.3821285,1.74573921213,2388.4242405
2002,4,2249272.0,2434793348.33,2002-04-01,2,1082.48061965,1.74345441516,2386.43677409
2002,5,2317316.0,2497492457.05,2002-05-01,2,1077.75221724,1.73147068425,2376.01253813
2002,6,2469823.015,2657501253.55,2002-06-01,2,1075.9885374,1.72700078875,2372.12432955
2002,7,2779579.695,3003088911.27,2002-07-01,3,1080.41115593,1.73820953661,2381.87443436
2002,8,2698483.0,2904548382.6,2002-08-01,3,1076.363417,1.72795088899,2372.95078912
2002,9,2497947.0,2717133243.23,2002-09-01,3,1087.74655476,1.75680047667,2398.04605463
2002,10,2722642.0,2964376646.6,2002-10-01,4,1088.78679114,1.75943686667,2400.33935974
2002,11,2743401.0,2950459250.17,2002-11-01,4,1075.47502176,1.72569932734,2370.99223297
2002,12,2839299.0,3066134296.85,2002-12-01,4,1079.89130305,1.73689201401,2380.7283667
2003,1,4798650.0,3145525296.97,2003-01-01,1,655.502130175,0.661314004639,1445.11999618
2003,2,4766452.0,2759227485.45,2003-02-01,1,578.884983096,0.467134407687,1276.20983373
2003,3,5962116.0,3111921687.02,2003-03-01,1,521.949201763,0.322835546494,1150.68921021
2003,4,5515646.0,2403006756.91,2003-04-01,2,435.670954391,0.104170718334,960.480186051
2003,5,5224571.0,2392373287.92,2003-05-01,2,457.908082389,0.160528814615,1009.50415843
2003,6,5546003.0,2592568454.15,2003-06-01,2,467.466111027,0.184752819546,1030.57578837
2003,7,5718453.0,3110502408.55,2003-07-01,3,543.94123875,0.378572480602,1199.17285495
2003,8,5359658.0,3179134951.49,2003-08-01,3,593.160039593,0.50331331571,1307.68062329
2003,9,5047744.0,2585414668.87,2003-09-01,3,512.192113719,0.29810704255,1129.17873391
2003,10,5158689.0,2764653378.9,2003-10-01,4,535.921700048,0.358247646643,1181.49297993
2003,11,5542573.0,2959631136.43,2003-11-01,4,533.981444436,0.353330234978,1177.2154924
2003,12,6184503.0,3163211248.87,2003-12-01,4,511.473799733,0.296286537276,1127.59513889
2004,1,5722370.633,2994492824.58,2004-01-01,1,523.295853525,0.326248520044,1153.65803868
2004,2,5619358.203,2755119853.86,2004-02-01,1,490.290840044,0.242600140282,1080.89518596
2004,3,6349230.693,2721670109.93,2004-03-01,1,428.661398763,0.0864055999686,945.026919714
2004,4,5997128.833,2332028621.35,2004-04-01,2,388.857516036,-0.0144739315691,857.275279853
2004,5,7384691.793,2522142091.03,2004-05-01,2,341.53654096,-0.13440488982,752.9514582
2004,6,6729530.293,2732526076.91,2004-06-01,2,406.050044793,0.0290990600125,895.177928752
2004,7,6178571.593,2914074647.99,2004-07-01,3,471.642127008,0.195336574369,1039.7822332
2004,8,5751825.193,2852380617.07,2004-08-01,3,495.908780493,0.256838329169,1093.28049747
2004,9,5511285.053,2439544454.49,2004-09-01,3,442.645305229,0.121846613174,975.855839909
2004,10,5358449.923,2462707323.69,2004-10-01,4,459.593232946,0.164799684368,1013.21924135
2004,11,5341966.933,2734800897.41,2004-11-01,4,511.946429416,0.297484376726,1128.63709829
2004,12,6208396.193,2854132599.22,2004-12-01,4,459.721401549,0.165124516713,1013.50180185
2005,1,6172239.722,2963996756.04,2005-01-01,1,480.214134502,0.217061593164,1058.68008092
2005,2,5495352.279,2749451423.21,2005-02-01,1,500.323051848,0.268025921832,1103.0122001
2005,3,7247281.725,2686892941.88,2005-03-01,1,370.744928076,-0.0603787343948,817.344268437
