year,month,generation (MWh),final CO2 (kg),datetime,quarter,index (g/kWh),change since 2005,index (lb/MWh)
2001,1,5305915.0,1604690581.06,2001-01-01,1,302.434279679,-0.0764291321071,666.746612981
2001,2,4705993.0,1331778284.32,2001-02-01,1,282.99623147,-0.135788855065,623.893491899
2001,3,4946760.0,1252092377.17,2001-03-01,1,253.113629359,-0.227044055354,558.014307285
2001,4,4012599.0,1077843247.52,2001-04-01,2,268.614742594,-0.179706906211,592.188061522
2001,5,4159906.0,1300000667.31,2001-05-01,2,312.507221871,-0.0456684790073,688.953421338
2001,6,5540753.0,1607352420.25,2001-06-01,2,290.096385862,-0.114106472497,639.54649227
2001,7,5667685.0,1626451985.04,2001-07-01,3,286.969368453,-0.123655727909,632.652669692
2001,8,6427343.0,2121960349.69,2001-08-01,3,330.145808259,0.00819606490609,727.839448888
2001,9,4966426.0,1418389952.62,2001-09-01,3,285.595708588,-0.127850597073,629.624299152
2001,10,4511012.0,1473384444.33,2001-10-01,4,326.619491222,-0.00257256783791,720.065330347
2001,11,4540974.0,1176248226.1,2001-11-01,4,259.029940735,-0.208976881098,571.057407344
2001,12,4635894.0,1054992449.17,2001-12-01,4,227.570442544,-0.305047591331,501.701797632
2002,1,4979722.0,1227463427.58,2002-01-01,1,246.492359932,-0.247264023666,543.417056706
2002,2,4581142.0,1177773045.9,2002-02-01,1,257.091582383,-0.21489622102,566.784102521
2002,3,4884271.0,1428139173.98,2002-03-01,1,292.395564043,-0.107085264484,644.615260488
2002,4,4172745.0,1401416692.01,2002-04-01,2,335.850068003,0.0256156779472,740.41505992
2002,5,4129213.0,1161978220.51,2002-05-01,2,281.404282246,-0.140650334154,620.383880639
2002,6,5532669.0,1861731860.54,2002-06-01,2,336.497965184,0.0275942200701,741.843414045
2002,7,6493958.0,2431552493.43,2002-07-01,3,374.433048909,0.143440010557,825.475099626
2002,8,6636794.0,2685207135.5,2002-08-01,3,404.594015649,0.235545278047,891.9679669
2002,9,5710360.0,1921447597.48,2002-09-01,3,336.484494407,0.0275530831411,741.813716369
2002,10,4212390.0,1674456918.14,2002-10-01,4,397.507571269,0.213904762979,876.345191619
2002,11,4853115.0,1583001363.39,2002-11-01,4,326.18253707,-0.00390693418444,719.102021225
2002,12,5383007.0,1697918185.6,2002-12-01,4,315.421879555,-0.036767725662,695.379075667
2003,1,5699405.0,1972592213.98,2003-01-01,1,346.104937969,0.0569319003158,763.022946246
2003,2,4818783.0,1611929429.46,2003-02-01,1,334.509653052,0.0215223317796,737.459981119
2003,3,4956360.0,1713250705.58,2003-03-01,1,345.667123772,0.0555949075708,762.057741068
2003,4,4259214.0,1193588163.63,2003-04-01,2,280.236720585,-0.144215822623,617.809874201
2003,5,4043445.0,1045437489.83,2003-05-01,2,258.551183417,-0.210438905547,570.001938962
2003,6,4930259.0,1488800728.5,2003-06-01,2,301.972113127,-0.0778404918371,665.727720601
2003,7,5839951.0,2166069236.25,2003-07-01,3,370.90537853,0.132667244991,817.697997507
2003,8,5815633.0,2228679079.22,2003-08-01,3,383.22209796,0.170279923241,844.851437162
2003,9,4356739.0,1650845982.61,2003-09-01,3,378.917805867,0.157135517824,835.362194813
2003,10,4145867.0,1495250808.99,2003-10-01,4,360.660582934,0.101381787634,795.112321136
2003,11,3946299.0,1397349135.14,2003-11-01,4,354.091044582,0.0813197951782,780.629116885
2003,12,4587397.0,1329084072.84,2003-12-01,4,289.725103984,-0.11524028949,638.727964244
2004,1,4941002.81,1553407923.13,2004-01-01,1,314.391224386,-0.0399151304139,693.106893282
2004,2,4630598.42,1233908417.01,2004-02-01,1,266.468457226,-0.186261211634,587.456360801
2004,3,4491818.79,1286832003.54,2004-03-01,1,286.483507841,-0.125139444332,631.581541385
2004,4,3467701.49,1270295803.4,2004-04-01,2,366.322132127,0.118670971609,807.593772486
2004,5,4271837.25,1572898918.48,2004-05-01,2,368.201976439,0.124411621925,811.738077258
2004,6,5227457.43,1770912657.86,2004-06-01,2,338.771320775,0.0345365713087,746.855253781
2004,7,5807469.63,2074070022.73,2004-07-01,3,357.138333021,0.0906255750374,787.347168978
2004,8,5949841.46,1977693455.94,2004-08-01,3,332.394311552,0.0150625224385,732.796499248
2004,9,4925613.57,1681349965.33,2004-09-01,3,341.348329794,0.0424062164387,752.536527864
2004,10,4360751.44,1317067509.29,2004-10-01,4,302.027649916,-0.07767089413,665.850157006
2004,11,3931991.01,1421730145.03,2004-11-01,4,361.580212521,0.104190143542,797.139736524
2004,12,3876258.31,1702801546.16,2004-12-01,4,439.290008554,0.341499564424,968.458752857
2005,1,4549166.99,1711377439.81,2005-01-01,1,376.195783442,0.148823032165,829.361224177
2005,2,4548622.59,1312556054.93,2005-02-01,1,288.561213633,-0.118794566549,636.162051575
2005,3,4812070.92,1280830936.02,2005-03-01,1,266.17041962,-0.187171355982,586.799307095
2005,4,3628585.7,1196106400.37,2005-04-01,2,329.634325675,0.00663410435344,726.711834382
2005,5,4135064.77,1010502141.52,2005-05-01,2,244.373957296,-0.253733181073,538.746826256
2005,6,5420703.74,2103832199.58,2005-06-01,2,388.110529646,0.185208168477,855.628473657
2005,7,6503417.51,2284770517.09,2005-07-01,3,351.318443508,0.0728528529283,774.516640557
2005,8,6983008.01,2517617362.4,2005-08-01,3,360.534795148,0.100997658114,794.835009383
2005,9,5295248.83,1761434523.34,2005-09-01,3,332.644334551,0.0158260402452,733.347699951
2005,10,4412876.22,1440065883.7,2005-10-01,4,326.33271633,-0.00344831821914,719.43310642
2005,11,4660035.89,1383874736.05,2005-11-01,4,296.966540326,-0.0931264614743,654.692434803
2005,12,5600781.81,1824713848.91,2005-12-01,4,325.796274665,-0.00508649856825,718.250467126
2006,1,5052412.03,1528602105.21,2006-01-01,1,302.548979801,-0.076078861987,666.99948087
2006,2,4545411.35,1363202896.7,2006-02-01,1,299.907487295,-0.0841454261639,661.176046491
2006,3,4867860.23,1352559730.82,2006-03-01,1,277.855087638,-0.151488830198,612.559326208
