year,month,generation (MWh),final CO2 (kg),datetime,quarter,index (g/kWh),change since 2005,index (lb/MWh)
2001,1,2919113.0,2928206675.82,2001-01-01,1,1003.11521884,0.146153921308,2211.46781146
2001,2,2713390.0,2621960009.64,2001-02-01,1,966.304147079,0.104093793561,2130.31412265
2001,3,2617299.0,2458511698.99,2001-03-01,1,939.33161591,0.0732751280815,2070.85048044
2001,4,2319587.0,2372144057.96,2001-04-01,2,1022.6579378,0.168483324293,2254.55168967
2001,5,3129075.0,2986899705.98,2001-05-01,2,954.563155559,0.0906786013495,2104.42993274
2001,6,3052780.0,2923957164.72,2001-06-01,2,957.801467751,0.0943786790154,2111.5691158
2001,7,3319695.0,3180504422.93,2001-07-01,3,958.071275504,0.0946869598673,2112.16393398
2001,8,2921975.0,2767866375.48,2001-08-01,3,947.258746389,0.0823326236837,2088.32663229
2001,9,2601299.0,2582826462.23,2001-09-01,3,992.898725686,0.134480612526,2188.94453065
2001,10,2725054.0,2708449521.12,2001-10-01,4,993.906734003,0.135632357274,2191.16678578
2001,11,2474622.0,2447748995.87,2001-11-01,4,989.140562023,0.130186555434,2180.65928304
2001,12,2817754.0,2815800586.73,2001-12-01,4,999.306748114,0.14180238364,2203.07165689
2002,1,2359283.0,2368447874.42,2002-01-01,1,1003.88460156,0.14703301376,2213.1639926
2002,2,2167008.0,2121047055.18,2002-02-01,1,978.790597532,0.118360743041,2157.84175132
2002,3,2547569.0,2511739017.7,2002-03-01,1,985.935618504,0.12652460463,2173.59366455
2002,4,2531493.0,2542993469.79,2002-04-01,2,1004.54295935,0.147785249741,2214.61540818
2002,5,2643495.0,2666007689.85,2002-05-01,2,1008.51625967,0.152325120793,2223.37494607
2002,6,2940191.0,2793568981.72,2002-06-01,2,950.131804946,0.0856153645591,2094.66057718
2002,7,2961512.0,2796569610.47,2002-07-01,3,944.304669531,0.0789573117439,2081.81407445
2002,8,2206799.0,2767705210.78,2002-08-01,3,1254.17186195,0.433009858257,2764.94728686
2002,9,2753906.0,2565994560.56,2002-09-01,3,931.7654853,0.0646301089396,2054.17018889
