year,month,generation (MWh),final CO2 (kg),datetime,quarter,index (g/kWh),change since 2005,index (lb/MWh)
2001,1,4490790.0,3887047936.26,2001-01-01,1,865.559942963,0.183636538456,1908.21345026
2001,2,4032517.0,3294905533.01,2001-02-01,1,817.084102313,0.117346760732,1801.34361196
2001,3,3807719.0,2862665865.82,2001-03-01,1,751.805967253,0.0280801692646,1657.43143541
2001,4,3611899.0,2796414322.9,2001-04-01,2,774.222735159,0.0587346672955,1706.85144193
2001,5,4345641.0,3605072058.59,2001-05-01,2,829.583497253,0.134439442388,1828.89977804
2001,6,5037572.0,3996284180.51,2001-06-01,2,793.295694931,0.0848165721553,1748.89968905
2001,7,6374598.0,4816339379.09,2001-07-01,3,755.55186054,0.0332026061323,1665.68963175
2001,8,6187885.0,4844118716.16,2001-08-01,3,782.839163326,0.070517466733,1725.84721947
2001,9,4661520.0,3853971501.22,2001-09-01,3,826.762837277,0.130582244239,1822.68135106
2001,10,4453555.0,3582286846.78,2001-10-01,4,804.365691404,0.0999545789594,1773.30460327
2001,11,4051165.0,3513879820.47,2001-11-01,4,867.375142821,0.186118789273,1912.21523986
2001,12,4194592.0,3612392805.78,2001-12-01,4,861.202425833,0.177677717771,1898.60686799
2002,1,4671927.0,4043355818.98,2002-01-01,1,865.457833349,0.183496905526,1907.9883394
2002,2,4145021.0,3392458158.83,2002-02-01,1,818.441730171,0.119203290659,1804.33663833
2002,3,4565665.0,3721063758.63,2002-03-01,1,815.010246839,0.114510803344,1796.77159018
2002,4,4523336.0,3430820034.23,2002-04-01,2,758.471189013,0.0371947315499,1672.1255833
2002,5,4768241.0,3796552850.33,2002-05-01,2,796.21664474,0.088810914718,1755.33921499
2002,6,5533766.0,4296548226.83,2002-06-01,2,776.423908569,0.0617447295069,1711.70414883
2002,7,6474516.0,5052203458.95,2002-07-01,3,780.321410735,0.0670744885951,1720.29658211
2002,8,6746706.0,5020996480.35,2002-08-01,3,744.214507102,0.017698993832,1640.69530236
2002,9,5354981.0,4199749177.1,2002-09-01,3,784.269669136,0.072473655856,1729.00091258
2002,10,4281935.0,3542139042.85,2002-10-01,4,827.22858774,0.13121914902,1823.70814453
2002,11,3861096.0,3429566739.64,2002-11-01,4,888.236588689,0.214646414397,1958.20638342
2002,12,4256230.0,3833624589.39,2002-12-01,4,900.708981748,0.231702171502,1985.70302116
2003,1,4776296.0,4051067931.37,2003-01-01,1,848.160987378,0.159843802055,1869.85571277
2003,2,4254823.0,3574130596.3,2003-02-01,1,840.018632102,0.148709288158,1851.90507633
2003,3,4254872.0,3597170195.27,2003-03-01,1,845.423833025,0.156100796236,1863.82138229
2003,4,4493053.0,3640247527.14,2003-04-01,2,810.194655426,0.107925574906,1786.15513735
