year,month,generation (MWh),final CO2 (kg),datetime,quarter,index (g/kWh),change since 2005,index (lb/MWh)
2001,1,4146387.33,801123741.96,2001-01-01,1,193.210059312,0.021627462214,425.95089676
2001,2,3713847.8,831180536.585,2001-02-01,1,223.805761934,0.183406875435,493.402182759
2001,3,4204638.63,751112355.548,2001-03-01,1,178.638979861,-0.0554193280738,393.827495002
2001,4,3780029.04,740827365.563,2001-04-01,2,195.984569886,0.0362981072465,432.067582772
2001,5,3923327.13,558933257.332,2001-05-01,2,142.464097133,-0.24669950142,314.076348539
2001,6,3630065.47,653656112.076,2001-06-01,2,180.067306631,-0.0478668338718,396.976384198
2001,7,3240521.68,829055705.875,2001-07-01,3,255.840197272,0.352793805881,564.025298906
2001,8,3506779.87,898869782.1,2001-08-01,3,256.323412196,0.355348878006,565.090594528
2001,9,3324973.82,858795625.066,2001-09-01,3,258.286432182,0.3657286436,569.418268388
2001,10,3465700.42,873698908.788,2001-10-01,4,252.098797619,0.333010588347,555.77700923
2001,11,3650423.9,738437071.888,2001-11-01,4,202.288033422,0.0696286257403,445.964198482
2001,12,4415388.35,844816242.363,2001-12-01,4,191.334527203,0.0117103020196,421.816098671
2002,1,4764185.954,825250410.557,2002-01-01,1,173.219605306,-0.0840750921322,381.879941858
2002,2,4249499.185,700108419.678,2002-02-01,1,164.750806907,-0.128855146792,363.209628907
2002,3,4194121.705,571920554.663,2002-03-01,1,136.362412655,-0.278963082574,300.624574939
2002,4,3891757.902,360839657.967,2002-04-01,2,92.7189375735,-0.509734569568,204.408169775
2002,5,3998247.126,481623630.433,2002-05-01,2,120.458694837,-0.363056400139,265.563238637
2002,6,4232875.627,77215530.7457,2002-06-01,2,18.2418614554,-0.903543393698,40.2160077646
2002,7,3453291.583,286995640.058,2002-07-01,3,83.1078503393,-0.560554649512,183.219566858
2002,8,3432880.011,691439569.861,2002-08-01,3,201.416760168,0.0650216364011,444.043389466
2002,9,3498404.305,730499536.847,2002-09-01,3,208.809352253,0.104111087117,460.341097978
2002,10,3649579.181,750387980.717,2002-10-01,4,205.609453447,0.0871911373565,453.286601069
2002,11,3802990.977,716854274.131,2002-11-01,4,188.497495384,-0.00329093356675,415.561578323
2002,12,3883006.524,740035711.483,2002-12-01,4,190.583174895,0.00773741285516,420.159667374
2003,1,4456695.869,833974620.494,2003-01-01,1,187.128456823,-0.0105299323832,412.543395911
2003,2,4021875.267,700136405.131,2003-02-01,1,174.082078297,-0.0795146355183,383.781349814
2003,3,4510590.378,688688337.228,2003-03-01,1,152.682527012,-0.192668005223,336.60389905
2003,4,4070293.842,542149254.416,2003-04-01,2,133.196588615,-0.295702856844,293.645199261
2003,5,3668018.622,509420573.359,2003-05-01,2,138.881675874,-0.265642096608,306.178542631
2003,6,4179386.893,235727705.341,2003-06-01,2,56.4024607858,-0.701763442958,124.344865048
2003,7,3992377.993,975150684.835,2003-07-01,3,244.25309591,0.291525251849,538.480375244
2003,8,3841735.7,1030716628.53,2003-08-01,3,268.29451816,0.418647914552,591.482094735
2003,9,3813246.82,1027824281.78,2003-09-01,3,269.540454708,0.425235992823,594.228886449
2003,10,3913406.307,965045725.134,2003-10-01,4,246.599930962,0.303934497759,543.6542078
2003,11,4086252.052,885378568.682,2003-11-01,4,216.672529598,0.145688828691,477.676258752
2003,12,4431152.257,771757783.82,2003-12-01,4,174.166388122,-0.0790688345448,383.967219254
2004,1,4927130.463,912125857.553,2004-01-01,1,185.123138996,-0.0211333542218,408.12247223
2004,2,4492423.433,841031999.369,2004-02-01,1,187.211203911,-0.0100923946179,412.725820142
2004,3,4663336.963,778391476.023,2004-03-01,1,166.917270229,-0.117399643729,367.985813948
2004,4,4043810.363,745749812.035,2004-04-01,2,184.417602482,-0.0248639854379,406.567046431
2004,5,3947500.063,300769543.617,2004-05-01,2,76.1924100866,-0.597121087619,167.973787277
2004,6,3833310.063,260443972.392,2004-06-01,2,67.9423182868,-0.640744697996,149.785634895
2004,7,3728678.113,517726137.85,2004-07-01,3,138.849780582,-0.265810747796,306.10822627
2004,8,3791548.533,905834434.761,2004-08-01,3,238.908832863,0.263266651265,526.698412929
2004,9,4153452.633,943878326.763,2004-09-01,3,227.251496565,0.201626719369,500.998649328
2004,10,4246131.243,986567888.233,2004-10-01,4,232.345123543,0.228560043756,512.228059362
2004,11,4492847.463,984743315.492,2004-11-01,4,219.180224479,0.158948645322,483.204722887
2004,12,5081251.713,927377599.024,2004-12-01,4,182.509675057,-0.0349524407675,402.360829632
2005,1,4900815.26,973477936.471,2005-01-01,1,198.635917664,0.0503175103295,437.912744082
2005,2,4411211.973,912822273.692,2005-02-01,1,206.932307783,0.0941859300849,456.202965738
2005,3,4588955.445,926804839.412,2005-03-01,1,201.964227049,0.0679164504827,445.250334952
2005,4,4168867.127,930525839.871,2005-04-01,2,223.208322914,0.180247826102,492.085068697
2005,5,3806466.339,154839308.606,2005-05-01,2,40.6779660756,-0.784909091184,89.6786440103
2005,6,3721612.859,577612014.291,2005-06-01,2,155.204755619,-0.179331339313,342.164404239
2005,7,3769516.424,874231891.272,2005-07-01,3,231.921496802,0.226320053178,511.294131849
2005,8,3621772.392,1000869116.04,2005-08-01,3,276.347878253,0.461231276223,609.236532396
2005,9,3763622.01,962370501.047,2005-09-01,3,255.703282234,0.352069846875,563.723456014
2005,10,4104935.305,874076739.594,2005-10-01,4,212.933134057,0.125916208204,469.432387341
2005,11,4023299.581,534414360.779,2005-11-01,4,132.829870115,-0.297641936475,292.836731656
2005,12,4463103.805,609920118.37,2005-12-01,4,136.658286479,-0.2773986049,301.276858372
2006,1,4884051.901,242383427.914,2006-01-01,1,49.6275291145,-0.737586920651,109.408850686
2006,2,4684992.359,352908754.161,2006-02-01,1,75.3274983433,-0.601694439506,166.067002848
2006,3,4793163.596,421067218.459,2006-03-01,1,87.8474539884,-0.535493277112,193.668497063
2006,4,4449868.048,59476597.5942,2006-04-01,2,13.3659238774,-0.929325652403,29.4665157802
2006,5,4552974.021,120832520.099,2006-05-01,2,26.5392509471,-0.859669689608,58.5084326381
2006,6,4333457.575,190361226.255,2006-06-01,2,43.9282542774,-0.76772269986,96.84422938
2006,7,4468107.617,1056590339.76,2006-07-01,3,236.473789426,0.250390990157,521.330116169
2006,8,3850668.976,1057486936.14,2006-08-01,3,274.62421276,0.452117133775,605.436539452
2006,9,3977155.45,982788841.948,2006-09-01,3,247.108480999,0.306623533132,544.775357211
2006,10,4214189.52,1022590134.47,2006-10-01,4,242.654045249,0.2830700292,534.955108155
2006,11,3946781.444,858818744.495,2006-11-01,4,217.599772544,0.150591766256,479.72045855
2006,12,5205171.643,1063308878.52,2006-12-01,4,204.279311317,0.0801578093093,450.354169728
2007,1,5615301.418,976968983.75,2007-01-01,1,173.983355661,-0.0800366464152,383.56370589
2007,2,4556135.751,849959791.292,2007-02-01,1,186.552780194,-0.0135739097778,411.274259216
2007,3,5072640.164,602141120.149,2007-03-01,1,118.703692886,-0.372336238857,261.694161337
2007,4,4419899.869,557105140.348,2007-04-01,2,126.044742383,-0.333519327385,277.878239058
2007,5,4255575.693,252715166.257,2007-05-01,2,59.3844839072,-0.685995543892,130.919033222
2007,6,4425530.808,857519093.231,2007-06-01,2,193.76638203,0.0245691028766,427.177365824
2007,7,4254070.918,1089002074.95,2007-07-01,3,255.990578422,0.353588968998,564.35682919
2007,8,4095594.83,1157187065.32,2007-08-01,3,282.544322218,0.493995912524,622.897212763
2007,9,4130145.657,1117461897.79,2007-09-01,3,270.56234588,0.430639397227,596.481747728
2007,10,4259182.367,1041297875.14,2007-10-01,4,244.483045199,0.292741143551,538.987321445
2007,11,4587931.161,1086775203.25,2007-11-01,4,236.876963737,0.252522835411,522.218954254
2007,12,5457194.317,1181028987.43,2007-12-01,4,216.416883627,0.144337061888,477.112661645
2008,1,5851906.208,1135906690.35,2008-01-01,1,194.108833938,0.0263798692233,427.9323353
2008,2,5229262.34,1106078169.65,2008-02-01,1,211.517054936,0.118428475301,466.310499312
2008,3,5609757.485,1083271178.41,2008-03-01,1,193.104814479,0.0210709642108,425.718874
2008,4,4798261.937,965537186.935,2008-04-01,2,201.226443994,0.0640153107965,443.623818429
2008,5,4927044.785,317259846.301,2008-05-01,2,64.3915085299,-0.659520142576,141.957519705
2008,6,4934573.522,262290601.36,2008-06-01,2,53.1536515144,-0.718942014213,117.182540129
2008,7,4522040.983,844310594.632,2008-07-01,3,186.710071361,-0.0127422089043,411.621023322
2008,8,4207145.733,1168647948.7,2008-08-01,3,277.77691168,0.468787506983,612.386979489
2008,9,4233640.102,1028588570.06,2008-09-01,3,242.956072145,0.284667042176,535.620956651
2008,10,4506457.408,1104116549.27,2008-10-01,4,245.0076522,0.295515082552,540.143870039
2008,11,4624001.719,1020204313.27,2008-11-01,4,220.632338669,0.166626919114,486.406053831
