year,month,generation (MWh),final CO2 (kg),datetime,quarter,index (g/kWh),change since 2005,index (lb/MWh)
2001,1,618044478.91,5.03746924717e+11,2001-01-01,1,815.065811453,0.0706984163958,1796.89408793
2001,2,505887876.94,4.15569938125e+11,2001-02-01,1,821.466489054,0.0791065661123,1811.00502177
2001,3,542635149.27,4.39685304165e+11,2001-03-01,1,810.277964405,0.0644089362335,1786.33880033
2001,4,534852492.77,4.2276457547e+11,2001-04-01,2,790.432093306,0.0383387190075,1742.5865929
2001,5,602304022.42,4.79183087179e+11,2001-05-01,2,795.583408614,0.0451056635485,1753.94318263
2001,6,659881710.13,5.18969310711e+11,2001-06-01,2,786.458092025,0.0331183345701,1733.82550968
2001,7,768538359.45,5.9230653845e+11,2001-07-01,3,770.692225271,0.0124077510438,1699.06807983
2001,8,772951087.84,5.97609358626e+11,2001-08-01,3,773.152878658,0.0156401497639,1704.49283629
2001,9,635880904.11,5.02604025071e+11,2001-09-01,3,790.405910639,0.0383043245582,1742.52887059
2001,10,575322777.7,4.47502367725e+11,2001-10-01,4,777.828351442,0.0217820112369,1714.80038359
2001,11,523285542.86,4.11797059724e+11,2001-11-01,4,786.945225877,0.0337582503124,1734.89944497
2001,12,572369499.18,4.54307135732e+11,2001-12-01,4,793.730512165,0.0426716351965,1749.85828712
2002,1,594175158.0,4.60012605712e+11,2002-01-01,1,774.203699899,0.0170205446008,1706.8094768
2002,2,527088237.0,4.07205869703e+11,2002-02-01,1,772.55730847,0.0148577883286,1703.17984225
2002,3,556006750.0,4.26222392134e+11,2002-03-01,1,766.577729738,0.00700280853662,1689.99726298
2002,4,560852676.0,4.30268463134e+11,2002-04-01,2,767.16842327,0.00777876382725,1691.29950594
2002,5,610553668.0,4.73524462744e+11,2002-05-01,2,775.565666971,0.0188096712783,1709.8120694
2002,6,690899006.0,5.33536515494e+11,2002-06-01,2,772.235175996,0.0144346240577,1702.469669
2002,7,774124087.0,5.86834507655e+11,2002-07-01,3,758.06258649,-0.00418297580565,1671.22477818
2002,8,773109216.0,5.80222514385e+11,2002-08-01,3,750.505235712,-0.014110571095,1654.56384265
2002,9,669260186.0,5.14039497009e+11,2002-09-01,3,768.071234121,0.00896472713803,1693.28984274
2002,10,574641006.0,4.51685417418e+11,2002-10-01,4,786.030604676,0.0325567725195,1732.88307107
2002,11,533937681.21,4.2258393851e+11,2002-11-01,4,791.448053549,0.0396733192423,1744.82637885
2002,12,578268389.04,4.62541685158e+11,2002-12-01,4,799.87371595,0.0507415584729,1763.40159418
2003,1,636478418.04,5.02782707462e+11,2003-01-01,1,789.94462846,0.037698368461,1741.5119279
2003,2,548517864.84,4.31073118959e+11,2003-02-01,1,785.887108863,0.0323682714971,1732.5667202
2003,3,537946022.28,4.22085818481e+11,2003-03-01,1,784.62485268,0.0307101284639,1729.78395022
2003,4,526880800.28,4.09472568594e+11,2003-04-01,2,777.16357927,0.0209087437019,1713.33482686
2003,5,609644566.69,4.71665533652e+11,2003-05-01,2,773.672988202,0.0163233835063,1705.63946979
2003,6,660743563.11,5.14047986578e+11,2003-06-01,2,777.984100455,0.021986608485,1715.14374786
2003,7,755109598.72,5.72927178107e+11,2003-07-01,3,758.733803779,-0.00330124174379,1672.70454381
2003,8,785316096.89,5.89110198949e+11,2003-08-01,3,750.156785633,-0.0145683070749,1653.79564961
2003,9,627649903.35,4.94966816683e+11,2003-09-01,3,788.603350437,0.0359364196279,1738.55494637
2003,10,577849807.96,4.61177636558e+11,2003-10-01,4,798.092566971,0.0484017800597,1759.47487314
2003,11,542451155.12,4.37434306323e+11,2003-11-01,4,806.4031244,0.05931881345,1777.79632805
2003,12,595426318.89,4.84964415286e+11,2003-12-01,4,814.482665445,0.0699323757909,1795.60848424
2004,1,629312298.17,4.96529447497e+11,2004-01-01,1,789.003248372,0.0364617392762,1739.43656136
2004,2,583783403.09,4.49397003564e+11,2004-02-01,1,769.80092477,0.0112369081235,1697.10311875
2004,3,550632000.63,4.16173497141e+11,2004-03-01,1,755.810589767,-0.00714127597114,1666.2600262
2004,4,540738217.38,4.0595161211e+11,2004-04-01,2,750.735936656,-0.0138075144189,1655.07244595
2004,5,649203572.1,4.96945349409e+11,2004-05-01,2,765.469216075,0.00554662695328,1687.55343376
2004,6,686170890.14,5.20027954664e+11,2004-06-01,2,757.869449341,-0.00443668739187,1670.79898802
2004,7,767445202.24,5.72700026281e+11,2004-07-01,3,746.242239327,-0.0197105894173,1645.16564082
2004,8,747727224.44,5.56094296001e+11,2004-08-01,3,743.712784321,-0.0230333683035,1639.58920431
2004,9,666249186.52,5.0531414655e+11,2004-09-01,3,758.446174155,-0.00367908188706,1672.07043554
2004,10,613752742.04,4.65347000632e+11,2004-10-01,4,758.199464959,-0.0040031675524,1671.52654045
2004,11,541551468.8,4.23976984708e+11,2004-11-01,4,782.893241242,0.0284354242641,1725.96643964
2004,12,624554120.48,4.92862362628e+11,2004-12-01,4,789.142760357,0.0366450070069,1739.74412948
2005,1,625497038.0,4.94299583527e+11,2005-01-01,1,790.250878098,0.0381006684927,1742.18708585
2005,2,545279050.79,4.27878606931e+11,2005-02-01,1,784.696581156,0.0308043534516,1729.94208282
2005,3,582274974.23,4.46832060825e+11,2005-03-01,1,767.390117386,0.00806998882544,1691.78825279
2005,4,539505681.84,4.07419322289e+11,2005-04-01,2,755.171513485,-0.00798078850335,1664.85111863
2005,5,634399518.32,4.82805134624e+11,2005-05-01,2,761.042719424,-0.000268170929148,1677.79477924
2005,6,741436153.23,5.47865299027e+11,2005-06-01,2,738.924446347,-0.0293234933641,1629.03283442
2005,7,799635688.22,5.86466494983e+11,2005-07-01,3,733.417109344,-0.0365581202178,1616.89135926
2005,8,819312247.11,5.98219027806e+11,2005-08-01,3,730.147791536,-0.0408528082666,1609.68382122
2005,9,702438968.82,5.28105315961e+11,2005-09-01,3,751.816655115,-0.0123878455697,1657.45499787
2005,10,596757237.45,4.63861441085e+11,2005-10-01,4,777.30341917,0.0210924421935,1713.6431179
2005,11,559601134.99,4.42198363846e+11,2005-11-01,4,790.202764428,0.0380374647253,1742.08101446
2005,12,641135374.53,5.02086548552e+11,2005-12-01,4,783.120957754,0.0287345604873,1726.46846346
2006,1,567918293.25,4.56704295637e+11,2006-01-01,1,804.172538665,0.056388639493,1772.87877874
2006,2,553967096.77,4.3174500522e+11,2006-02-01,1,779.36940251,0.0238063887964,1718.19778477
2006,3,567131460.95,4.34448108002e+11,2006-03-01,1,766.044802513,0.00630273704737,1688.82237162
2006,4,573642311.51,4.23767930519e+11,2006-04-01,2,738.731997303,-0.0295763010317,1628.60856125
2006,5,667370322.16,5.00220391297e+11,2006-05-01,2,749.539460608,-0.0153792464091,1652.43469486
2006,6,750847077.09,5.57291199962e+11,2006-06-01,2,742.216646992,-0.0249987456341,1636.29081996
2006,7,834001396.24,6.1060546752e+11,2006-07-01,3,732.139622635,-0.0382362705922,1614.07501206
2006,8,866680386.37,6.28044353502e+11,2006-08-01,3,724.655090133,-0.0480682092949,1597.57461171
2006,9,670110640.86,5.11216530755e+11,2006-09-01,3,762.883768117,0.00215029380421,1681.85355519
2006,10,639293276.4,4.87128981757e+11,2006-10-01,4,761.980455199,0.000963670960587,1679.86211153
2006,11,572325361.64,4.53781140285e+11,2006-11-01,4,792.872674705,0.0415447504746,1747.96709865
2006,12,627067510.21,4.98686389999e+11,2006-12-01,4,795.267466228,0.0446906307895,1753.24665605
2007,1,662282971.29,5.13103475839e+11,2007-01-01,1,774.749613204,0.01773767505,1708.01299727
2007,2,604390081.31,4.59760085223e+11,2007-02-01,1,760.700910622,-0.000717182699618,1677.04122756
2007,3,583701121.83,4.38963291664e+11,2007-03-01,1,752.034346428,-0.0121018787919,1657.93492013
2007,4,575847799.98,4.31152046864e+11,2007-04-01,2,748.725699531,-0.0164482308807,1650.64067719
2007,5,646292965.19,4.90229377755e+11,2007-05-01,2,758.525009801,-0.0035755206773,1672.24423661
2007,6,723745164.51,5.42518208471e+11,2007-06-01,2,749.598387768,-0.0153018376698,1652.56460567
2007,7,771015647.44,5.75712628818e+11,2007-07-01,3,746.693832647,-0.0191173609369,1646.16122345
2007,8,883670640.49,6.34498417114e+11,2007-08-01,3,718.025911511,-0.0567765257924,1582.95992452
2007,9,720436441.65,5.33509721696e+11,2007-09-01,3,740.536834137,-0.0272054054385,1632.58750454
2007,10,641241303.95,4.77137387515e+11,2007-10-01,4,744.083989251,-0.0225457407717,1640.4075627
2007,11,570496122.8,4.45822709605e+11,2007-11-01,4,781.464924628,0.0265591385522,1722.81757284
2007,12,631724081.2,4.9989675169e+11,2007-12-01,4,791.321348301,0.0395068748817,1744.54704446
2008,1,703520015.54,5.3064163065e+11,2008-01-01,1,754.266572278,-0.00916955032282,1662.85608524
2008,2,592116811.89,4.55957161087e+11,2008-02-01,1,770.045963788,0.0115587997861,1697.64333177
2008,3,593331649.1,4.50178068385e+11,2008-03-01,1,758.729235274,-0.00330724308896,1672.69447208
2008,4,566409084.15,4.31125220733e+11,2008-04-01,2,761.155201775,-0.000120410253637,1678.04275783
2008,5,647825333.26,4.94527344785e+11,2008-05-01,2,763.36524584,0.00278277946078,1682.91502098
2008,6,764262378.11,5.61281215835e+11,2008-06-01,2,734.409061483,-0.035255057852,1619.07821695
2008,7,822639128.21,6.01536445801e+11,2008-07-01,3,731.227612659,-0.039434318189,1612.06439487
2008,8,799691477.51,5.84690745762e+11,2008-08-01,3,731.145400703,-0.0395423146361,1611.88315039
2008,9,643177144.05,4.94861773337e+11,2008-09-01,3,769.401988108,0.010712851236,1696.22362298
2008,10,607518949.92,4.54738850298e+11,2008-10-01,4,748.517968629,-0.0167211133222,1650.18271364
2008,11,569142165.16,4.40976373923e+11,2008-11-01,4,774.808827948,0.0178154615689,1708.14354209
2008,12,608858922.72,4.69607419232e+11,2008-12-01,4,771.291019494,0.013194347681,1700.38818158
2009,1,631576209.91,4.81598772911e+11,2009-01-01,1,762.534695503,0.00169174004108,1681.08398971
2009,2,534799098.45,4.00868807614e+11,2009-02-01,1,749.568966693,-0.0153404862027,1652.49974397
2009,3,547438482.19,3.91808339665e+11,2009-03-01,1,715.712088959,-0.0598160424888,1577.85887132
2009,4,518039241.96,3.79818021098e+11,2009-04-01,2,733.183879393,-0.0368644990846,1616.37718051
2009,5,596035896.12,4.34351531071e+11,2009-05-01,2,728.733846231,-0.0427102153354,1606.5666374
2009,6,735760297.38,5.20733765426e+11,2009-06-01,2,707.749204844,-0.0702763602842,1560.303897
2009,7,768660834.24,5.40882574608e+11,2009-07-01,3,703.668706033,-0.0756366435321,1551.30802932
2009,8,783778199.17,5.52274174672e+11,2009-08-01,3,704.630691766,-0.0743729460662,1553.42882307
2009,9,647453710.76,4.62950317531e+11,2009-09-01,3,715.032302444,-0.06070903338,1576.36021397
2009,10,565022568.72,4.17277642101e+11,2009-10-01,4,738.514999579,-0.0298613566864,1628.13016807
2009,11,517334360.56,3.90766373489e+11,2009-11-01,4,755.345871605,-0.00775174569367,1665.23550854
2009,12,624204451.99,4.66837951508e+11,2009-12-01,4,747.892697689,-0.0175424906826,1648.80424133
2010,1,682104316.13,5.08312313292e+11,2010-01-01,1,745.211987774,-0.0210639632075,1642.89434825
2010,2,606260647.52,4.49830455362e+11,2010-02-01,1,741.975348725,-0.0253157233169,1635.7588538
2010,3,549599531.54,4.12658547513e+11,2010-03-01,1,750.834969522,-0.0136774214478,1655.29077381
2010,4,520169669.75,3.79961195895e+11,2010-04-01,2,730.45626839,-0.0404475824872,1610.36388929
2010,5,637712800.06,4.66425601746e+11,2010-05-01,2,731.403857194,-0.0392027973209,1612.45294357
2010,6,779540658.79,5.62555433932e+11,2010-06-01,2,721.649894189,-0.0520159378017,1590.94935673
2010,7,827978230.55,5.93819400139e+11,2010-07-01,3,717.192044705,-0.0578719218411,1581.12158176
2010,8,881030833.49,6.25153063757e+11,2010-08-01,3,709.570017295,-0.0678844785733,1564.31806013
2010,9,704648632.5,5.07740428142e+11,2010-09-01,3,720.558310517,-0.0534498795675,1588.54285137
2010,10,568902224.29,4.16681901364e+11,2010-10-01,4,732.431485717,-0.037852869233,1614.71845341
2010,11,549476014.12,4.11376736821e+11,2010-11-01,4,748.670963336,-0.0165201342253,1650.52000577
2010,12,667707435.04,4.94778822931e+11,2010-12-01,4,741.011402549,-0.0265819960895,1633.63373806
2011,1,712171387.08,5.30166165126e+11,2011-01-01,1,744.436205588,-0.0220830573059,1641.18405884
2011,2,594099050.18,4.37717367521e+11,2011-02-01,1,736.775067033,-0.0321469917795,1624.29431278
2011,3,567207750.88,4.22579003724e+11,2011-03-01,1,745.016271495,-0.0213210628273,1642.46287214
2011,4,585848759.75,4.27827547853e+11,2011-04-01,2,730.269614354,-0.0406927776328,1609.95239181
2011,5,665168891.22,4.92276711531e+11,2011-05-01,2,740.077772771,-0.0278084441997,1631.57545785
2011,6,797314425.95,5.74299076435e+11,2011-06-01,2,720.291841893,-0.0537999218952,1587.95539464
2011,7,905803754.64,6.43255019353e+11,2011-07-01,3,710.14832524,-0.0671247934141,1565.59299782
2011,8,912873747.65,6.39679005779e+11,2011-08-01,3,700.731078559,-0.0794956117778,1544.83173579
2011,9,686550153.32,4.89076039149e+11,2011-09-01,3,712.367533215,-0.0642095656725,1570.48546373
2011,10,588450294.99,4.24298972553e+11,2011-10-01,4,721.044710429,-0.0528109279539,1589.61516861
2011,11,559368652.13,3.9842638001e+11,2011-11-01,4,712.278706526,-0.0643262514591,1570.28963641
2011,12,622935798.22,4.39047665152e+11,2011-12-01,4,704.804036639,-0.0741452342933,1553.81097917
2012,1,624105175.9,4.2849361996e+11,2012-01-01,1,686.572770915,-0.0980944504973,1513.61833076
2012,2,575954600.66,3.88991793278e+11,2012-02-01,1,675.386207232,-0.112789504384,1488.95643246
2012,3,573080145.82,3.82893375375e+11,2012-03-01,1,668.132333964,-0.122318441203,1472.96454346
2012,4,590012250.29,3.84102283577e+11,2012-04-01,2,651.007302625,-0.144814469963,1435.21069937
2012,5,709190799.74,4.77730325975e+11,2012-05-01,2,673.627359732,-0.11509998681,1485.07887726
2012,6,779029271.18,5.31207558793e+11,2012-06-01,2,681.883952818,-0.104253842832,1503.28136238
2012,7,881906002.9,6.0831868661e+11,2012-07-01,3,689.777237721,-0.0938849529501,1520.68289828
2012,8,841860569.36,5.78341009031e+11,2012-08-01,3,686.979566546,-0.0975600697985,1514.51515241
2012,9,685107840.44,4.73778101037e+11,2012-09-01,3,691.537993103,-0.0915719642649,1524.5646596
2012,10,602577687.1,4.27895803643e+11,2012-10-01,4,710.108941641,-0.0671765290609,1565.50617274
2012,11,590892069.08,4.29033966261e+11,2012-11-01,4,726.078396905,-0.0461985046837,1600.71243382
2012,12,623073937.93,4.44195474376e+11,2012-12-01,4,712.909732434,-0.0634973141747,1571.68079612
2013,1,637529210.54,4.47979132718e+11,2013-01-01,1,702.680167922,-0.0769352211131,1549.1286982
2013,2,553701041.73,3.88701478352e+11,2013-02-01,1,702.006044883,-0.0778207722683,1547.64252655
2013,3,602351983.15,4.25965139671e+11,2013-03-01,1,707.169813642,-0.0710374684468,1559.02657116
2013,4,548833462.03,3.8755764997e+11,2013-04-01,2,706.147997129,-0.0723797616793,1556.77387447
2013,5,596464503.3,4.23350279031e+11,2013-05-01,2,709.766091173,-0.067626909199,1564.7503246
2013,6,719388386.01,5.06513740702e+11,2013-06-01,2,704.089405046,-0.0750839988742,1552.23550236
2013,7,769998781.27,5.40176977162e+11,2013-07-01,3,701.529652126,-0.0784465781397,1546.59227108
2013,8,806077265.61,5.60294666623e+11,2013-08-01,3,695.088039977,-0.0869085008818,1532.39109293
2013,9,696283622.16,4.91785666646e+11,2013-09-01,3,706.300781742,-0.0721790585688,1557.11070343
2013,10,579287418.85,4.06827663744e+11,2013-10-01,4,702.289831447,-0.0774479804995,1548.26816241
2013,11,568769507.42,3.96229170544e+11,2013-11-01,4,696.642779501,-0.0848661416979,1535.81867169
2013,12,657198740.48,4.65208013702e+11,2013-12-01,4,707.865041498,-0.0701241932809,1560.55927049
2014,1,706615252.4,5.0230612325e+11,2014-01-01,1,710.862271292,-0.0661869293832,1567.16696329
2014,2,605338092.95,4.42668680501e+11,2014-02-01,1,731.275109987,-0.0393719240696,1612.16910748
2014,3,591287530.08,4.21143763989e+11,2014-03-01,1,712.248682011,-0.0643656926923,1570.22344436
2014,4,547315511.32,3.76864869726e+11,2014-04-01,2,688.569685915,-0.0954712344351,1518.02072957
2014,5,639289949.33,4.51448532518e+11,2014-05-01,2,706.171797305,-0.072348496951,1556.82634434
2014,6,702403146.93,4.95621473281e+11,2014-06-01,2,705.6082756,-0.0730887583988,1555.58400439
2014,7,770155479.82,5.44751670495e+11,2014-07-01,3,707.326877195,-0.0708311443755,1559.37283346
2014,8,813705457.51,5.63274165737e+11,2014-08-01,3,692.233486378,-0.0906583404356,1526.09794407
2014,9,688223943.49,4.80437990252e+11,2014-09-01,3,698.083806582,-0.0829731590793,1538.99555999
2014,10,590114590.51,3.97254004295e+11,2014-10-01,4,673.181125638,-0.115686175227,1484.09510958
2014,11,567577660.26,3.87339189556e+11,2014-11-01,4,682.442627109,-0.103519949115,1504.51301572
2014,12,610175858.73,4.11678882304e+11,2014-12-01,4,674.688905524,-0.113705503834,1487.41916112
2015,1,690120823.05,4.55857233884e+11,2015-01-01,1,660.546992147,-0.132282806481,1456.24189889
2015,2,648163205.18,4.27801240786e+11,2015-02-01,1,660.020867225,-0.132973942232,1455.08200388
2015,3,593673494.35,3.71132708845e+11,2015-03-01,1,625.146165994,-0.178786546387,1378.19723755
2015,4,532287012.29,3.31359367518e+11,2015-04-01,2,622.520106386,-0.182236228393,1372.40782654
2015,5,618894777.11,4.04301114986e+11,2015-05-01,2,653.263090819,-0.141851189191,1440.18381002
2015,6,745287882.92,4.95061776932e+11,2015-06-01,2,664.255770526,-0.127410827948,1464.4182717
2015,7,839368260.12,5.58335376433e+11,2015-07-01,3,665.185238661,-0.126189846713,1466.46737715
2015,8,813484620.73,5.35317889603e+11,2015-08-01,3,658.055328842,-0.135555940892,1450.74877797
2015,9,700497009.56,4.60808539305e+11,2015-09-01,3,657.830844409,-0.135850831346,1450.25387958
2015,10,594584233.43,3.76375114719e+11,2015-10-01,4,633.005541616,-0.168462200899,1395.52401705
2015,11,544958548.14,3.38272656621e+11,2015-11-01,4,620.730985458,-0.184586479032,1368.46353054
2015,12,573178742.37,3.45754059455e+11,2015-12-01,4,603.222056046,-0.207586809472,1329.86334476
2016,1,637947389.82,3.99430419479e+11,2016-01-01,1,626.118118598,-0.177509756096,1380.34000426
2016,2,543854682.11,3.36249917437e+11,2016-02-01,1,618.271623833,-0.187817180848,1363.0416219
2016,3,531212098.15,3.08162074401e+11,2016-03-01,1,580.111174941,-0.23794605587,1278.91309628
2016,4,515101369.26,3.06778528633e+11,2016-04-01,2,595.569235379,-0.217639817284,1312.99193632
2016,5,605423191.52,3.68061885468e+11,2016-05-01,2,607.941503767,-0.201387181013,1340.2678392
2016,6,750791583.4,4.84862249001e+11,2016-06-01,2,645.801391121,-0.151653133939,1423.73374686
2016,7,839731033.63,5.50681233911e+11,2016-07-01,3,655.782877918,-0.138541110399,1445.73893266
2016,8,830566471.61,5.39707514202e+11,2016-08-01,3,649.80652681,-0.146391850274,1432.56346901
2016,9,727988079.68,4.73940102194e+11,2016-09-01,3,651.027283857,-0.144788221931,1435.25474999
2016,10,606123963.5,4.00630956567e+11,2016-10-01,4,660.971980474,-0.131724527234,1457.17882815
2016,11,545623736.86,3.46710816022e+11,2016-11-01,4,635.439392754,-0.165265010534,1400.88968527
2016,12,619151605.98,4.23515640616e+11,2016-12-01,4,684.02574834,-0.101440306745,1508.00316479
2017,1,574286582.58,3.95609418331e+11,2017-01-01,1,688.871079929,-0.095075312917,1518.68518281
2017,2,462807861.08,3.06370843156e+11,2017-02-01,1,661.982798738,-0.130396681678,1459.4072781
2017,3,514624255.88,3.23636179991e+11,2017-03-01,1,628.878596944,-0.173883497023,1386.42575482
