year,month,generation (MWh),final CO2 (kg),datetime,quarter,index (g/kWh),change since 2005,index (lb/MWh)
2001,1,8319918.425,1406040629.79,2001-01-01,1,168.996924966,0.146034787968,372.570620779
2001,2,7089872.948,1274194950.36,2001-02-01,1,179.720420903,0.218755042468,396.211639923
2001,3,7777777.334,1403752741.72,2001-03-01,1,180.482505662,0.223923039723,397.891731981
2001,4,6418137.05,1135742231.17,2001-04-01,2,176.958239177,0.200023598985,390.12213409
2001,5,6289017.107,947447512.033,2001-05-01,2,150.651126545,0.0216246946669,332.125473582
2001,6,6435924.287,998734891.351,2001-06-01,2,155.18126796,0.0523453699486,342.112623345
2001,7,6060190.644,1300158443.54,2001-07-01,3,214.540848616,0.454886093365,472.976754858
2001,8,7047909.734,1317696482.18,2001-08-01,3,186.962735323,0.267868032373,412.178046292
2001,9,6273360.854,1144132797.92,2001-09-01,3,182.3795609,0.236787719349,402.073979959
2001,10,6350116.21,1090819436.29,2001-10-01,4,171.779444693,0.164904151459,378.704963771
2001,11,6897627.103,1178838964.01,2001-11-01,4,170.905000575,0.158974201081,376.777164269
2001,12,8110054.687,1240916331.89,2001-12-01,4,153.009613349,0.0376185236902,337.324993588
2002,1,9318444.0,1312888080.95,2002-01-01,1,140.891342047,-0.0445602525459,310.609052677
2002,2,7664377.0,1017836023.04,2002-02-01,1,132.800881669,-0.099424854645,292.772823727
2002,3,7832575.0,1336440308.41,2002-03-01,1,170.625919114,0.157081639645,376.16190128
2002,4,8755435.0,720117601.743,2002-04-01,2,82.2480666858,-0.442243427304,181.324087815
2002,5,9329691.0,566297783.569,2002-05-01,2,60.6984500954,-0.588379874964,133.81580308
2002,6,10768116.0,303091262.699,2002-06-01,2,28.1471023064,-0.809123400143,62.0531017448
2002,7,10090333.0,624766924.551,2002-07-01,3,61.9173742384,-0.580113869697,136.503043246
2002,8,8513850.0,1182880628.14,2002-08-01,3,138.936042818,-0.0578199076448,306.298399996
2002,9,6858838.0,1209341304.1,2002-09-01,3,176.318686066,0.195686537148,388.712175302
2002,10,7361957.0,1135627016.89,2002-10-01,4,154.256132831,0.0460716638367,340.07307044
2002,11,7895005.0,1132317177.86,2002-11-01,4,143.421970962,-0.0273990599814,316.188077184
2002,12,8376427.0,1302609172.76,2002-12-01,4,155.508926748,0.0545673533969,342.834979909
2003,1,8056692.0,1484285144.21,2003-01-01,1,184.230096448,0.249336930617,406.15367063
2003,2,7493482.0,1213061348.63,2003-02-01,1,161.882199574,0.0977870295684,356.88549718
2003,3,8711007.0,1375512032.34,2003-03-01,1,157.905054184,0.070816438395,348.117482455
2003,4,9060897.0,977731987.416,2003-04-01,2,107.906754421,-0.268241747897,237.891230797
2003,5,8862075.0,1025064915.28,2003-05-01,2,115.668724907,-0.215604765294,255.003270929
2003,6,9005608.0,966793811.332,2003-06-01,2,107.354640723,-0.271985848598,236.674040938
2003,7,8601735.0,1432810795.23,2003-07-01,3,166.572301428,0.129592459671,367.225295729
2003,8,8191086.0,1466329948.1,2003-08-01,3,179.015328139,0.213973530397,394.657192415
2003,9,6775609.0,1177087845.55,2003-09-01,3,173.724287448,0.178092897083,382.992564109
2003,10,7828864.0,1443163441.68,2003-10-01,4,184.338805947,0.250074132594,406.39333159
2003,11,8256491.0,1355267995.72,2003-11-01,4,164.145760678,0.113137129995,361.87574399
2003,12,9251145.0,1324507437.18,2003-12-01,4,143.172270803,-0.0290923752254,315.637588212
2004,1,9012499.8,1353788919.76,2004-01-01,1,150.212366137,0.0186492873201,331.158182385
2004,2,8217814.91,1346018419.21,2004-02-01,1,163.792739792,0.110743156165,361.097474146
2004,3,7722282.71,1184790132.62,2004-03-01,1,153.42485857,0.0404344652786,338.240443203
2004,4,7790529.53,1205510519.52,2004-04-01,2,154.740510883,0.0493564224047,341.140930292
2004,5,8778388.71,612655668.047,2004-05-01,2,69.7913578775,-0.526717281729,153.862027577
2004,6,9567000.44,856965179.29,2004-06-01,2,89.5751165336,-0.392555813044,197.47730191
2004,7,8734346.32,1358933412.17,2004-07-01,3,155.585016026,0.0550833447914,343.002726331
2004,8,8258889.25,1549650322.67,2004-08-01,3,187.634229708,0.272421700588,413.658422814
2004,9,7803330.84,1381431504.25,2004-09-01,3,177.031005423,0.200517055588,390.282554555
2004,10,8066956.46,1391723227.86,2004-10-01,4,172.521475076,0.169936152089,380.340843953
2004,11,8530133.22,1307701952.91,2004-11-01,4,153.303813572,0.0396136114191,337.973587402
