year,month,generation (MWh),final CO2 (kg),datetime,quarter,index (g/kWh),change since 2005,index (lb/MWh)
2001,1,4020680.0,4242354629.75,2001-01-01,1,1055.13361664,0.0339342457982,2326.14757124
2001,2,3747141.0,4010271432.02,2001-02-01,1,1070.22165219,0.0487191378846,2359.41065442
2001,3,4093370.0,4396130369.05,2001-03-01,1,1073.963597,0.0523859008618,2367.66014594
2001,4,3459181.0,3703159852.41,2001-04-01,2,1070.5308142,0.0490220883227,2360.09223299
2001,5,3436696.0,3661528120.82,2001-05-01,2,1065.42100925,0.0440149477639,2348.827157
2001,6,3686041.0,3859460203.27,2001-06-01,2,1047.04755136,0.0260106428801,2308.32103173
2001,7,4128229.0,4339583998.71,2001-07-01,3,1051.19749866,0.0300772109088,2317.47000555
2001,8,3900801.0,4095238273.74,2001-08-01,3,1049.84547372,0.0287523503751,2314.48933137
2001,9,2985163.0,3695831742.74,2001-09-01,3,1238.06698085,0.213192177655,2729.44246597
2001,10,3656526.0,3765003981.85,2001-10-01,4,1029.66695214,0.0089792485012,2270.00376269
2001,11,3847453.0,4081107342.78,2001-11-01,4,1060.72961587,0.0394178121962,2338.48451115
2001,12,3815657.0,4006908530.56,2001-12-01,4,1050.12283089,0.029024134985,2315.10079299
2002,1,3847121.0,4033520428.67,2002-01-01,1,1048.4516678,0.0273865483044,2311.41654683
2002,2,3500818.0,3603090329.23,2002-02-01,1,1029.2138378,0.00853523797528,2269.00482682
2002,3,3933571.0,4137621386.29,2002-03-01,1,1051.87408243,0.0307402009934,2318.96160212
2002,4,3082479.0,3257675631.98,2002-04-01,2,1056.83627755,0.0356026974461,2329.90125748
2002,5,3272657.0,3392960445.34,2002-05-01,2,1036.7601754,0.0159299572294,2285.64148268
2002,6,3135318.0,3234522619.81,2002-06-01,2,1031.64100733,0.0109136416692,2274.35576475
2002,7,3893361.0,3997840962.45,2002-07-01,3,1026.8354161,0.00620460267677,2263.76135833
2002,8,3841201.0,3909962381.47,2002-08-01,3,1017.90101103,-0.00255029548862,2244.06456892
2002,9,3785982.0,3869424419.12,2002-09-01,3,1022.03983514,0.00150537283261,2253.18902055
