year,month,state,final co2 (kg),generation (mwh),index (g/kwh),datetime,quarter
2001,1,AL,7081301691.684679,11326642.0,625.1898569483064,2001-01-01,1
2001,2,AL,5772873994.076598,9576039.01,602.845705625065,2001-02-01,1
2001,3,AL,5763261430.01981,9364445.0,615.440790139705,2001-03-01,1
2001,4,AL,5119230863.596738,7714348.0,663.598642892016,2001-04-01,2
2001,5,AL,6398759124.626639,10048668.01,636.776846270458,2001-05-01,2
2001,6,AL,6942796993.856841,11170299.0,621.540837345253,2001-06-01,2
2001,7,AL,7815392265.788716,12083310.0,646.7923330435714,2001-07-01,3
2001,8,AL,7995055753.013199,12520917.01,638.5359591975443,2001-08-01,3
2001,9,AL,6829332717.673373,11014510.0,620.0305522146126,2001-09-01,3
2001,10,AL,6578784738.686588,10321847.01,637.365069673377,2001-10-01,4
2001,11,AL,5966691328.196471,9886874.0,603.4962444344361,2001-11-01,4
2001,12,AL,5921722064.439549,10317214.0,573.9652259262577,2001-12-01,4
2002,1,AL,6295753269.458807,11220297.0,561.1039769677047,2002-01-01,1
2002,2,AL,5337582504.439181,9697976.0,550.3810799737163,2002-02-01,1
2002,3,AL,5179810027.304417,9429392.0,549.3259827679682,2002-03-01,1
2002,4,AL,5403662461.332624,9161933.0,589.7950204757691,2002-04-01,2
2002,5,AL,6205292061.5659,10444214.0,594.1368169558666,2002-05-01,2
2002,6,AL,7587776002.727848,11882481.0,638.568326154096,2002-06-01,2
2002,7,AL,8430394443.688481,13067536.0,645.1403266605488,2002-07-01,3
2002,8,AL,8271577942.203421,12925950.0,639.920310863296,2002-08-01,3
2002,9,AL,7549412430.346797,11567529.0,652.6382972843031,2002-09-01,3
2002,10,AL,7213770839.600266,10343719.0,697.4059175041652,2002-10-01,4
2002,11,AL,6761831109.789243,11349447.0,595.7850730338881,2002-11-01,4
2002,12,AL,6698307230.220801,11830201.0,566.2040087248561,2002-12-01,4
2003,1,AL,7286450433.321095,11998911.0,607.259311559282,2003-01-01,1
2003,2,AL,6189041302.668217,10347091.0,598.143120870225,2003-02-01,1
2003,3,AL,5884954925.828868,10122699.0,581.3622360823796,2003-03-01,1
2003,4,AL,5449926589.836475,9287219.0,586.8200792763124,2003-04-01,2
2003,5,AL,6727322858.984568,11678712.0,576.0329442993857,2003-05-01,2
2003,6,AL,7634731703.179308,12249637.0,623.2618732440242,2003-06-01,2
2003,7,AL,8176420362.9807205,13553965.0,603.2493342708735,2003-07-01,3
2003,8,AL,8546058923.013129,14083710.0,606.8045226018662,2003-08-01,3
2003,9,AL,7532019333.555472,11762841.0,640.3231441754141,2003-09-01,3
2003,10,AL,6770457625.402283,10497017.0,644.9887263593346,2003-10-01,4
2003,11,AL,6545049443.331312,10397157.0,629.5037617813516,2003-11-01,4
2003,12,AL,6761224148.563335,11508268.0,587.5101404106452,2003-12-01,4
2004,1,AL,6598558178.8329525,11708402.910000002,563.5745737104081,2004-01-01,1
2004,2,AL,5678808161.281294,10680462.05,531.7006075857264,2004-02-01,1
