fuel category,year,quarter,generation (MWh),total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),year_quarter,adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,1,5225804.0,56518000.0,55486000.0,5383339500.0,5285041500.0,2001 Q1,5347915473.07,1023.36702124,2256.11493503
Coal,2001,2,5855163.0,62942000.0,62546000.0,5995225500.0,5957506500.0,2001 Q2,6120557734.66,1045.32661766,2304.5270613
Coal,2001,3,7214921.0,76476000.0,76169000.0,7284339000.0,7255097250.0,2001 Q3,7590616076.91,1052.07195989,2319.39784277
Coal,2001,4,6468583.0,70462000.0,69485000.0,6711505500.0,6618446250.0,2001 Q4,6749891737.3,1043.48846375,2300.47466718
Coal,2002,1,5147881.0,55574000.0,54941000.0,5293423500.0,5233130250.0,2002 Q1,5541020375.5,1076.36916539,2372.96346202
Coal,2002,2,5523691.0,59515000.0,58570000.0,5668803750.0,5578792500.0,2002 Q2,5781520734.43,1046.67707416,2307.50427769
Coal,2002,3,6478911.0,70552000.0,70068000.0,6720078000.0,6673977000.0,2002 Q3,6814244107.21,1051.75763446,2318.70488092
Coal,2002,4,5947886.0,64691000.0,63834000.0,6161817750.0,6080188500.0,2002 Q4,6074253297.39,1021.24574973,2251.43837986
Coal,2003,1,4737427.0,50872000.0,50081000.0,4845558000.0,4770215250.0,2003 Q1,4854963278.36,1024.81015082,2259.29645849
Coal,2003,2,5065003.0,53836000.0,53234000.0,5127879000.0,5070538500.0,2003 Q2,5295452386.39,1045.49837115,2304.90570905
Coal,2003,3,7034784.0,72317000.0,71759000.0,6888194250.0,6835044750.0,2003 Q3,7382371696.33,1049.40986053,2313.52897853
Coal,2003,4,6666952.0,69794000.0,69256000.0,6647878500.0,6596634000.0,2003 Q4,7103052459.72,1065.41226931,2348.80788893
Coal,2004,1,5943398.15,62576220.0,61702650.0,5960384955.0,5877177412.5,2004 Q1,6196205325.2,1042.53579666,2298.37441732
Coal,2004,2,5645017.04,58878710.0,58133840.0,5608197127.5,5537248260.0,2004 Q2,5865729066.11,1039.09855799,2290.79668095
Coal,2004,3,7378582.19,76044620.0,75357350.0,7243250055.0,7177787587.5,2004 Q3,7556936148.56,1024.17184684,2257.88925353
Coal,2004,4,6386565.3,66273190.0,65523510.0,6312521347.5,6241114327.5,2004 Q4,6377300504.67,998.549330525,2201.40185408
Coal,2005,1,6128882.3,63633750.0,62813430.0,6061114687.5,5982979207.5,2005 Q1,6185317567.38,1009.20808471,2224.90014354
Coal,2005,2,5400885.45,56694970.0,55993720.0,5400195892.5,5333401830.0,2005 Q2,5609182006.38,1038.56711243,2289.62505607
Coal,2005,3,5856751.72,62385010.0,61975630.0,5942172202.5,5903178757.5,2005 Q3,6260729638.43,1068.97644594,2356.66547273
Coal,2005,4,5650624.17,58360870.0,57677790.0,5558872867.5,5493809497.5,2005 Q4,5545957274.86,981.476932107,2163.76404452
Coal,2006,1,5512691.19,56973730.0,56160770.0,5426747782.5,5349313342.5,2006 Q1,5405140388.37,980.490327152,2161.58897524
Coal,2006,2,5767976.94,60143910.0,59627700.0,5728707427.5,5679538425.0,2006 Q2,5891827052.02,1021.47201927,2251.93721369
Coal,2006,3,7233948.07,75104470.0,74455490.0,7153700767.5,7091885422.5,2006 Q3,7495061186.09,1036.09551984,2284.17618304
Coal,2006,4,5668433.66,59066830.0,58109120.0,5626115557.5,5534893680.0,2006 Q4,5755850311.16,1015.42165903,2238.59858951
Coal,2007,1,6601327.88,69131640.0,67957400.0,6584788710.0,6472942350.0,2007 Q1,6769450304.54,1025.46797063,2260.74668804
Coal,2007,2,5822006.37,61239020.0,60364660.0,5833016655.0,5749733865.0,2007 Q2,5976871827.22,1026.60001508,2263.24239324
Coal,2007,3,7314262.46,76902320.0,76026670.0,7324945980.0,7241540317.5,2007 Q3,7518489992.34,1027.92182171,2266.15644814
Coal,2007,4,6006583.16,62481580.0,61500390.0,5951370495.0,5857912147.5,2007 Q4,5864122542.68,976.282586368,2152.31258991
Coal,2008,1,6397844.02,66782910.0,65835800.0,6361072177.5,6270859950.0,2008 Q1,6356670532.86,993.564474686,2190.41224089
Coal,2008,2,5568218.77,57648990.0,56880440.0,5491066297.5,5417861910.0,2008 Q2,5592502298.32,1004.36109451,2214.21446896
Coal,2008,3,7225210.64,75931780.0,75132930.0,7232502045.0,7156411582.5,2008 Q3,7196705292.1,996.054738149,2195.90227572
Coal,2008,4,6923380.64,72998480.0,72167260.0,6953105220.0,6873931515.0,2008 Q4,6800082355.54,982.191029084,2165.33834272
Coal,2009,1,5539060.83,57036720.0,56289450.0,5432747580.0,5361570112.5,2009 Q1,5455945631.17,984.994712754,2171.51934374
Coal,2009,2,5740739.16,59593500.0,59080980.0,5676280875.0,5627463345.0,2009 Q2,5648395106.32,983.914257188,2169.1373714
Coal,2009,3,7498812.47,77032180.0,76497450.0,7337315145.0,7286382112.5,2009 Q3,7375643167.78,983.574825653,2168.38906063
Coal,2009,4,6296637.83,66023150.0,65323870.0,6288705037.5,6222098617.5,2009 Q4,6096264957.38,968.177799322,2134.44477639
Coal,2010,1,6325175.86,64562060.0,63791420.0,6149536215.0,6076132755.0,2010 Q1,6042263438.12,955.272006954,2105.99266653
Coal,2010,2,7197767.59,73428600.0,72683670.0,6994074150.0,6923119567.5,2010 Q2,6925278260.78,962.142521857,2121.13940369
Coal,2010,3,7797157.3,81031410.0,80434390.0,7718241802.5,7661375647.5,2010 Q3,7689620115.14,986.208155009,2174.19449853
Coal,2010,4,6832344.34,70968120.0,70181310.0,6759713430.0,6684769777.5,2010 Q4,6686630352.59,978.672915157,2157.58230876
Coal,2011,1,7766554.5,81150720.0,80308700.0,7729606080.0,7649403675.0,2011 Q1,7578360921.04,975.768717137,2151.1797138
Coal,2011,2,6411409.47,66745210.0,66091690.0,6357481252.5,6295233472.5,2011 Q2,6333655567.31,987.872572629,2177.86387362
Coal,2011,3,8296866.37,84753160.0,84252750.0,8072738490.0,8025074437.5,2011 Q3,8196997686.1,987.963083959,2178.0634149
Coal,2011,4,6943365.11,71179530.0,70501760.0,6779850232.5,6715292640.0,2011 Q4,6983157194.29,1005.73095087,2217.23445428
Coal,2012,1,7603126.35,79945400.0,79193260.0,7614799350.0,7543158015.0,2012 Q1,7791766763.69,1024.81090081,2259.29811192
Coal,2012,2,6806164.98,69895420.0,69337720.0,6657538755.0,6604417830.0,2012 Q2,7093811658.8,1042.26266622,2297.77227395
Coal,2012,3,7545414.83,79330520.0,78780880.0,7556232030.0,7503878820.0,2012 Q3,7897198701.92,1046.62220432,2307.38331165
Coal,2012,4,6476223.78,65649660.0,64863100.0,6253130115.0,6178210275.0,2012 Q4,6367392990.73,983.195332193,2167.55242935
Coal,2013,1,7610028.93,77147500.0,76325230.0,7348299375.0,7269978157.5,2013 Q1,7423292947.92,975.46185648,2150.5032088
Coal,2013,2,7608559.04,77118060.0,76532920.0,7345495215.0,7289760630.0,2013 Q2,7581015010.72,996.379862582,2196.61904505
Coal,2013,3,9380052.72,96265320.0,95782390.0,9169271730.0,9123272647.5,2013 Q3,9436953092.04,1006.06610365,2217.97333211
Coal,2013,4,7290593.87,74448090.0,73916610.0,7091180572.5,7040557102.5,2013 Q4,7121150622.24,976.758649463,2153.36211861
Coal,2014,1,8967153.25,90957540.0,90288960.0,8663705685.0,8600023440.0,2014 Q1,8699542316.45,970.156533953,2138.80709475
Coal,2014,2,8163161.55,82399050.0,81986340.0,7848509512.5,7809198885.0,2014 Q2,7900033683.55,967.766426667,2133.53786423
Coal,2014,3,8840491.91,90035370.0,89699040.0,8575868992.5,8543833560.0,2014 Q3,8639656544.39,977.282331385,2154.51662777
Coal,2014,4,7249948.08,72458850.0,72124240.0,6901705462.5,6869833860.0,2014 Q4,6832224429.05,942.382532076,2077.57653021
Coal,2015,1,5345163.17,54405860.0,53989850.0,5182158165.0,5142533212.5,2015 Q1,5130963944.26,959.926531908,2116.25403224
Coal,2015,2,5575732.17,56296260.0,55934390.0,5362218765.0,5327750647.5,2015 Q2,5435579205.39,974.863755945,2149.18463636
Coal,2015,3,7130576.59,74214300.0,73831850.0,7068912075.0,7032483712.5,2015 Q3,6983197629.47,979.331410488,2159.03402756
Coal,2015,4,3688560.86,39192690.0,38809290.0,3733103722.5,3696584872.5,2015 Q4,3748437328.9,1016.23301639,2240.38730793
Coal,2016,1,4742399.45,49099530.0,48707330.0,4676730232.5,4639373182.5,2016 Q1,4755003631.99,1002.65776473,2210.45930812
Coal,2016,2,4118799.76,42133970.0,41821900.0,4013260642.5,3983535975.0,2016 Q2,4049065795.43,983.0693482,2167.27468504
Coal,2016,3,8131772.01,83406490.0,83048040.0,7944468172.5,7910325810.0,2016 Q3,7947017306.65,977.279896298,2154.51125938
Coal,2016,4,6807099.07,68664790.0,68334520.0,6540321247.5,6508863030.0,2016 Q4,6534967217.53,960.022345837,2116.46526363
Coal,2017,1,6182614.15,63029570.0,62654390.0,6003566542.5,5967830647.5,2017 Q1,6025656040.3,974.612986369,2148.63178975
Natural Gas,2001,1,389834.0,6165000.0,4381000.0,327176550.0,232499670.0,2001 Q1,235265623.302,603.502063192,1330.48064851
Natural Gas,2001,2,563537.0,7459000.0,6799000.0,395849130.0,360822930.0,2001 Q2,370698307.262,657.806510064,1450.20023209
Natural Gas,2001,3,1057126.0,12835000.0,11660000.0,681153450.0,618796200.0,2001 Q3,647413014.905,612.427482537,1350.157628
Natural Gas,2001,4,696403.0,8626000.0,6230000.0,457781820.0,330626100.0,2001 Q4,337192491.444,484.191612391,1067.44882868
Natural Gas,2002,1,620346.0,8831000.0,5644000.0,468661170.0,299527080.0,2002 Q1,317149693.206,511.24645473,1127.0939341
Natural Gas,2002,2,1034591.0,13806000.0,10819000.0,732684420.0,574164330.0,2002 Q2,595028938.407,575.134462224,1267.94143542
Natural Gas,2002,3,2238208.0,22989000.0,20511000.0,1220026230.0,1088518770.0,2002 Q3,1111396190.62,496.556258675,1094.70792787
Natural Gas,2002,4,709813.0,8192000.0,6499000.0,434749440.0,344901930.0,2002 Q4,344565252.472,485.431025456,1070.18123872
Natural Gas,2003,1,1079079.0,10517000.0,7586000.0,558137190.0,402589020.0,2003 Q1,409741448.956,379.714042212,837.117577461
Natural Gas,2003,2,2038634.0,17437000.0,15088000.0,925381590.0,800720160.0,2003 Q2,836237705.74,410.195113855,904.316148006
Natural Gas,2003,3,2967225.0,25301000.0,23153000.0,1342724070.0,1228729710.0,2003 Q3,1327122171.88,447.260376912,986.03022694
Natural Gas,2003,4,1215922.0,11381000.0,9115000.0,603989670.0,483733050.0,2003 Q4,520868859.884,428.373579789,944.392394002
Natural Gas,2004,1,1002787.12,11058740.0,6689420.0,586887331.8,355007519.4,2004 Q1,374278216.872,373.237957895,822.840401975
Natural Gas,2004,2,1501338.48,13832260.0,10236800.0,734078038.2,543266976.0,2004 Q2,575494675.722,383.321072089,845.069635528
Natural Gas,2004,3,1715653.31,15778770.0,12458650.0,837379323.9,661180555.5,2004 Q3,696105753.991,405.738006585,894.490009318
Natural Gas,2004,4,848984.8,9538740.0,5653210.0,506220931.8,300015854.7,2004 Q4,306562444.011,361.092971288,796.065564502
Natural Gas,2005,1,664918.35,8320920.0,4519400.0,441591224.4,239844558.0,2005 Q1,247955860.548,372.911742544,822.121227613
Natural Gas,2005,2,1577420.0,14699820.0,11811710.0,780119447.4,626847449.7,2005 Q2,659260552.21,417.935966458,921.381631653
