fuel category,year,quarter,generation (MWh),total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),year_quarter,adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,1,8971491.0,96060000.0,94882000.0,9149715000.0,9037510500.0,2001 Q1,9528958030.52,1062.13761241,2341.58858032
Coal,2001,2,8891489.0,96188000.0,95093000.0,9161907000.0,9057608250.0,2001 Q2,9532315898.13,1072.07194409,2363.48980795
Coal,2001,3,9290322.0,100074000.0,98847000.0,9532048500.0,9415176750.0,2001 Q3,9832563237.38,1058.36624795,2333.27423023
Coal,2001,4,8797726.0,94407000.0,93251000.0,8992266750.0,8882157750.0,2001 Q4,9106437063.9,1035.08987026,2281.95912797
Coal,2002,1,8526802.0,91475000.0,90551000.0,8712993750.0,8624982750.0,2002 Q1,8962967301.39,1051.15227273,2317.37030045
Coal,2002,2,8704675.0,93421000.0,92403000.0,8898350250.0,8801385750.0,2002 Q2,9231885799.32,1060.56639671,2338.1246782
Coal,2002,3,9118704.0,98032000.0,96872000.0,9337548000.0,9227058000.0,2002 Q3,9774367159.54,1071.90310811,2363.11759214
Coal,2002,4,9038070.0,97701000.0,96810000.0,9306020250.0,9221152500.0,2002 Q4,9661667917.21,1068.996801,2356.71034748
Coal,2003,1,8781734.0,92616000.0,91383000.0,8821674000.0,8704230750.0,2003 Q1,9232985791.73,1051.38527217,2317.88397103
Coal,2003,2,8692616.0,91440000.0,90253000.0,8709660000.0,8596598250.0,2003 Q2,9269485120.46,1066.3631202,2350.90413479
Coal,2003,3,9417367.0,100190000.0,98773000.0,9543097500.0,9408128250.0,2003 Q3,10045134869.9,1066.66065684,2351.56008407
Coal,2003,4,9223907.0,97177000.0,95895000.0,9256109250.0,9133998750.0,2003 Q4,9778736945.89,1060.15129445,2337.20954373
Coal,2004,1,9309353.73,98284250.0,96806220.0,9361574812.5,9220792455.0,2004 Q1,9707011710.43,1042.71595988,2298.77160515
Coal,2004,2,8361283.5,89465680.0,88246970.0,8521606020.0,8405523892.5,2004 Q2,8922626478.61,1067.13598201,2352.60798593
Coal,2004,3,9308183.76,97642580.0,96220820.0,9300455745.0,9165033105.0,2004 Q3,9829585171.92,1056.01537586,2328.09149763
Coal,2004,4,8869569.49,93136470.0,91732620.0,8871248767.5,8737532055.0,2004 Q4,9337951791.87,1052.80778311,2321.02003863
Coal,2005,1,9163389.81,96424180.0,94848840.0,9184403145.0,9034352010.0,2005 Q1,9698356484.82,1058.38087061,2333.30646734
Coal,2005,2,8790128.47,93081220.0,91560070.0,8865986205.0,8721096667.5,2005 Q2,9345937004.19,1063.230991,2343.99904276
Coal,2005,3,9103691.26,96350610.0,94658580.0,9177395602.5,9016229745.0,2005 Q3,9661272938.9,1061.24786781,2339.62704938
