fuel category,year,quarter,generation (MWh),total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),year_quarter,adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,1,1062904.0,10996000.0,10323000.0,1047369000.0,983265750.0,2001 Q1,1143539103.77,1075.86301658,2371.84760635
Coal,2001,2,941680.0,9878000.0,9208000.0,940879500.0,877062000.0,2001 Q2,1042510153.97,1107.0747536,2440.65700179
Coal,2001,3,994321.0,10312000.0,9756000.0,982218000.0,929259000.0,2001 Q3,1071373162.7,1077.49224113,2375.4393948
Coal,2001,4,736877.0,8704000.0,8135000.0,829056000.0,774858750.0,2001 Q4,905414860.349,1228.71912185,2708.83417602
Coal,2002,1,908143.0,9356000.0,9128000.0,891159000.0,869442000.0,2002 Q1,973020683.387,1071.43994215,2362.09649647
Coal,2002,2,808299.0,8690000.0,8436000.0,827722500.0,803529000.0,2002 Q2,929210039.234,1149.58702069,2534.3795458
Coal,2002,3,700376.0,7502000.0,7244000.0,714565500.0,689991000.0,2002 Q3,805124548.796,1149.56044867,2534.32096513
Coal,2002,4,810385.0,8557000.0,8296000.0,815054250.0,790194000.0,2002 Q4,965398122.056,1191.28330615,2626.30317674
Coal,2003,1,1099231.0,11097000.0,10821000.0,1056989250.0,1030700250.0,2003 Q1,1223184679.58,1112.76399554,2453.19950456
Coal,2003,2,1089390.0,10706000.0,10461000.0,1019746500.0,996410250.0,2003 Q2,1221016562.08,1120.82593201,2470.97284972
Coal,2003,3,1070525.0,10473000.0,10239000.0,997553250.0,975264750.0,2003 Q3,1185369005.96,1107.27821018,2441.10554217
Coal,2003,4,941150.0,9488000.0,9237000.0,903732000.0,879824250.0,2003 Q4,1079853756.93,1147.37688671,2529.50708444
Coal,2004,1,1155800.26,11792170.0,11280460.0,1123204192.5,1074463815.0,2004 Q1,1267201333.9,1096.38436481,2417.08897065
Coal,2004,2,1038957.11,10518870.0,10186870.0,1001922367.5,970299367.5,2004 Q2,1184913734.24,1140.48378209,2514.31054599
Coal,2004,3,1059195.99,11051740.0,10643680.0,1052678235.0,1013810520.0,2004 Q3,1191387167.43,1124.80332128,2479.74140208
Coal,2004,4,1001118.54,10534070.0,9840820.0,1003370167.5,937338105.0,2004 Q4,1144788482.92,1143.50942189,2520.98087151
Coal,2005,1,1089488.5,11344680.0,10842260.0,1080580770.0,1032725265.0,2005 Q1,1189086252.09,1091.41698337,2406.13788154
Coal,2005,2,1035665.28,10760830.0,10272050.0,1024969057.5,978412762.5,2005 Q2,1145264742.44,1105.82517784,2437.90218706
Coal,2005,3,1016338.3,10692630.0,10297260.0,1018473007.5,980814015.0,2005 Q3,1122516539.06,1104.47135473,2434.91754864
Coal,2005,4,854999.58,9078620.0,8659870.0,864738555.0,824852617.5,2005 Q4,959741085.539,1122.50474502,2474.67396087
Coal,2006,1,1116055.23,11956580.0,11373820.0,1138864245.0,1083356355.0,2006 Q1,1237515812.84,1108.83026178,2444.52719512
Coal,2006,2,1046440.61,11268120.0,10687920.0,1073288430.0,1018024380.0,2006 Q2,1159738705.8,1108.26997224,2443.29198081
Coal,2006,3,1140482.28,11918130.0,11425580.0,1135201882.5,1088286495.0,2006 Q3,1238568528.67,1086.00418472,2394.20482562
Coal,2006,4,978537.68,10486570.0,9808160.0,998845792.5,934227240.0,2006 Q4,1082590960.71,1106.33548696,2439.02721455
Coal,2007,1,1097716.53,11707750.0,11089320.0,1115163187.5,1056257730.0,2007 Q1,1222278218.27,1113.47345591,2454.76358091
Coal,2007,2,1010393.64,10654450.0,10134240.0,1014836362.5,965286360.0,2007 Q2,1119581203.64,1108.06438137,2442.83873516
Coal,2007,3,1081911.08,11521540.0,10840330.0,1097426685.0,1032541432.5,2007 Q3,1167601226.72,1079.20257802,2379.2100035
Coal,2007,4,548701.29,5962120.0,5403220.0,567891930.0,514656705.0,2007 Q4,613103267.633,1117.37165341,2463.3575471
Coal,2008,1,1115184.84,11653980.0,11042560.0,1110041595.0,1051803840.0,2008 Q1,1217216768.81,1091.49328896,2406.30610484
Coal,2008,2,986087.32,10182750.0,9701920.0,969906937.5,924107880.0,2008 Q2,1077833247.12,1093.04036798,2409.71679526
Coal,2008,3,1186185.0,12102390.0,11580640.0,1152752647.5,1103055960.0,2008 Q3,1286537944.29,1084.60142751,2391.11230709
Coal,2008,4,1099150.61,11248510.0,10738420.0,1071420577.5,1022834505.0,2008 Q4,1193613206.0,1085.94144891,2394.06651827
Coal,2009,1,811012.31,8444670.0,7979900.0,804354817.5,760085475.0,2009 Q1,888761191.411,1095.86646276,2415.94720379
Coal,2009,2,385583.75,4276590.0,3720770.0,407345197.5,354403342.5,2009 Q2,432502672.818,1121.68283238,2472.86197226
Coal,2009,3,497206.5,5398990.0,4835280.0,514253797.5,460560420.0,2009 Q3,532233756.74,1070.44810705,2359.90989681
Coal,2009,4,759694.92,8144850.0,7593220.0,775796962.5,723254205.0,2009 Q4,837208209.734,1102.03212855,2429.5400306
Coal,2010,1,686084.21,7485780.0,6890490.0,713020545.0,656319172.5,2010 Q1,760062494.96,1107.82682925,2442.31502776
Coal,2010,2,571735.17,6435590.0,5829170.0,612989947.5,555228442.5,2010 Q2,643700291.107,1125.87142594,2482.09614562
Coal,2010,3,834538.44,9036990.0,8410530.0,860773297.5,801102982.5,2010 Q3,898634956.386,1076.80475016,2373.92375221
Coal,2010,4,512041.07,5752750.0,5204770.0,547949437.5,495754342.5,2010 Q4,568725473.399,1110.70284538,2448.65549292
