fuel category,year,quarter,generation (MWh),total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),year_quarter,adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,1,20081719.0,229336000.0,219235000.0,21844254000.0,20882133750.0,2001 Q1,22793728051.3,1135.04865053,2502.32825496
Coal,2001,2,18628055.0,217389000.0,207443000.0,20706302250.0,19758945750.0,2001 Q2,21769664669.7,1168.64936622,2576.40439277
Coal,2001,3,22315274.0,262982000.0,252917000.0,25049035500.0,24090344250.0,2001 Q3,25781523842.5,1155.3308215,2547.04232908
Coal,2001,4,18525588.0,213113000.0,203465000.0,20299013250.0,19380041250.0,2001 Q4,20859989349.3,1126.00956846,2482.40069462
Coal,2002,1,20077628.0,219836000.0,207082000.0,20939379000.0,19724560500.0,2002 Q1,20674985866.1,1029.75241229,2270.19216814
Coal,2002,2,20341402.0,220897000.0,210395000.0,21040439250.0,20040123750.0,2002 Q2,20902340923.3,1027.57621738,2265.39452883
Coal,2002,3,24955336.0,274230000.0,264120000.0,26120407500.0,25157430000.0,2002 Q3,25394493470.7,1017.59773824,2243.39597373
Coal,2002,4,21310980.0,234492000.0,224069000.0,22335363000.0,21342572250.0,2002 Q4,22297147681.4,1046.27509769,2306.61808037
Coal,2003,1,22318143.0,241999000.0,232778000.0,23050404750.0,22172104500.0,2003 Q1,23052640722.4,1032.91034216,2277.15414032
Coal,2003,2,18928780.0,207876000.0,200812000.0,19800189000.0,19127343000.0,2003 Q2,19933284633.5,1053.06758457,2321.59279695
Coal,2003,3,24583239.0,267602000.0,259397000.0,25489090500.0,24707564250.0,2003 Q3,25924050464.4,1054.54169259,2324.84261548
Coal,2003,4,22151187.0,242787000.0,233260000.0,23125461750.0,22218015000.0,2003 Q4,23279203790.1,1050.92353697,2316.86602961
Coal,2004,1,24077081.97,262881330.0,249842950.0,25039446682.5,23797540987.5,2004 Q1,24775965444.0,1029.02691758,2268.5927425
Coal,2004,2,21285277.43,234754840.0,222894430.0,22360398510.0,21230694457.5,2004 Q2,21721784285.4,1020.50745436,2249.81073387
Coal,2004,3,24748850.66,272011710.0,259363680.0,25909115377.5,24704390520.0,2004 Q3,25728757228.7,1039.59402326,2291.88898368
Coal,2004,4,24290417.57,262812860.0,251056270.0,25032924915.0,23913109717.5,2004 Q4,24882989284.9,1024.39528728,2258.38185035
Coal,2005,1,22953562.18,251114150.0,237690390.0,23918622787.5,22640009647.5,2005 Q1,23235238423.9,1012.27156995,2231.65390311
Coal,2005,2,20838115.15,229523670.0,217776460.0,21862129567.5,20743207815.0,2005 Q2,21576212922.6,1035.4205631,2282.68817341
Coal,2005,3,25159865.66,279366470.0,265549450.0,26609656267.5,25293585112.5,2005 Q3,26291103269.5,1044.96198926,2303.72320152
Coal,2005,4,23313646.72,254616930.0,240935970.0,24252262582.5,22949151142.5,2005 Q4,23529784030.7,1009.27084953,2225.03851487
Coal,2006,1,23099730.69,256934060.0,243237070.0,24472969215.0,23168330917.5,2006 Q1,23743336344.4,1027.86204147,2266.02465662
Coal,2006,2,19741857.7,220412210.0,207483860.0,20994263002.5,19762837665.0,2006 Q2,20606205715.3,1043.78250661,2301.12291407
Coal,2006,3,25007365.27,274124210.0,260481690.0,26110331002.5,24810880972.5,2006 Q3,26142339154.3,1045.38558429,2304.65705912
Coal,2006,4,23799809.87,261155580.0,247840090.0,24875068995.0,23606768572.5,2006 Q4,24324846639.9,1022.06054472,2253.23467688
Coal,2007,1,25287247.65,277774280.0,264000250.0,26458000170.0,25146023812.5,2007 Q1,25521708426.0,1009.2718978,2225.0408259
Coal,2007,2,20918635.96,233676870.0,220439680.0,22257721867.5,20996879520.0,2007 Q2,21732232924.7,1038.89340425,2290.344399
Coal,2007,3,25455849.07,282514260.0,269863050.0,26909483265.0,25704455512.5,2007 Q3,26194134217.4,1029.00257404,2268.53907473
Coal,2007,4,23603181.13,258553630.0,245745050.0,24627233257.5,23407216012.5,2007 Q4,23980553815.2,1015.98821291,2239.84761418
Coal,2008,1,25238867.72,276323820.0,262630100.0,26319843855.0,25015517025.0,2008 Q1,25747004691.2,1020.13311282,2248.98546052
Coal,2008,2,21611294.14,241193910.0,228558790.0,22973719927.5,21770224747.5,2008 Q2,22286349272.3,1031.23621972,2273.46337
Coal,2008,3,25638320.66,287013080.0,273426450.0,27337995870.0,26043869362.5,2008 Q3,27058888168.9,1055.40797807,2326.75242845
Coal,2008,4,24155555.79,264950740.0,251274340.0,25236557985.0,23933880885.0,2008 Q4,24970206256.7,1033.72517999,2278.9505318
Coal,2009,1,21884151.59,239701660.0,227518020.0,22831583115.0,21671091405.0,2009 Q1,22818093225.2,1042.67662063,2298.68487784
Coal,2009,2,20814142.8,232375090.0,221025610.0,22133727322.5,21052689352.5,2009 Q2,21739535471.8,1044.4598022,2302.61607993
Coal,2009,3,23392935.28,259486650.0,248962060.0,24716103412.5,23713636215.0,2009 Q3,24342733660.8,1040.60193257,2294.11102054
Coal,2009,4,23875630.43,262161520.0,249188430.0,24970884780.0,23735197957.5,2009 Q4,24048595244.5,1007.24440827,2220.57102247
Coal,2010,1,25024149.96,273026990.0,259225370.0,26005820797.5,24691216492.5,2010 Q1,25283343381.8,1010.35773132,2227.43465447
Coal,2010,2,19973419.91,220739070.0,209847930.0,21025396417.5,19988015332.5,2010 Q2,20566242424.7,1029.68057135,2270.0337876
Coal,2010,3,24759011.08,275443800.0,262839030.0,26236021950.0,25035417607.5,2010 Q3,25778304014.2,1041.16856408,2295.36021637
Coal,2010,4,23854784.08,260727240.0,248020680.0,24834269610.0,23623969770.0,2010 Q4,24725191281.6,1036.48774177,2285.04087551
Coal,2011,1,23352884.21,257954860.0,244216980.0,24570200415.0,23261667345.0,2011 Q1,24297763015.3,1040.46090396,2293.80010888
Coal,2011,2,20597204.79,229654230.0,217444120.0,21874565407.5,20711552430.0,2011 Q2,21730273112.3,1055.01078102,2325.87676783
Coal,2011,3,24236206.08,272716030.0,259895090.0,25976201857.5,24755007322.5,2011 Q3,25754560628.8,1062.64819435,2342.71420926
Coal,2011,4,21827030.31,243557540.0,230862240.0,23198855685.0,21989628360.0,2011 Q4,22804651187.8,1044.78945894,2303.34284117
Coal,2012,1,19632850.92,222255950.0,209182680.0,21169879237.5,19924650270.0,2012 Q1,20238736781.2,1030.86081913,2272.63576185
Coal,2012,2,18295874.76,207334180.0,196318110.0,19748580645.0,18699299977.5,2012 Q2,19274810707.4,1053.50582906,2322.55895075
Coal,2012,3,21957160.67,250566900.0,238417350.0,23866497225.0,22709252587.5,2012 Q3,23453523878.0,1068.14921248,2354.84175383
Coal,2012,4,20940891.31,234695030.0,222599410.0,22354701607.5,21202593802.5,2012 Q4,21956106278.1,1048.48002662,2311.47906668
Coal,2013,1,22677043.8,249996160.0,237338500.0,23812134240.0,22606492125.0,2013 Q1,23075360084.5,1017.56473586,2243.32321669
Coal,2013,2,19199906.24,213957340.0,202446790.0,20379436635.0,19283056747.5,2013 Q2,19731907116.9,1027.70851431,2265.68619065
Coal,2013,3,23503042.78,261643280.0,249618680.0,24921522420.0,23776179270.0,2013 Q3,24206076440.7,1029.91245292,2270.54499371
Coal,2013,4,22547146.66,248376690.0,235914950.0,23657879722.5,22470898987.5,2013 Q4,22754188729.2,1009.1826284,2224.84402257
