fuel category,year,quarter,generation (MWh),total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),year_quarter,adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,1,29116941.0,302756000.0,301067000.0,28837509000.0,28676631750.0,2001 Q1,30728553742.8,1055.34965856,2326.62385727
Coal,2001,2,27172959.0,283322000.0,281706000.0,26986420500.0,26832496500.0,2001 Q2,28837398753.6,1061.25353347,2339.63953989
Coal,2001,3,31472573.0,333637000.0,331576000.0,31778924250.0,31582614000.0,2001 Q3,33452359820.0,1062.90514665,2343.2806863
Coal,2001,4,28304037.0,297632000.0,296030000.0,28349448000.0,28196857500.0,2001 Q4,29430603450.8,1039.80232399,2292.34820346
Coal,2002,1,28220513.0,284408000.0,282760000.0,27089862000.0,26932890000.0,2002 Q1,29154079702.7,1033.08113863,2277.53067822
Coal,2002,2,27109417.0,274554000.0,272983000.0,26151268500.0,26001630750.0,2002 Q2,28159860531.2,1038.74828924,2290.02447847
Coal,2002,3,32748787.0,337530000.0,335692000.0,32149732500.0,31974663000.0,2002 Q3,33920446332.4,1035.7771826,2283.47437676
Coal,2002,4,29580983.0,300635000.0,299052000.0,28635483750.0,28484703000.0,2002 Q4,30151738137.5,1019.29466433,2247.13701698
Coal,2003,1,30524850.0,311306000.0,308676000.0,29651896500.0,29401389000.0,2003 Q1,30477024950.7,998.433242118,2201.14592557
Coal,2003,2,27944457.0,291832000.0,289954000.0,27796998000.0,27618118500.0,2003 Q2,28755555768.7,1029.02539021,2268.58937526
Coal,2003,3,31216539.0,327849000.0,325820000.0,31227617250.0,31034355000.0,2003 Q3,32159762211.5,1030.21549607,2271.21308264
Coal,2003,4,28070435.0,292007000.0,289716000.0,27813666750.0,27595449000.0,2003 Q4,28686528379.8,1021.9481237,2252.98683352
Coal,2004,1,30015982.91,308640200.0,306084550.0,29397979050.0,29154553387.5,2004 Q1,30740910143.9,1024.15137415,2257.84411946
Coal,2004,2,28708608.16,299401040.0,297052380.0,28517949060.0,28294239195.0,2004 Q2,29721605395.1,1035.28548753,2282.3903858
Coal,2004,3,31078378.0,326685140.0,324138300.0,31116759585.0,30874173075.0,2004 Q3,32176671290.7,1035.33946626,2282.50938731
Coal,2004,4,30867962.85,318391720.0,315935190.0,30326811330.0,30092826847.5,2004 Q4,31810122510.4,1030.52224939,2271.88935102
Coal,2005,1,30715694.36,317763430.0,315065690.0,30266966707.5,30010006972.5,2005 Q1,31764375355.9,1034.14153636,2279.86843107
Coal,2005,2,28812249.41,298759970.0,296371600.0,28456887142.5,28229394900.0,2005 Q2,29456487833.9,1022.35987946,2253.89459026
Coal,2005,3,33045738.85,348660890.0,345734340.0,33209949772.5,32931195885.0,2005 Q3,33888740631.2,1025.5101508,2260.83967845
Coal,2005,4,30259795.73,315334250.0,312858170.0,30035587312.5,29799740692.5,2005 Q4,30652141430.7,1012.96590711,2233.18463882
Coal,2006,1,30535087.69,316703220.0,314106170.0,30165981705.0,29918612692.5,2006 Q1,31244548084.2,1023.23426746,2255.82226604
Coal,2006,2,29920694.26,309448480.0,307036190.0,29474967720.0,29245197097.5,2006 Q2,30608525942.1,1022.98849339,2255.28043252
Coal,2006,3,32462444.46,341687320.0,339032880.0,32545717230.0,32292881820.0,2006 Q3,33403974246.9,1029.00366262,2268.54147461
Coal,2006,4,30727240.49,317403220.0,314990250.0,30232656705.0,30002821312.5,2006 Q4,30199493456.0,982.824782651,2166.73551583
Coal,2007,1,32326199.41,332025640.0,328923020.0,31625442210.0,31329917655.0,2007 Q1,32228191245.0,996.968150703,2197.91598504
