fuel category,year,quarter,generation (MWh),total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),year_quarter,adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,1,3154208.0,30713000.0,30389000.0,2925413250.0,2894552250.0,2001 Q1,3054407368.68,968.359527552,2134.84541444
Coal,2001,2,2479790.0,24151000.0,23876000.0,2300382750.0,2274189000.0,2001 Q2,2447933094.77,987.153385878,2176.27835451
Coal,2001,3,2525323.0,25126000.0,24847000.0,2393251500.0,2366676750.0,2001 Q3,2506038082.73,992.363385883,2187.76432052
Coal,2001,4,2892012.0,28637000.0,28421000.0,2727674250.0,2707100250.0,2001 Q4,2847259885.46,984.525612431,2170.48516517
Coal,2002,1,2736994.0,27301000.0,27054000.0,2600420250.0,2576893500.0,2002 Q1,2676370804.33,977.850446266,2155.76909384
Coal,2002,2,2454740.0,24168000.0,23926000.0,2302002000.0,2278951500.0,2002 Q2,2379888431.55,969.507333382,2137.37586717
Coal,2002,3,2900967.0,28746000.0,28509000.0,2738056500.0,2715482250.0,2002 Q3,2854388928.11,983.943949761,2169.20283164
Coal,2002,4,3410158.0,35947000.0,35769000.0,3423951750.0,3406997250.0,2002 Q4,3312038511.43,971.227289595,2141.16768264
Coal,2003,1,3013233.0,29914000.0,29620000.0,2849308500.0,2821305000.0,2003 Q1,2898716194.64,961.995369971,2120.81499264
Coal,2003,2,2410881.0,23848000.0,23569000.0,2271522000.0,2244947250.0,2003 Q2,2301553339.85,954.652402941,2104.62668752
Coal,2003,3,2896687.0,28644000.0,28279000.0,2728341000.0,2693574750.0,2003 Q3,2857508349.36,986.474668945,2174.78205516
Coal,2003,4,2575688.0,25672000.0,25340000.0,2445258000.0,2413635000.0,2003 Q4,2554005528.89,991.581872063,2186.04139515
Coal,2004,1,2836989.45,27799460.0,27454060.0,2647898565.0,2614999215.0,2004 Q1,2746822826.96,968.217497939,2134.53229596
Coal,2004,2,2271102.71,22818990.0,22542500.0,2173508797.5,2147173125.0,2004 Q2,2338358492.63,1029.61371246,2269.8863905
Coal,2004,3,2797212.54,27861530.0,27520980.0,2653810732.5,2621373345.0,2004 Q3,2741455120.49,980.066791952,2160.65524954
Coal,2004,4,2621057.02,25709050.0,25389860.0,2448787012.5,2418384165.0,2004 Q4,2578902439.19,983.916953929,2169.14331663
Coal,2005,1,3050364.21,30043800.0,29630750.0,2861671950.0,2822328937.5,2005 Q1,2975906743.14,975.590630583,2150.78710418
Coal,2005,2,2821625.39,27453030.0,27089420.0,2614901107.5,2580267255.0,2005 Q2,2752128928.12,975.370060772,2150.30083598
Coal,2005,3,3081966.45,30330700.0,29881140.0,2888999175.0,2846178585.0,2005 Q3,2960406816.45,960.55776871,2117.6456569
Coal,2005,4,3079590.44,30407940.0,30002070.0,2896356285.0,2857697167.5,2005 Q4,2985137771.68,969.329470864,2136.98375147
Coal,2006,1,2860425.97,28721840.0,28278970.0,2735755260.0,2693571892.5,2006 Q1,2825341705.91,987.734601608,2177.5597027
Coal,2006,2,2277766.28,23374770.0,22929430.0,2226446842.5,2184028207.5,2006 Q2,2270794352.73,996.939138429,2197.85202458
Coal,2006,3,3054777.68,30522630.0,30055740.0,2907280507.5,2862809235.0,2006 Q3,2931148270.88,959.529163143,2115.37799307
Coal,2006,4,2945371.54,29152910.0,28712930.0,2776814677.5,2734906582.5,2006 Q4,2887649682.26,980.402520715,2161.39539717
Coal,2007,1,3078979.51,30623280.0,30110280.0,2916867420.0,2868004170.0,2007 Q1,2982923414.48,968.802619436,2135.82225481
Coal,2007,2,3129030.48,30947850.0,30422880.0,2947782712.5,2897779320.0,2007 Q2,2933698858.37,937.574394727,2066.97651061
Coal,2007,3,3084933.21,31007220.0,30500750.0,2953437705.0,2905196437.5,2007 Q3,2944033592.52,954.326525767,2103.90825871
Coal,2007,4,2731403.75,27001870.0,26560210.0,2571928117.5,2529860002.5,2007 Q4,2596958354.14,950.777911959,2096.0849847
Coal,2008,1,2588934.22,25557900.0,25084580.0,2434389975.0,2389306245.0,2008 Q1,2441494083.59,943.049871539,2079.04774679
Coal,2008,2,2399616.97,24071050.0,23624820.0,2292767512.5,2250264105.0,2008 Q2,2307590186.77,961.649386389,2120.05223723
Coal,2008,3,2638091.55,27203820.0,26719380.0,2591163855.0,2545020945.0,2008 Q3,2604332657.52,987.203290014,2176.38837316
Coal,2008,4,3002045.64,30029700.0,29478990.0,2860328925.0,2807873797.5,2008 Q4,2889435468.47,962.488854255,2121.90292809
Coal,2009,1,2754152.92,27655170.0,27308870.0,2634154942.5,2601169867.5,2009 Q1,2645768173.98,960.646794434,2117.84192301
Coal,2009,2,2081843.8,21412170.0,21148910.0,2039509192.5,2014433677.5,2009 Q2,2094129068.48,1005.90114805,2217.60967099
Coal,2009,3,2103699.91,21715840.0,21449900.0,2068433760.0,2043102975.0,2009 Q3,2124394468.48,1009.83721984,2226.28713485
Coal,2009,4,2088413.29,21215080.0,20951700.0,2020736370.0,1995649425.0,2009 Q4,2070068971.2,991.216145342,2185.23511402
Coal,2010,1,2534955.95,24983650.0,24509640.0,2379692662.5,2334543210.0,2010 Q1,2436695414.79,961.237774087,2119.14479675
Coal,2010,2,1928124.11,19454820.0,19092980.0,1853071605.0,1818606345.0,2010 Q2,1919766168.6,995.665247189,2195.04360395
Coal,2010,3,2210688.33,22836110.0,22422700.0,2175139477.5,2135762175.0,2010 Q3,2208953576.25,999.215287961,2202.87002384
Coal,2010,4,1632122.02,16528530.0,16225700.0,1574342482.5,1545497925.0,2010 Q4,1656507352.19,1014.94087568,2237.53865452
Coal,2011,1,1926286.17,19763550.0,19047750.0,1882478137.5,1814298187.5,2011 Q1,1916195864.8,994.761782877,2193.05182653
Coal,2011,2,897812.65,9385220.0,9047250.0,893942205.0,861750562.5,2011 Q2,948374799.971,1056.31703894,2328.75654405
Coal,2011,3,870750.76,9484930.0,9156630.0,903439582.5,872169007.5,2011 Q3,942052789.646,1081.88569327,2385.12519938
Coal,2011,4,363957.78,4377400.0,4234420.0,416947350.0,403328505.0,2011 Q4,454898841.926,1249.86706405,2755.4569294
Coal,2012,1,564404.63,6346270.0,5965810.0,604482217.5,568243402.5,2012 Q1,631503313.474,1118.8840061,2466.69167984
Coal,2012,2,183060.96,2317380.0,2189350.0,220730445.0,208535587.5,2012 Q2,234762608.576,1282.42858868,2827.24206661
Coal,2012,3,753204.6,8410930.0,7906080.0,801141082.5,753054120.0,2012 Q3,802203571.219,1065.0539989,2348.01804597
Coal,2012,4,636251.88,6883990.0,6453780.0,655700047.5,614722545.0,2012 Q4,696929199.933,1095.36682223,2414.84569629
Coal,2013,1,1617745.03,16970740.0,16407320.0,1616462985.0,1562797230.0,2013 Q1,1688368576.36,1043.65554834,2300.84302187
Coal,2013,2,479583.29,5336180.0,5167310.0,508271145.0,492186277.5,2013 Q2,548934788.388,1144.60782899,2523.4024198
Coal,2013,3,829625.03,8898020.0,8621840.0,847536405.0,821230260.0,2013 Q3,886127138.891,1068.10559813,2354.74560163
Coal,2013,4,1032275.93,10887440.0,10530730.0,1037028660.0,1003052032.5,2013 Q4,1100307959.8,1065.90488824,2349.89391661
Coal,2014,1,1855583.45,19338970.0,18465850.0,1842036892.5,1758872212.5,2014 Q1,1875283544.75,1010.61665793,2228.00548408
Coal,2014,2,310672.85,3418790.0,3309780.0,325639747.5,315256545.0,2014 Q2,360551841.147,1160.55149701,2558.5518303
Coal,2014,3,185814.21,2136850.0,2052710.0,203534962.5,195520627.5,2014 Q3,217140275.187,1168.58810307,2576.26933203
Coal,2014,4,442818.51,4834790.0,4621260.0,460513747.5,440175015.0,2014 Q4,513027807.427,1158.55095449,2554.14143427
Coal,2015,1,1496150.02,15627680.0,14877380.0,1488536520.0,1417070445.0,2015 Q1,1528863368.32,1021.8650188,2252.80362045
Coal,2015,2,32841.89,370180.0,354540.0,35259645.0,33769935.0,2015 Q2,38613291.6182,1175.73293188,2592.02082162
Coal,2015,3,218350.81,2592010.0,2512330.0,246888952.5,239299432.5,2015 Q3,259646871.729,1189.12712863,2621.54966778
Coal,2015,4,505321.6,5460300.0,5311130.0,520093575.0,505885132.5,2015 Q4,575739052.876,1139.35175713,2511.81488377
Coal,2016,1,797429.65,8545670.0,8307910.0,813975067.5,791328427.5,2016 Q1,846531043.897,1061.57457764,2340.34731387
Coal,2016,2,268725.19,2977350.0,2830640.0,283592587.5,269618460.0,2016 Q2,286457831.326,1065.98801298,2350.07717342
Coal,2016,3,397154.52,4552860.0,4376230.0,433659915.0,416835907.5,2016 Q3,435865450.118,1097.47070263,2419.48391102
Coal,2016,4,429170.47,4720770.0,4577020.0,449653342.5,435961155.0,2016 Q4,475009580.3,1106.80863084,2440.07030756
Coal,2017,1,1032589.88,11069110.0,11069110.0,1054332727.5,1054332727.5,2017 Q1,1143874579.25,1107.77240936,2442.19505368
Natural Gas,2001,1,2090259.0,19847000.0,17327000.0,1053280290.0,919543890.0,2001 Q1,970326803.892,464.213671077,1023.40545926
Natural Gas,2001,2,2441069.0,23562000.0,21336000.0,1250435340.0,1132301520.0,2001 Q2,1218807392.02,499.292478838,1100.74019885
Natural Gas,2001,3,3823344.0,36574000.0,33880000.0,1940982180.0,1798011600.0,2001 Q3,1903887188.14,497.963873546,1097.81115562
Natural Gas,2001,4,3342331.0,32035000.0,29407000.0,1700097450.0,1560629490.0,2001 Q4,1641430805.14,491.103605578,1082.68700886
Natural Gas,2002,1,3375303.0,29620000.0,27533000.0,1571933400.0,1461176310.0,2002 Q1,1517582940.88,449.613839373,991.218670282
Natural Gas,2002,2,3509647.0,31149000.0,29262000.0,1653077430.0,1552934340.0,2002 Q2,1621715280.35,462.073616049,1018.68749394
Natural Gas,2002,3,4987839.0,44905000.0,43104000.0,2383108350.0,2287529280.0,2002 Q3,2404544625.38,482.081443563,1062.79675048
Natural Gas,2002,4,3996187.0,35476000.0,33308000.0,1882711320.0,1767655560.0,2002 Q4,1718388029.13,430.00691137,947.993236806
Natural Gas,2003,1,3525034.0,29505000.0,28852000.0,1565830350.0,1531175640.0,2003 Q1,1573188160.98,446.29020911,983.891395004
Natural Gas,2003,2,5276877.0,43124000.0,42572000.0,2288590680.0,2259296040.0,2003 Q2,2316263932.96,438.94597751,967.700302018
Natural Gas,2003,3,7555531.0,59970000.0,59159000.0,3182607900.0,3139568130.0,2003 Q3,3330645323.6,440.822137267,971.836483818
Natural Gas,2003,4,6066489.0,48783000.0,47929000.0,2588913810.0,2543592030.0,2003 Q4,2691520510.71,443.670220239,978.115367539
Natural Gas,2004,1,4524733.86,37927220.0,36014740.0,2012797565.4,1911302251.8,2004 Q1,2007652095.78,443.706117951,978.194507634
Natural Gas,2004,2,5869249.11,46690090.0,45556090.0,2477843076.3,2417661696.3,2004 Q2,2632931501.44,448.597674437,988.978433064
Natural Gas,2004,3,5905245.79,47227700.0,46132870.0,2506374039.0,2448271410.9,2004 Q3,2560423607.17,433.584595498,955.880599235
Natural Gas,2004,4,4672492.27,38592330.0,37191280.0,2048094953.1,1973741229.6,2004 Q4,2104746692.03,450.454825907,993.072709194
Natural Gas,2005,1,4001333.29,33470610.0,32083640.0,1776285272.7,1702678774.8,2005 Q1,1795330508.79,448.683071034,989.166698402
Natural Gas,2005,2,5648291.86,45345690.0,43833890.0,2406495768.3,2326264542.3,2005 Q2,2481208072.12,439.284678203,968.447001566
Natural Gas,2005,3,6859931.34,56928270.0,54924350.0,3021183288.9,2914835254.5,2005 Q3,3031818945.49,441.960537974,974.346202017
Natural Gas,2005,4,3859910.23,31630570.0,30253880.0,1678634349.9,1605573411.6,2005 Q4,1677174856.27,434.511363306,957.923751544
Natural Gas,2006,1,4632919.57,36999780.0,34980530.0,1963578324.6,1856416727.1,2006 Q1,1947232823.9,420.303610819,926.601340411
Natural Gas,2006,2,5957501.54,47653440.0,45942830.0,2528968060.8,2438185988.1,2006 Q2,2535049205.71,425.52220737,938.106258368
Natural Gas,2006,3,7553012.47,61072150.0,58811640.0,3241099000.5,3121133734.8,2006 Q3,3195639317.53,423.094669871,932.754509198
Natural Gas,2006,4,5163242.54,40690590.0,38905470.0,2159449611.3,2064713292.9,2006 Q4,2180026448.56,422.220422859,930.827144235
Natural Gas,2007,1,4434664.12,35586120.0,34177100.0,1888555388.4,1813778697.0,2007 Q1,1886455745.27,425.388641445,937.81179893
Natural Gas,2007,2,6257284.92,50404330.0,48846750.0,2674957793.1,2592297022.5,2007 Q2,2624429942.95,419.419920381,924.653156471
Natural Gas,2007,3,7938894.21,64390400.0,62494330.0,3417198528.0,3316574093.1,2007 Q3,3360910613.87,423.347449275,933.311786673
