fuel category,year,quarter,generation (MWh),total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),year_quarter,adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,1,17223164.0,178519000.0,174332000.0,17003934750.0,16605123000.0,2001 Q1,17001752857.7,987.14457214,2176.25892374
Coal,2001,2,16387042.0,170572000.0,166770000.0,16246983000.0,15884842500.0,2001 Q2,16332424288.6,996.667018283,2197.25210851
Coal,2001,3,18637751.0,197316000.0,193068000.0,18794349000.0,18389727000.0,2001 Q3,18569634647.7,996.345248291,2196.54273438
Coal,2001,4,16015207.0,171002000.0,166532000.0,16287940500.0,15862173000.0,2001 Q4,15534654758.1,969.994003706,2138.44878057
Coal,2002,1,15382079.0,161159000.0,156280000.0,15350394750.0,14885670000.0,2002 Q1,15000607244.8,975.200247299,2149.9264652
Coal,2002,2,15730426.0,164485000.0,159816000.0,15667196250.0,15222474000.0,2002 Q2,15537118604.0,987.71124215,2177.50820444
Coal,2002,3,18781988.0,192317000.0,187291000.0,18318194250.0,17839467750.0,2002 Q3,18421682858.1,980.81645341,2162.30795319
Coal,2002,4,16805015.0,171698000.0,166915000.0,16354234500.0,15898653750.0,2002 Q4,16718260241.4,994.837567323,2193.21890092
Coal,2003,1,16332440.0,165984000.0,162303000.0,15809976000.0,15459360750.0,2003 Q1,16318174345.5,999.12654481,2202.67438069
Coal,2003,2,16351643.0,167667000.0,164530000.0,15970281750.0,15671482500.0,2003 Q2,16130189391.7,986.456797745,2174.74265631
Coal,2003,3,17968615.0,185957000.0,182374000.0,17712404250.0,17371123500.0,2003 Q3,18200677156.8,1012.91486054,2233.07210155
Coal,2003,4,17124786.0,178440000.0,174746000.0,16996410000.0,16644556500.0,2003 Q4,16594028630.7,969.006481642,2136.27168943
Coal,2004,1,16807368.0,173387870.0,167678870.0,16515194617.5,15971412367.5,2004 Q1,16520396633.5,982.925859273,2166.95834935
Coal,2004,2,15415839.83,162934680.0,158048310.0,15519528270.0,15054101527.5,2004 Q2,15181014783.0,984.767288089,2171.01796332
Coal,2004,3,17912267.48,189577690.0,184193170.0,18057274972.5,17544399442.5,2004 Q3,17941669950.1,1001.64147114,2208.21878727
Coal,2004,4,18470544.12,192901980.0,187415420.0,18373913595.0,17851318755.0,2004 Q4,17821332315.4,964.851506246,2127.11163067
Coal,2005,1,16790379.91,176592730.0,172196430.0,16820457532.5,16401709957.5,2005 Q1,16600009820.8,988.661954632,2179.60414518
Coal,2005,2,16840475.85,175778260.0,171965510.0,16742879265.0,16379714827.5,2005 Q2,16284680118.3,966.996435456,2131.84034161
Coal,2005,3,19123901.72,202054750.0,198182800.0,19245714937.5,18876911700.0,2005 Q3,18703894760.4,978.037590566,2156.18167216
Coal,2005,4,17568218.16,184977920.0,181037360.0,17619146880.0,17243808540.0,2005 Q4,17095222321.0,973.076618545,2145.24471324
Coal,2006,1,16666769.18,174560390.0,170622130.0,16626877147.5,16251757882.5,2006 Q1,16426475867.2,985.582489913,2172.81515726
Coal,2006,2,16530547.68,173667750.0,169837370.0,16541853187.5,16177009492.5,2006 Q2,16269315777.8,984.197020736,2169.76075192
Coal,2006,3,18322091.09,193915180.0,189862030.0,18470420895.0,18084358357.5,2006 Q3,18172791231.9,991.851374532,2186.63554029
Coal,2006,4,16260752.89,171946470.0,168019890.0,16377901267.5,16003894522.5,2006 Q4,15897721890.2,977.674403994,2155.38099105
Coal,2007,1,16904662.96,177841830.0,173298420.0,16939434307.5,16506674505.0,2007 Q1,16558221850.3,979.506180601,2159.41932575
Coal,2007,2,16709482.49,176818640.0,171998420.0,16841975460.0,16382849505.0,2007 Q2,16398722208.4,981.402160017,2163.59920197
Coal,2007,3,19095083.26,201712910.0,197167710.0,19213154677.5,18780224377.5,2007 Q3,19091793140.6,999.827698085,2204.2201432
Coal,2007,4,18101369.98,189524360.0,184564080.0,18052195290.0,17579728620.0,2007 Q4,17707609508.9,978.246924319,2156.64316935
Coal,2008,1,17712631.13,185162070.0,179705350.0,17636687167.5,17116934587.5,2008 Q1,17286051677.9,975.916652416,2151.50585192
Coal,2008,2,17285028.68,181523250.0,176520350.0,17290089562.5,16813563337.5,2008 Q2,17008832619.5,984.021081733,2169.37287679
Coal,2008,3,17805763.56,190893000.0,186326280.0,18182558250.0,17747578170.0,2008 Q3,18031018797.3,1012.65069237,2232.48971641
