fuel category,year,quarter,generation (MWh),total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),year_quarter,adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,1,1641191409.0,17595063000.0,17170254000.0,1.67592975075e+12,1.6354666935e+12,2001 Q1,1.63375003906e+12,995.465873204,2194.60406407
Coal,2001,2,1517528979.0,16353423000.0,15971067000.0,1.55766354075e+12,1.52124413175e+12,2001 Q2,1.51990348638e+12,1001.56471963,2208.04958089
Coal,2001,3,1754272602.0,19019799000.0,18607689000.0,1.81163585475e+12,1.77238237725e+12,2001 Q3,1.77013060775e+12,1009.03964739,2224.52880664
Coal,2001,4,1558306485.0,16798293000.0,16395768000.0,1.60003740825e+12,1.561696902e+12,2001 Q4,1.56009691706e+12,1001.14896015,2207.13299755
Coal,2002,1,1586032065.0,16709859000.0,16272135000.0,1.59161406975e+12,1.54992085875e+12,2002 Q1,1.54795988304e+12,975.995326448,2151.67929669
Coal,2002,2,1570787172.0,16523829000.0,16148898000.0,1.57389471225e+12,1.5381825345e+12,2002 Q2,1.5364237473e+12,978.123436892,2156.37092897
Coal,2002,3,1845782055.0,19599777000.0,19212606000.0,1.86687875925e+12,1.8300007215e+12,2002 Q3,1.82754681921e+12,990.120591033,2182.81985499
Coal,2002,4,1692644679.0,17813781000.0,17446671000.0,1.69676264025e+12,1.66179541275e+12,2002 Q4,1.66022624598e+12,980.847467033,2162.37632582
Coal,2003,1,1732256910.0,18131256000.0,17741043000.0,1.727002134e+12,1.68983434575e+12,2003 Q1,1.68806726123e+12,974.490129891,2148.36094036
Coal,2003,2,1552626144.0,16489215000.0,16155504000.0,1.57059772875e+12,1.538811756e+12,2003 Q2,1.53713234254e+12,990.0209065,2182.60009047
Coal,2003,3,1831017735.0,19548828000.0,19178064000.0,1.862025867e+12,1.826710596e+12,2003 Q3,1.82446376898e+12,996.420588454,2196.70882931
Coal,2003,4,1718584524.0,18186174000.0,17821665000.0,1.7322330735e+12,1.69751359125e+12,2003 Q4,1.6954291104e+12,986.526462168,2174.8962385
