fuel category,year,quarter,generation (MWh),total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),year_quarter,adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,1,5221405.0,56277000.0,56033000.0,5360384250.0,5337143250.0,2001 Q1,5629515653.38,1078.1610799,2376.91391674
Coal,2001,2,4593751.0,49548000.0,49270000.0,4719447000.0,4692967500.0,2001 Q2,4894082368.85,1065.37824293,2348.73287437
Coal,2001,3,5454720.0,58890000.0,58610000.0,5609272500.0,5582602500.0,2001 Q3,5842474414.15,1071.08603451,2361.31627168
Coal,2001,4,4968831.0,53158000.0,52954000.0,5063299500.0,5043868500.0,2001 Q4,5269546269.76,1060.52032556,2338.02310972
Coal,2002,1,4849930.0,51543000.0,51227000.0,4909470750.0,4879371750.0,2002 Q1,5146062779.66,1061.05918635,2339.21108223
Coal,2002,2,4771532.0,50318000.0,50088000.0,4792789500.0,4770882000.0,2002 Q2,5033715202.84,1054.94738437,2325.73700358
Coal,2002,3,5308349.0,56729000.0,56493000.0,5403437250.0,5380958250.0,2002 Q3,5606225243.24,1056.11466828,2328.31039769
Coal,2002,4,5014096.0,52649000.0,52594000.0,5014817250.0,5009578500.0,2002 Q4,5289701922.18,1054.96622366,2325.77853668
Coal,2003,1,5469478.0,57799000.0,57501000.0,5505354750.0,5476970250.0,2003 Q1,5852700695.32,1070.06568,2359.06679813
Coal,2003,2,4337339.0,45670000.0,45426000.0,4350067500.0,4326826500.0,2003 Q2,4590989409.47,1058.48065126,2333.52644378
Coal,2003,3,5657210.0,59738000.0,59435000.0,5690044500.0,5661183750.0,2003 Q3,5958562596.17,1053.26876608,2322.0363217
Coal,2003,4,5490147.0,57716000.0,57432000.0,5497449000.0,5470398000.0,2003 Q4,5725971106.51,1042.95406052,2299.29652183
Coal,2004,1,5106840.22,54433800.0,54137530.0,5184819450.0,5156599732.5,2004 Q1,5384347493.0,1054.3403085,2324.39864411
Coal,2004,2,4141059.17,44191150.0,43950740.0,4209207037.5,4186307985.0,2004 Q2,4402110014.71,1063.03963165,2343.57717193
Coal,2004,3,5550149.92,58943430.0,58621460.0,5614361707.5,5583694065.0,2004 Q3,5821257213.66,1048.84684154,2312.28774686
Coal,2004,4,5659035.83,59935530.0,59607220.0,5708859232.5,5677587705.0,2004 Q4,5881790828.55,1039.36271217,2291.37903526
Coal,2005,1,5182718.95,55499830.0,55169900.0,5286358807.5,5254932975.0,2005 Q1,5534393735.88,1067.85526849,2354.19372492
Coal,2005,2,4429118.93,47379760.0,47089330.0,4512922140.0,4485258682.5,2005 Q2,4755255658.57,1073.63467401,2366.93500233
Coal,2005,3,5654796.68,60000910.0,59641810.0,5715086677.5,5680882402.5,2005 Q3,6083104083.17,1075.74231708,2371.58151224
Coal,2005,4,5551536.72,59417990.0,59093780.0,5659563547.5,5628682545.0,2005 Q4,5771045523.88,1039.54018769,2291.77029778
Coal,2006,1,4844460.77,51901810.0,51569380.0,4943647402.5,4911983445.0,2006 Q1,5150114438.51,1063.09343455,2343.6957858
Coal,2006,2,4628968.38,49347900.0,49013610.0,4700387475.0,4668546352.5,2006 Q2,4907897541.67,1060.25730547,2337.44325563
Coal,2006,3,5671198.82,60725940.0,60375470.0,5784145785.0,5750763517.5,2006 Q3,5964350807.42,1051.69136134,2318.5587752
Coal,2006,4,5537920.14,58793820.0,58463580.0,5600111355.0,5568655995.0,2006 Q4,5730354599.2,1034.74850744,2281.20655951
Coal,2007,1,4255920.64,46111370.0,45943610.0,4392107992.5,4376128852.5,2007 Q1,4532805330.38,1065.05870617,2348.02842361
Coal,2007,2,4192428.95,45112120.0,44947130.0,4296929430.0,4281214132.5,2007 Q2,4441275927.61,1059.35627785,2335.45685014
Coal,2007,3,5683534.85,60349720.0,60125580.0,5748310830.0,5726961495.0,2007 Q3,5957968900.47,1048.28580412,2311.05088376
