fuel category,year,quarter,generation (MWh),total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),year_quarter,adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,1,2619214.0,31007000.0,30048000.0,2953416750.0,2862072000.0,2001 Q1,2566716162.52,979.956644443,2160.41241834
Coal,2001,2,2112234.0,25096000.0,24430000.0,2390394000.0,2326957500.0,2001 Q2,2016694001.69,954.768269844,2104.8821277
Coal,2001,3,2577450.0,30787000.0,30176000.0,2932461750.0,2874264000.0,2001 Q3,2520991103.82,978.095056672,2156.30836194
Coal,2001,4,2010141.0,25080000.0,24355000.0,2388870000.0,2319813750.0,2001 Q4,2021377267.68,1005.58979081,2216.92325281
Coal,2002,1,2135404.0,23497000.0,22566000.0,2238089250.0,2149411500.0,2002 Q1,1969251551.8,922.191562719,2033.06351917
Coal,2002,2,1864037.0,20392000.0,19745000.0,1942338000.0,1880711250.0,2002 Q2,1931262284.6,1036.06435098,2284.10746816
Coal,2002,3,2848943.0,30555000.0,30010000.0,2910363750.0,2858452500.0,2002 Q3,3017044640.45,1059.00491532,2334.6822363
Coal,2002,4,2756670.0,30171000.0,29398000.0,2873787750.0,2800159500.0,2002 Q4,2944221525.73,1068.03553771,2354.59114643
Coal,2003,1,2890122.0,30951000.0,29925000.0,2948082750.0,2850356250.0,2003 Q1,2910826255.31,1007.16379977,2220.39331296
Coal,2003,2,1574331.0,17837000.0,17177000.0,1698974250.0,1636109250.0,2003 Q2,1733361302.95,1101.01452804,2427.29662852
Coal,2003,3,2900415.0,32007000.0,31436000.0,3048666750.0,2994279000.0,2003 Q3,3143872452.63,1083.9388338,2389.65155299
Coal,2003,4,2424694.0,25780000.0,25282000.0,2455545000.0,2408110500.0,2003 Q4,2523045148.23,1040.56229291,2294.02363094
Coal,2004,1,2534927.31,27726300.0,25575770.0,2640930075.0,2436092092.5,2004 Q1,2443853378.62,964.072369641,2125.39394611
Coal,2004,2,2171431.88,23755290.0,22081310.0,2262691372.5,2103244777.5,2004 Q2,2228533636.42,1026.29682144,2262.57397255
Coal,2004,3,3025670.38,32737420.0,30958860.0,3118239255.0,2948831415.0,2004 Q3,3079722409.73,1017.86448057,2243.98403387
Coal,2004,4,2590454.0,28203080.0,26489750.0,2686343370.0,2523148687.5,2004 Q4,2639086308.28,1018.77366218,2245.98841564
Coal,2005,1,2889277.75,31067970.0,29266990.0,2959224142.5,2787680797.5,2005 Q1,2876618014.93,995.618373807,2194.9402669
Coal,2005,2,2245334.72,24966880.0,23254260.0,2378095320.0,2214968265.0,2005 Q2,2501236754.0,1113.97055046,2455.85947554
Coal,2005,3,3338445.81,35119970.0,33670160.0,3345177142.5,3207082740.0,2005 Q3,3381928235.05,1013.02475089,2233.31436582
Coal,2005,4,3152360.62,33954530.0,31862460.0,3234168982.5,3034899315.0,2005 Q4,3153364778.82,1000.31854186,2205.30225738
Coal,2006,1,2903571.43,30445750.0,29348050.0,2899957687.5,2795401762.5,2006 Q1,2958169945.24,1018.80391668,2246.05511471
Coal,2006,2,2367445.46,25294170.0,24412860.0,2409269692.5,2325324915.0,2006 Q2,2441778028.8,1031.39779566,2273.81958032
Coal,2006,3,2923896.87,31320980.0,30456040.0,2983323345.0,2900937810.0,2006 Q3,3001593439.94,1026.57295158,2263.18272905
Coal,2006,4,2667011.52,28860990.0,27709560.0,2749009297.5,2639335590.0,2006 Q4,2683948105.49,1006.35039833,2218.60008815
Coal,2007,1,2420522.15,26654870.0,25465680.0,2538876367.5,2425606020.0,2007 Q1,2519035743.13,1040.69931487,2294.32570956
Coal,2007,2,2065164.98,22698200.0,21549330.0,2162003550.0,2052573682.5,2007 Q2,2147750716.85,1039.98989797,2292.76172907
Coal,2007,3,3000194.82,32627740.0,31665710.0,3107792235.0,3016158877.5,2007 Q3,3135460899.12,1045.08576517,2303.99607789
Coal,2007,4,2724788.14,29754590.0,28627490.0,2834124697.5,2726768422.5,2007 Q4,2872512625.56,1054.21503543,2324.12246711
Coal,2008,1,2592639.29,27851140.0,26729840.0,2652821085.0,2546017260.0,2008 Q1,2680513689.38,1033.8938007,2279.32227302
Coal,2008,2,1765177.52,19235360.0,18297160.0,1832168040.0,1742804490.0,2008 Q2,1814610516.91,1028.00454705,2266.33882443
Coal,2008,3,2918513.59,31267400.0,30213280.0,2978219850.0,2877814920.0,2008 Q3,3035255838.12,1040.00058404,2292.78528757
Coal,2008,4,1752160.85,19317220.0,18053370.0,1839965205.0,1719583492.5,2008 Q4,1818289163.45,1037.74100617,2287.8038222
Coal,2009,1,1672843.06,18961910.0,17609240.0,1806121927.5,1677280110.0,2009 Q1,1790124895.57,1070.10928782,2359.16293592
Coal,2009,2,544264.98,7347050.0,6152170.0,699806512.5,585994192.5,2009 Q2,629179540.213,1156.0169464,2548.55496004
Coal,2009,3,1406860.38,16548610.0,15416660.0,1576255102.5,1468436865.0,2009 Q3,1567336683.24,1114.06697176,2456.07204595
Coal,2009,4,1475900.0,16705760.0,15496360.0,1591223640.0,1476028290.0,2009 Q4,1562704519.95,1058.8146351,2334.26274455
Coal,2010,1,1856618.86,20451080.0,19203180.0,1947965370.0,1829102895.0,2010 Q1,1889001202.15,1017.44156695,2243.05167851
Coal,2010,2,1655337.56,18492930.0,17586310.0,1761451582.5,1675096027.5,2010 Q2,1735030168.24,1048.14281399,2310.73564772
Coal,2010,3,1861502.85,20608350.0,19668280.0,1962945337.5,1873403670.0,2010 Q3,1994303315.98,1071.34045805,2361.87717382
Coal,2010,4,1044431.75,12409020.0,11357190.0,1181959155.0,1081772347.5,2010 Q4,1175244386.29,1125.24766342,2480.72099878
Coal,2011,1,1216209.06,14312780.0,13119460.0,1363292295.0,1249628565.0,2011 Q1,1369721067.33,1126.22172649,2482.86841823
Coal,2011,2,1244722.96,14251410.0,13270600.0,1357446802.5,1264024650.0,2011 Q2,1361866791.94,1094.11237336,2412.0801383
Coal,2011,3,1407514.27,16672460.0,15603470.0,1588051815.0,1486230517.5,2011 Q3,1574445562.14,1118.60007085,2466.06571619
Coal,2011,4,286650.74,4355150.0,3178720.0,414828037.5,302773080.0,2011 Q4,337092500.437,1175.96940596,2592.54215239
Coal,2012,1,315935.05,4865530.0,3579440.0,463441732.5,340941660.0,2012 Q1,381740199.907,1208.28695615,2663.78942354
Coal,2012,2,327999.0,4813660.0,3660080.0,458501115.0,348622620.0,2012 Q2,376411226.959,1147.59870292,2529.99610045
Coal,2012,3,913624.68,11184630.0,10191900.0,1065336007.5,970778475.0,2012 Q3,1020680179.0,1117.1766715,2462.92768998
Coal,2012,4,339916.16,4725630.0,3655190.0,450116257.5,348156847.5,2012 Q4,384621097.228,1131.51754017,2494.54356906
Coal,2013,1,625734.88,8213870.0,7015380.0,782371117.5,668214945.0,2013 Q1,736652384.075,1177.25958328,2595.38647731
Coal,2013,2,419465.76,5343980.0,4359960.0,509014095.0,415286190.0,2013 Q2,456285445.867,1087.7775718,2398.11443479
Coal,2013,3,559741.66,6863480.0,5899600.0,653746470.0,561936900.0,2013 Q3,612546204.862,1094.33734995,2412.5761217
Coal,2013,4,416676.08,5489100.0,4433990.0,522836775.0,422337547.5,2013 Q4,483365134.024,1160.0501138,2557.44648089
Coal,2014,1,1173041.69,13688780.0,12485970.0,1303856295.0,1189288642.5,2014 Q1,1268506054.92,1081.3819029,2384.01454314
Coal,2014,2,419831.65,5275320.0,4352500.0,502474230.0,414575625.0,2014 Q2,442437413.42,1053.84482904,2323.3063101
Coal,2014,3,569043.51,7019850.0,6186690.0,668640712.5,589282222.5,2014 Q3,621158660.839,1091.58377158,2406.50558282
Coal,2014,4,357189.36,4746780.0,3808610.0,452130795.0,362770102.5,2014 Q4,388146592.697,1086.66896656,2395.67040367
Coal,2015,1,865584.83,10717250.0,9506190.0,1020818062.5,905464597.5,2015 Q1,962046815.273,1111.4414,2450.28371044
Coal,2015,2,271688.7,3790000.0,2980930.0,360997500.0,283933582.5,2015 Q2,307028911.257,1130.07611747,2491.36580858
Coal,2015,3,327636.31,4357520.0,3608430.0,415053780.0,343702957.5,2015 Q3,368436975.445,1124.53035332,2479.13961693
Coal,2015,4,294185.84,4060190.0,3246270.0,386733097.5,309207217.5,2015 Q4,330251483.277,1122.59476281,2474.8724141
Coal,2016,1,330617.39,4588230.0,3743840.0,437028907.5,356600760.0,2016 Q1,371505791.98,1123.67287147,2477.24921245
Coal,2016,2,284405.92,3835390.0,3127980.0,365320897.5,297940095.0,2016 Q2,310845393.976,1092.96386649,2409.54814007
Coal,2016,3,399624.88,4978200.0,4308790.0,474173550.0,410412247.5,2016 Q3,423044786.944,1058.60472687,2333.79998087
Coal,2016,4,299892.87,4053160.0,3269250.0,386063490.0,311396062.5,2016 Q4,328887310.124,1096.68265912,2417.7465903
Coal,2017,1,334873.25,4564170.0,3645270.0,434737192.5,347211967.5,2017 Q1,381613727.797,1139.57662428,2512.31062589
Natural Gas,2001,1,3113661.0,32401000.0,25980000.0,1719521070.0,1378758600.0,2001 Q1,1236475526.41,397.11308534,875.47550794
Natural Gas,2001,2,4095986.0,42579000.0,35833000.0,2259667530.0,1901657310.0,2001 Q2,1648100960.31,402.369773799,887.064403318
Natural Gas,2001,3,5421733.0,56666000.0,49473000.0,3007264620.0,2625532110.0,2001 Q3,2302830600.15,424.740687184,936.383318965
Natural Gas,2001,4,4076821.0,42255000.0,35255000.0,2242472850.0,1870982850.0,2001 Q4,1630287000.93,399.891729593,881.601307062
Natural Gas,2002,1,3963990.0,42622000.0,36985000.0,2261949540.0,1962793950.0,2002 Q1,1798275961.53,453.65300153,1000.12340717
Natural Gas,2002,2,4505935.0,47268000.0,41931000.0,2508512760.0,2225278170.0,2002 Q2,2285090708.35,507.129088269,1118.016788
Natural Gas,2002,3,6824120.0,70544000.0,64567000.0,3743770080.0,3426570690.0,2002 Q3,3616683060.29,529.985267008,1168.40551965
Natural Gas,2002,4,3775312.0,40830000.0,34022000.0,2166848100.0,1805547540.0,2002 Q4,1898438975.71,502.856181346,1108.59673739
Natural Gas,2003,1,3228960.0,33453000.0,28062000.0,1775350710.0,1489250340.0,2003 Q1,1520844627.89,471.001383695,1038.36965049
Natural Gas,2003,2,3557811.0,37091000.0,32265000.0,1968419370.0,1712303550.0,2003 Q2,1814084672.2,509.887869872,1124.09879792
Natural Gas,2003,3,4786740.0,50574000.0,46133000.0,2683962180.0,2448278310.0,2003 Q3,2570593700.58,537.023882764,1183.92285194
Natural Gas,2003,4,3202066.0,33643000.0,29460000.0,1785434010.0,1563442200.0,2003 Q4,1638062396.74,511.564220333,1127.79448015
Natural Gas,2004,1,2446773.2,25235340.0,19459020.0,1339239493.8,1032690191.4,2004 Q1,1035980298.57,423.406754073,933.44253003
Natural Gas,2004,2,4584518.14,47751530.0,38331470.0,2534173697.1,2034251112.9,2004 Q2,2155430066.21,470.154114432,1036.50176068
Natural Gas,2004,3,5242372.44,53943450.0,43933040.0,2862778891.5,2331526432.8,2004 Q3,2435016857.0,464.487574064,1024.00930578
Natural Gas,2004,4,3688531.06,41290830.0,30020280.0,2191304348.1,1593176259.6,2004 Q4,1666382038.53,451.77389357,995.980725764
Natural Gas,2005,1,2650122.09,26913120.0,21200480.0,1428279278.4,1125109473.6,2005 Q1,1161004582.53,438.094753035,965.82369254
Natural Gas,2005,2,3442752.98,34249050.0,27778140.0,1817597083.5,1474185889.8,2005 Q2,1664713661.17,483.541418986,1066.0154123
Natural Gas,2005,3,6410761.71,59113410.0,51362550.0,3137148668.7,2725810528.5,2005 Q3,2874417761.27,448.373826902,988.484938788
Natural Gas,2005,4,2862528.05,28851250.0,23274120.0,1531135837.5,1235157548.4,2005 Q4,1283371178.13,448.334882914,988.399082872
Natural Gas,2006,1,2685663.03,26903740.0,21686740.0,1427781481.8,1150915291.8,2006 Q1,1217929770.02,453.493143562,999.770984297
Natural Gas,2006,2,3803062.69,36371290.0,30511190.0,1930224360.3,1619228853.3,2006 Q2,1700320420.63,447.092398741,985.659902265
Natural Gas,2006,3,6175337.66,58402250.0,50821000.0,3099407407.5,2697070470.0,2006 Q3,2790652389.0,451.902801539,996.264916272
Natural Gas,2006,4,3004310.52,30463850.0,24324130.0,1616716519.5,1290881579.1,2006 Q4,1312701265.34,436.939276616,963.276329227
Natural Gas,2007,1,3028207.21,28793260.0,24247850.0,1528058308.2,1286833399.5,2007 Q1,1336399770.64,441.317148387,972.927785334
Natural Gas,2007,2,4316207.58,39748160.0,34701950.0,2109434851.2,1841632486.5,2007 Q2,1927028260.55,446.463295575,984.272981426
Natural Gas,2007,3,6941621.36,62775930.0,57173400.0,3331518605.1,3034192338.0,2007 Q3,3154207660.33,454.390623855,1001.74956935
Natural Gas,2007,4,4466295.58,40806900.0,36030560.0,2165622183.0,1912141819.2,2007 Q4,2014344699.09,451.010163346,994.297006113
Natural Gas,2008,1,4641341.34,41984990.0,36787210.0,2228143419.3,1952297234.7,2008 Q1,2055429688.39,442.852515645,976.312655992
Natural Gas,2008,2,5583444.9,50091500.0,44782570.0,2658355905.0,2376610989.9,2008 Q2,2474530747.21,443.190680938,977.058175195
Natural Gas,2008,3,6681333.32,58905750.0,53557180.0,3126128152.5,2842279542.6,2008 Q3,2997776373.76,448.679362364,989.158522269
Natural Gas,2008,4,3845635.13,34596020.0,30321110.0,1836010781.4,1609141307.7,2008 Q4,1701507495.86,442.451620692,975.428842978
Natural Gas,2009,1,3949164.22,35883090.0,30721260.0,1904315586.3,1630377268.2,2009 Q1,1740066503.84,440.616395497,971.382905512
Natural Gas,2009,2,4820872.63,41651290.0,37308190.0,2210433960.3,1979945643.3,2009 Q2,2125859446.12,440.969842865,972.16211558
Natural Gas,2009,3,6762902.4,57543970.0,52753160.0,3053858487.9,2799610201.2,2009 Q3,2988165083.37,441.846548512,974.09490085
Natural Gas,2009,4,5092051.19,43503520.0,39287520.0,2308731806.4,2084988686.4,2009 Q4,2207424658.7,433.504019565,955.702961533
Natural Gas,2010,1,4799391.41,41720770.0,37030260.0,2214121263.9,1965195898.2,2010 Q1,2029550893.13,422.876719098,932.274014923
Natural Gas,2010,2,6146239.43,52626100.0,47969850.0,2792867127.0,2545759939.5,2010 Q2,2636846021.73,429.017784251,945.812607159
Natural Gas,2010,3,8223666.75,71917790.0,66855600.0,3816677115.3,3548026692.0,2010 Q3,3776997723.64,459.283898346,1012.53728229
Natural Gas,2010,4,5732932.47,49091020.0,43705110.0,2605260431.4,2319430187.7,2010 Q4,2519843767.3,439.538365485,969.006280548
Natural Gas,2011,1,5238357.95,44153350.0,39100900.0,2343218284.5,2075084763.0,2011 Q1,2274505717.93,434.202041868,957.241821503
Natural Gas,2011,2,6273025.65,53547910.0,48421700.0,2841787583.7,2569739619.0,2011 Q2,2768650952.37,441.358143079,973.018162232
Natural Gas,2011,3,7412643.65,65042240.0,59079290.0,3451791676.8,3135337920.3,2011 Q3,3321435548.73,448.077056656,987.830679104
Natural Gas,2011,4,6277047.7,52387540.0,46726290.0,2780206747.8,2479764210.3,2011 Q4,2760846235.55,439.831966794,969.653553993
