fuel category,year,quarter,generation (MWh),total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),year_quarter,adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,1,7085645.0,74174000.0,74174000.0,7065073500.0,7065073500.0,2001 Q1,7379065338.55,1041.41053335,2295.89366181
Coal,2001,2,6914671.0,70536000.0,70536000.0,6718554000.0,6718554000.0,2001 Q2,7351929031.12,1063.23627417,2344.01069003
Coal,2001,3,7291500.0,76041000.0,76041000.0,7242905250.0,7242905250.0,2001 Q3,7633139523.55,1046.85449133,2307.89541159
Coal,2001,4,7110371.0,74472000.0,74472000.0,7093458000.0,7093458000.0,2001 Q4,7459293508.7,1049.07233514,2312.78487005
Coal,2002,1,6301567.0,65565000.0,65565000.0,6245066250.0,6245066250.0,2002 Q1,6579837710.89,1044.15897044,2301.95286623
Coal,2002,2,7127970.0,74582000.0,74582000.0,7103935500.0,7103935500.0,2002 Q2,7440773462.56,1043.88394768,2301.34655106
Coal,2002,3,6706567.0,70920000.0,70920000.0,6755130000.0,6755130000.0,2002 Q3,7393440642.44,1102.4180691,2430.39087514
Coal,2002,4,6766775.0,71165000.0,71165000.0,6778466250.0,6778466250.0,2002 Q4,6797942160.59,1004.60591058,2214.75419047
Coal,2003,1,7044468.0,73116000.0,73116000.0,6964299000.0,6964299000.0,2003 Q1,6877984705.42,976.36680377,2152.49825559
Coal,2003,2,7472989.0,78380000.0,78380000.0,7465695000.0,7465695000.0,2003 Q2,7180406557.13,960.848003006,2118.28550743
Coal,2003,3,7448702.0,79561000.0,79561000.0,7578185250.0,7578185250.0,2003 Q3,7205050639.96,967.289420353,2132.48625611
Coal,2003,4,6846685.0,72503000.0,72503000.0,6905910750.0,6905910750.0,2003 Q4,6452525771.91,942.430646643,2077.68260359
Coal,2004,1,6535206.25,68788280.0,68788280.0,6552083670.0,6552083670.0,2004 Q1,6114950228.93,935.693533609,2062.82996419
Coal,2004,2,7212414.25,75112660.0,75112660.0,7154480865.0,7154480865.0,2004 Q2,6776080385.96,939.502384512,2071.22695689
Coal,2004,3,7900063.25,83180050.0,83180050.0,7922899762.5,7922899762.5,2004 Q3,7420938208.47,939.351746136,2070.89485953
