fuel category,year,quarter,generation (MWh),total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),year_quarter,adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Hydro,2001,1,608.0,,,0.0,0.0,2001 Q1,0.0,0.0,0.0
Hydro,2001,2,722.0,,,0.0,0.0,2001 Q2,0.0,0.0,0.0
Hydro,2001,3,942.0,,,0.0,0.0,2001 Q3,0.0,0.0,0.0
Hydro,2001,4,871.0,,,0.0,0.0,2001 Q4,0.0,0.0,0.0
Hydro,2002,1,947.0,,,0.0,0.0,2002 Q1,0.0,0.0,0.0
Hydro,2002,2,780.0,,,0.0,0.0,2002 Q2,0.0,0.0,0.0
Hydro,2002,3,911.0,,,0.0,0.0,2002 Q3,0.0,0.0,0.0
Hydro,2002,4,1046.0,,,0.0,0.0,2002 Q4,0.0,0.0,0.0
Hydro,2003,1,1717.0,,,0.0,0.0,2003 Q1,0.0,0.0,0.0
Hydro,2003,2,1029.0,,,0.0,0.0,2003 Q2,0.0,0.0,0.0
Hydro,2003,3,1833.0,,,0.0,0.0,2003 Q3,0.0,0.0,0.0
Hydro,2003,4,1441.0,,,0.0,0.0,2003 Q4,0.0,0.0,0.0
Hydro,2004,1,1365.24,,,0.0,0.0,2004 Q1,0.0,0.0,0.0
Hydro,2004,2,1365.24,,,0.0,0.0,2004 Q2,0.0,0.0,0.0
Hydro,2004,3,1365.24,,,0.0,0.0,2004 Q3,0.0,0.0,0.0
Hydro,2004,4,1365.24,,,0.0,0.0,2004 Q4,0.0,0.0,0.0
Hydro,2005,1,1863.37,,,0.0,0.0,2005 Q1,0.0,0.0,0.0
Hydro,2005,2,1846.86,,,0.0,0.0,2005 Q2,0.0,0.0,0.0
Hydro,2005,3,1069.02,,,0.0,0.0,2005 Q3,0.0,0.0,0.0
Hydro,2005,4,1954.76,,,0.0,0.0,2005 Q4,0.0,0.0,0.0
Hydro,2006,1,1530.78,,,0.0,0.0,2006 Q1,0.0,0.0,0.0
Hydro,2006,2,1641.75,,,0.0,0.0,2006 Q2,0.0,0.0,0.0
Hydro,2006,3,1577.26,,,0.0,0.0,2006 Q3,0.0,0.0,0.0
Hydro,2006,4,1159.21,,,0.0,0.0,2006 Q4,0.0,0.0,0.0
Hydro,2007,1,1122.57,,,0.0,0.0,2007 Q1,0.0,0.0,0.0
Hydro,2007,2,1408.88,,,0.0,0.0,2007 Q2,0.0,0.0,0.0
Hydro,2007,3,712.54,,,0.0,0.0,2007 Q3,0.0,0.0,0.0
