fuel category,year,quarter,generation (MWh),total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),year_quarter,adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,1,1093555530.0,11574711000.0,11382615000.0,1.10249122275e+12,1.08419407875e+12,2001 Q1,1.08348584039e+12,990.791789416,2184.29957895
Coal,2001,2,1088177931.0,11504385000.0,11326500000.0,1.09579267125e+12,1.078849125e+12,2001 Q2,1.07827121556e+12,990.896051871,2184.52943595
Coal,2001,3,1233360540.0,13179618000.0,12983454000.0,1.2553586145e+12,1.2366739935e+12,2001 Q3,1.23608550959e+12,1002.20938607,2209.47081252
Coal,2001,4,1040536872.0,11053431000.0,10875402000.0,1.05283930275e+12,1.0358820405e+12,2001 Q4,1.03549942407e+12,995.158799204,2193.92708873
Coal,2002,1,1025734095.0,10756431000.0,10604502000.0,1.02455005275e+12,1.0100788155e+12,2002 Q1,1.00433233279e+12,979.135175178,2158.6014072
Coal,2002,2,1085515875.0,11520540000.0,11361051000.0,1.097331435e+12,1.08214010775e+12,2002 Q2,1.07638151781e+12,991.585238499,2186.04881679
Coal,2002,3,1218705354.0,12911895000.0,12764619000.0,1.22985799875e+12,1.21582995975e+12,2002 Q3,1.21033998864e+12,993.135859019,2189.46731479
Coal,2002,4,1078098471.0,11389986000.0,11234610000.0,1.0848961665e+12,1.0700966025e+12,2002 Q4,1.06501397605e+12,987.863358213,2177.84355952
Coal,2003,1,1084711554.0,11372157000.0,11214972000.0,1.08319795425e+12,1.068226083e+12,2003 Q1,1.06849302503e+12,985.048072077,2171.6369797
Coal,2003,2,1052898912.0,11126700000.0,10979496000.0,1.059818175e+12,1.045796994e+12,2003 Q2,1.04592350506e+12,993.375045924,2189.99462624
Coal,2003,3,1232073252.0,12970602000.0,12825288000.0,1.2354498405e+12,1.221608682e+12,2003 Q3,1.22184894204e+12,991.701540518,2186.30521623
Coal,2003,4,1132582356.0,11845206000.0,11699496000.0,1.1282558715e+12,1.114376994e+12,2003 Q4,1.11462056628e+12,984.140853313,2169.63692521
Coal,2004,1,1102923809.82,11587997340.0,11385614340.0,1.10375674664e+12,1.08447976588e+12,2004 Q1,1.08474971525e+12,983.521894801,2168.27236928
Coal,2004,2,1100481216.84,11601786780.0,11408725710.0,1.1050701908e+12,1.08668112388e+12,2004 Q2,1.08687528622e+12,987.636380876,2177.34316528
Coal,2004,3,1242012932.37,13077040230.0,12878916750.0,1.24558808191e+12,1.22671682044e+12,2004 Q3,1.22692336673e+12,987.850717778,2177.81569241
Coal,2004,4,1118563860.78,11800889820.0,11603182230.0,1.12403475536e+12,1.10520310741e+12,2004 Q4,1.10531336719e+12,988.154012433,2178.48433581
Coal,2005,1,1131464791.44,11915393580.0,11719839420.0,1.1349412385e+12,1.11631470476e+12,2005 Q1,1.11648941113e+12,986.764607774,2175.4212543
Coal,2005,2,1106180327.25,11632860090.0,11444083110.0,1.10802992357e+12,1.09004891623e+12,2005 Q2,1.09023201992e+12,985.582542975,2172.81527424
Coal,2005,3,1242808477.11,13213148040.0,13014687600.0,1.25855235081e+12,1.2396489939e+12,2005 Q3,1.23985326003e+12,997.622146021,2199.35778312
Coal,2005,4,1139985095.58,12043417770.0,11842401330.0,1.14713554259e+12,1.12798872668e+12,2005 Q4,1.12826802258e+12,989.721731408,2181.94052906
Coal,2006,1,1096784572.41,11579466060.0,11381608620.0,1.10294414222e+12,1.08409822106e+12,2006 Q1,1.0843852643e+12,988.694855466,2179.67667836
Coal,2006,2,1115730041.31,11820022740.0,11636143020.0,1.12585716598e+12,1.10834262266e+12,2006 Q2,1.10840023027e+12,993.430479803,2190.11683577
Coal,2006,3,1273776591.78,13586207490.0,13392979560.0,1.29408626342e+12,1.27568130309e+12,2006 Q3,1.27588249895e+12,1001.65327828,2208.24481729
Coal,2006,4,1170171993.51,12349441800.0,12152538720.0,1.17628433145e+12,1.15752931308e+12,2006 Q4,1.15774630274e+12,989.381312459,2181.19004145
Coal,2007,1,1130661035.64,11917843740.0,11718398610.0,1.13517461624e+12,1.1161774676e+12,2007 Q1,1.11658138501e+12,987.547416788,2177.14703505
Coal,2007,2,1130148797.49,11920160520.0,11744827200.0,1.13539528953e+12,1.1186947908e+12,2007 Q2,1.11859778411e+12,989.779210134,2182.06724666
Coal,2007,3,1268267898.69,13455089550.0,13285929060.0,1.28159727964e+12,1.26548474296e+12,2007 Q3,1.26551209731e+12,997.827114139,2199.80965583
Coal,2007,4,1134869266.98,12005873460.0,11828987370.0,1.14355944706e+12,1.12671104699e+12,2007 Q4,1.12665024176e+12,992.757733898,2188.63370015
Coal,2008,1,1153429564.77,12130698150.0,11958081840.0,1.15544899879e+12,1.13900729526e+12,2008 Q1,1.13892650782e+12,987.426144259,2176.87967763
