fuel category,year,quarter,generation (MWh),total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),year_quarter,adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,1,15306929.0,162108000.0,150921000.0,15440787000.0,14375225250.0,2001 Q1,14412287223.3,941.553150427,2075.74807543
Coal,2001,2,15259893.0,165878000.0,155083000.0,15799879500.0,14771655750.0,2001 Q2,14617341901.5,957.892817567,2111.77050561
Coal,2001,3,16177946.0,177927000.0,165155000.0,16947546750.0,15731013750.0,2001 Q3,15503357430.8,958.301964343,2112.67251059
Coal,2001,4,12985264.0,145635000.0,134650000.0,13871733750.0,12825412500.0,2001 Q4,12796718466.3,985.480038475,2172.58929282
Coal,2002,1,14911178.0,157258000.0,145991000.0,14978824500.0,13905642750.0,2002 Q1,14462873237.8,969.934986883,2138.31867208
Coal,2002,2,15667478.0,165128000.0,153361000.0,15728442000.0,14607635250.0,2002 Q2,15566936086.6,993.582763393,2190.45256018
Coal,2002,3,16244989.0,168519000.0,158157000.0,16051434750.0,15064454250.0,2002 Q3,16582319183.0,1020.76518384,2250.37892429
Coal,2002,4,12882036.0,136762000.0,126000000.0,13026580500.0,12001500000.0,2002 Q4,13107667218.3,1017.51518302,2243.21397249
Coal,2003,1,13638496.0,144017000.0,133242000.0,13717619250.0,12691300500.0,2003 Q1,13623708570.2,998.915758029,2202.20968015
Coal,2003,2,10954915.0,121174000.0,111083000.0,11541823500.0,10580655750.0,2003 Q2,10907039062.8,995.629729923,2194.96530259
Coal,2003,3,15775727.0,168675000.0,158647000.0,16066293750.0,15111126750.0,2003 Q3,15825515568.9,1003.15602374,2211.55776993
Coal,2003,4,14552159.0,155412000.0,144589000.0,14802993000.0,13772102250.0,2003 Q4,14245095687.9,978.899123345,2158.08100733
Coal,2004,1,14311139.51,154606040.0,141370430.0,14726225310.0,13465533457.5,2004 Q1,13745913622.9,960.504480674,2117.52817809
Coal,2004,2,14427906.39,156133020.0,143156120.0,14871670155.0,13635620430.0,2004 Q2,13697336245.0,949.364091697,2092.96807656
Coal,2004,3,15229008.99,161911500.0,149396750.0,15422070375.0,14230040437.5,2004 Q3,14674454572.0,963.585652986,2124.32093057
Coal,2004,4,14091577.2,152103960.0,139571250.0,14487902190.0,13294161562.5,2004 Q4,13581264859.6,963.786002574,2124.76262128
Coal,2005,1,13723347.94,149237820.0,136465170.0,14214902355.0,12998307442.5,2005 Q1,12990851894.4,946.624100126,2086.92749114
Coal,2005,2,14689597.49,158050570.0,145928720.0,15054316792.5,13899710580.0,2005 Q2,13779386397.9,938.037029761,2067.99643581
Coal,2005,3,16077782.4,173786650.0,160846320.0,16553178412.5,15320611980.0,2005 Q3,15338278338.3,954.004598189,2103.19853717
Coal,2005,4,14560748.27,155732260.0,142813440.0,14833497765.0,13602980160.0,2005 Q4,13294151159.4,913.012910664,2012.82826285
Coal,2006,1,14514792.13,156546910.0,144375040.0,14911093177.5,13751722560.0,2006 Q1,13561255411.3,934.305864654,2059.77070922
Coal,2006,2,14505588.04,158044880.0,146312340.0,15053774820.0,13936250385.0,2006 Q2,13501342896.1,930.768394831,2051.97200325
Coal,2006,3,16345799.19,175588210.0,163620450.0,16724777002.5,15584847862.5,2006 Q3,15648084300.6,957.315339476,2110.49739741
Coal,2006,4,15131666.37,162479260.0,150529390.0,15476149515.0,14337924397.5,2006 Q4,14238804755.0,940.993834177,2074.51500683
Coal,2007,1,14724600.08,158055760.0,145267810.0,15054811140.0,13836758902.5,2007 Q1,13794036799.1,936.802135486,2065.27398789
Coal,2007,2,14508181.61,154596480.0,143681570.0,14725314720.0,13685669542.5,2007 Q2,13833271716.0,953.480738514,2102.04363613
Coal,2007,3,16043749.01,172001020.0,161495980.0,16383097155.0,15382492095.0,2007 Q3,15775843247.1,983.301548614,2167.78659407
Coal,2007,4,14960799.44,160866350.0,150053900.0,15322519837.5,14292633975.0,2007 Q4,14479017286.8,967.797031491,2133.60533563
Coal,2008,1,14280989.92,153703760.0,142175760.0,14640283140.0,13542241140.0,2008 Q1,13608229635.1,952.891200914,2100.74394154
Coal,2008,2,14712658.9,157917840.0,146881000.0,15041674260.0,13990415250.0,2008 Q2,13906248107.5,945.189323154,2083.76438183
Coal,2008,3,15234996.88,164514220.0,153498430.0,15669979455.0,14620725457.5,2008 Q3,14648252479.4,961.487067883,2119.69438986
Coal,2008,4,12829483.7,140265170.0,129064410.0,13360257442.5,12293385052.5,2008 Q4,12393519940.4,966.018604507,2129.6846155
Coal,2009,1,11049017.94,118668050.0,108644380.0,11303131762.5,10348377195.0,2009 Q1,10289620487.0,931.270140289,2053.07815128
Coal,2009,2,11193232.42,120109050.0,110761420.0,11440387012.5,10550025255.0,2009 Q2,10128726206.1,904.897336714,1994.93666852
Coal,2009,3,10233180.69,112909060.0,103316910.0,10754587965.0,9840935677.5,2009 Q3,9695268269.21,947.434484244,2088.71406396
Coal,2009,4,9157809.23,102407340.0,92741990.0,9754299135.0,8833674547.5,2009 Q4,8547858329.56,933.395544161,2057.76381666
