year,quarter,generation (MWh),final CO2 (kg),index (g/kWh),year_quarter,change since 2005,index (lb/MWh)
2001,1,9251.0,22188909.8154,2398.54175931,2001 Q1,1.17721912503,5287.82516258
2001,2,7175.0,45770755.4134,6379.19936075,2001 Q2,4.79056620409,14063.5829107
2001,3,71694.0,148084902.601,2065.51318941,2001 Q3,0.874920376731,4553.63037737
2001,4,35119.0,87002734.9331,2477.3693708,2001 Q4,1.2487730109,5461.60851487
2002,1,15095.0,20302452.831,1344.97865724,2002 Q1,0.220872325411,2965.13994774
2002,2,53210.0,61825689.2809,1161.9186108,2002 Q2,0.0547039305633,2561.56576938
2002,3,190230.0,219754970.568,1155.20670014,2002 Q3,0.0486113536022,2546.76869113
2002,4,3445.0,7091976.71364,2058.62894445,2002 Q4,0.868671367424,4538.45337094
2003,1,35568.0,41307031.1078,1161.35377609,2003 Q1,0.0541912153069,2560.32053476
2003,2,5930.0,8634003.185,1455.98704637,2003 Q2,0.321637545333,3209.86904244
2003,3,34709.0,38716830.5756,1115.46949136,2003 Q3,0.0125408492658,2459.16404065
2003,4,-2063.0,0.0,-0.0,2003 Q4,-1.0,-0.0
2004,1,18198.0,24784731.1044,1361.94807695,2004 Q1,0.236275911779,3002.55073045
2004,2,8265.0,14599316.3626,1766.40246371,2004 Q2,0.603409743255,3894.2108715
2004,3,7286.0,15128250.4403,2076.34510572,2004 Q3,0.884752790641,4577.51042007
2004,4,2738.0,5533081.64815,2020.84793577,2004 Q4,0.834376557111,4455.16135921
2005,1,1214.0,8168587.94324,6728.65563694,2005 Q1,5.10777681129,14833.9942172
2005,2,41127.0,43675894.6844,1061.97618801,2005 Q2,-0.0360164221087,2341.23270409
2005,3,169741.0,175823078.327,1035.83152171,2005 Q3,-0.0597486199206,2283.59417276
2005,4,13960.0,21352471.1255,1529.54664223,2005 Q4,0.388409515552,3372.03852746
2006,1,3497.0,7359759.74322,2104.59243444,2006 Q1,0.910393630149,4639.78448096
2006,2,5599.0,8419151.29997,1503.68839078,2006 Q2,0.364937303998,3315.03142631
2006,3,69787.0,84603202.0669,1212.3060465,2006 Q3,0.100441924586,2672.64991011
2006,4,2584.0,5396312.05867,2088.35605986,2006 Q4,0.895655448037,4603.98976956
2007,1,1925.0,5073318.88596,2635.49033037,2007 Q1,1.39230354394,5810.20198233
2007,2,13509.0,17571438.1501,1300.72086388,2007 Q2,0.180698368146,2867.5692165
2007,3,57409.0,66348692.5357,1155.71935647,2007 Q3,0.0490767051711,2547.89889328
